Index,99acres,Brochure
393708,"11:Swimming Pool,13:Gymnasium,1:Club House,141:Mini Theatre,10:Children's Play Area,3:Theatre,17:Park,77:Jogging Track,4:Yoga/Meditation Area,8:Shopping Centre,50:Bowling Alley,80:Library,52:Business Lounge,7:Conference Room,9:Multipurpose court,99:Sun Deck,85:Party Lawn,131:Theater Home,53:Card Room,139:Indoor Games,76:Jacuzzi,93:Sauna,109:Steam Room,95:Senior Citizen Sitout,34:Car Parking,71:Gated Community,18:Paved Compound,115:Internal Street Lights,59:Community Hall,55:CCTV Camera Security,22:Fire Fighting Systems,137:24x7 Security,20:Video Door Security,89:Reading Lounge,92:Salon,33:Lifts,21:Intercom,156:Waste Management,70:Garbage Disposal,26:Sewage Treatment Plant,28:24/7 Water Supply,45:Bar/Chill-Out Lounge","Temple,Landscape Garden,Park,Jogging Track,Club House,Childrens Play Area,Sauna,Jacuzzi,Library,Community Hall,Gymnasium,Swimming Pool,Multipurpose Court,Massage Room,Yoga/Meditation Area,Open Space,Car Parking,Helipad,Spa,Manicured Garden,Walking Track,Sit Out Area,Pet Park,Theatre,Card Room,Business Lounge,Conference Room"
399106,"11:Swimming Pool,13:Gymnasium,1:Club House,141:Mini Theatre,143:Lounge,10:Children's Play Area,17:Park,44:Banquet Hall,40:Amphitheatre,77:Jogging Track,4:Yoga/Meditation Area,68:Football Ground,14:Restaurant,16:Cafeteria,80:Library,7:Conference Room,9:Multipurpose court,99:Sun Deck,85:Party Lawn,46:Barbecue,53:Card Room,139:Indoor Games,125:Chess,87:Pool Table,100:Table Tennis,69:Fountain,95:Senior Citizen Sitout,34:Car Parking,18:Paved Compound,137:24x7 Security,33:Lifts,65:Entrance Lobby,23:24/7 Power Backup,28:24/7 Water Supply,25:Rain Water Harvesting","Pet Park,Open Air Theatre (O.A.T.),Gymnasium,Party Lawn,Multipurpose Court,Swimming Pool,Landscape Garden,Childrens Play Area,Senior Citizen Sitout,Indoor Games,Club House"
269167,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,141:Mini Theatre,143:Lounge,10:Children's Play Area,17:Park,77:Jogging Track,43:Badminton Court,47:Basketball Court,4:Yoga/Meditation Area,105:Volley Ball Court,79:Lawn Tennis Court,14:Restaurant,52:Business Lounge,5:Multipurpose Hall,9:Multipurpose court,99:Sun Deck,139:Indoor Games,111:Spa,93:Sauna,69:Fountain,95:Senior Citizen Sitout,34:Car Parking,71:Gated Community,18:Paved Compound,92:Salon,33:Lifts,28:24/7 Water Supply","Bowling Alley,Gymnasium,Swimming Pool,Basketball Court,Lawn Tennis Court,Spa,Club House,Mini Theatre,Landscape Garden"
123483,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,102:Terrace Garden,17:Park,84:Natural Pond,72:Gazebo,40:Amphitheatre,77:Jogging Track,43:Badminton Court,47:Basketball Court,96:Skating Rink,4:Yoga/Meditation Area,8:Shopping Centre,60:Cricket Pitch,79:Lawn Tennis Court,14:Restaurant,80:Library,15:Food Court,7:Conference Room,5:Multipurpose Hall,9:Multipurpose court,99:Sun Deck,53:Card Room,139:Indoor Games,54:Carrom,125:Chess,49:Billiards,87:Pool Table,100:Table Tennis,76:Jacuzzi,111:Spa,19:Open Space,66:Flower Garden,69:Fountain,95:Senior Citizen Sitout,226:Sit Out Area,34:Car Parking,71:Gated Community,18:Paved Compound,64:Earthquake Resistant,115:Internal Street Lights,55:CCTV Camera Security,135:Security Cabin,22:Fire Fighting Systems,137:24x7 Security,113:Pergola,6:Waiting Lounge,56:Changing Area,33:Lifts,65:Entrance Lobby,21:Intercom,23:24/7 Power Backup,70:Garbage Disposal,26:Sewage Treatment Plant,28:24/7 Water Supply,25:Rain Water Harvesting","Temple,Swimming Pool,Spa,Jogging Track,Club House,Childrens Play Area,Indoor Games,Table Tennis,Pool Table,Badminton Court,Amphitheatre,Skating Rink,Senior Citizen Sitout,Car Parking,Entrance Lobby,Lifts"
327273,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,10:Children's Play Area,213:Landscape Garden,17:Park,44:Banquet Hall,77:Jogging Track,4:Yoga/Meditation Area,38:Aerobics Centre,60:Cricket Pitch,79:Lawn Tennis Court,7:Conference Room,99:Sun Deck,46:Barbecue,139:Indoor Games,49:Billiards,100:Table Tennis,111:Spa,34:Car Parking,71:Gated Community,18:Paved Compound,64:Earthquake Resistant,115:Internal Street Lights,97:Solar Lighting,117:Solar Water Heating,55:CCTV Camera Security,135:Security Cabin,22:Fire Fighting Systems,137:24x7 Security,6:Waiting Lounge,33:Lifts,65:Entrance Lobby,21:Intercom,23:24/7 Power Backup,26:Sewage Treatment Plant,28:24/7 Water Supply,25:Rain Water Harvesting","Swimming Pool,Spa,Jacuzzi,Gymnasium,Mini Theatre,Billiards,Lawn Tennis Court,Basketball Court,Badminton Court,Club House,Childrens Play Area,Banquet Hall,Landscape Garden"
427056,"11:Swimming Pool,13:Gymnasium,143:Lounge,17:Park,84:Natural Pond,44:Banquet Hall,40:Amphitheatre,77:Jogging Track,96:Skating Rink,4:Yoga/Meditation Area,16:Cafeteria,85:Party Lawn,139:Indoor Games,111:Spa,93:Sauna,109:Steam Room,69:Fountain,28:24/7 Water Supply","Landscape Garden,Swimming Pool,Banquet Hall,Spa,Gymnasium,Sauna,Steam Room,Conference Room,Library,Restaurant,Club House,Multipurpose Hall,Childrens Play Area,Park,Multipurpose Court,Skating Rink,Community Hall,Open Space,Fountain,Car Parking,Banquet Lawn,Water Feature,Aerobics Centre,Co Working Spaces"
390137,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,141:Mini Theatre,10:Children's Play Area,44:Banquet Hall,40:Amphitheatre,77:Jogging Track,43:Badminton Court,98:Squash Court,47:Basketball Court,96:Skating Rink,4:Yoga/Meditation Area,8:Shopping Centre,60:Cricket Pitch,79:Lawn Tennis Court,14:Restaurant,80:Library,52:Business Lounge,9:Multipurpose court,85:Party Lawn,53:Card Room,139:Indoor Games,76:Jacuzzi,111:Spa,93:Sauna,109:Steam Room,69:Fountain,95:Senior Citizen Sitout,34:Car Parking,36:Vastu Compliant,94:School,55:CCTV Camera Security,57:Cigar Lounge,33:Lifts,65:Entrance Lobby,45:Bar/Chill-Out Lounge","Vastu Compliant,Wi Fi Connectivity,Jacuzzi,Massage Room,Sauna,Steam Room,Swimming Pool,Childrens Play Area,Gymnasium,Club House,Badminton Court,Basketball Court,Skating Rink,Squash Court,Cricket Pitch,Lawn Tennis Court,Amphitheatre,Jogging Track,Library,Business Lounge,Concierge Service,Car Parking,Convenience Shopping,Pet Park,Landscape Garden,Party Lawn,Yoga/Meditation Area"
395716,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,213:Landscape Garden,44:Banquet Hall,72:Gazebo,40:Amphitheatre,77:Jogging Track,43:Badminton Court,47:Basketball Court,96:Skating Rink,4:Yoga/Meditation Area,60:Cricket Pitch,53:Card Room,139:Indoor Games,49:Billiards,100:Table Tennis,76:Jacuzzi,34:Car Parking,71:Gated Community,115:Internal Street Lights,22:Fire Fighting Systems,137:24x7 Security,56:Changing Area,33:Lifts,23:24/7 Power Backup,26:Sewage Treatment Plant,28:24/7 Water Supply","Gymnasium,Childrens Play Area,Swimming Pool,Club House,Jacuzzi,Sauna,Steam Room,Car Parking,Landscape Garden,Multipurpose Court,Indoor Games,Jogging Track,Community Garden Urban Farming,Gazebo,Park,Petrol Pump,Lifts,Intercom"
26134,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,10:Children's Play Area,3:Theatre,213:Landscape Garden,17:Park,44:Banquet Hall,72:Gazebo,40:Amphitheatre,77:Jogging Track,43:Badminton Court,98:Squash Court,47:Basketball Court,79:Lawn Tennis Court,14:Restaurant,52:Business Lounge,9:Multipurpose court,99:Sun Deck,46:Barbecue,49:Billiards,100:Table Tennis,111:Spa,69:Fountain,34:Car Parking,71:Gated Community,18:Paved Compound,115:Internal Street Lights,202:Well-Maintained Internal Roads,59:Community Hall,135:Security Cabin,22:Fire Fighting Systems,137:24x7 Security,20:Video Door Security,113:Pergola,33:Lifts,31:Property Staff,21:Intercom,23:24/7 Power Backup,28:24/7 Water Supply,25:Rain Water Harvesting","Car Parking,Gymnasium,Banquet Hall,Spa,Swimming Pool,Childrens Play Area,Club House,Shopping Centre,24X7 Security,Landscape Garden,Power Back Up Lift,Badminton Court,Tennis Courts,Skating Rink,Basketball Court,Video Door Security"
433855,"11:Swimming Pool,13:Gymnasium,1:Club House,143:Lounge,10:Children's Play Area,213:Landscape Garden,44:Banquet Hall,40:Amphitheatre,77:Jogging Track,43:Badminton Court,4:Yoga/Meditation Area,50:Bowling Alley,14:Restaurant,80:Library,9:Multipurpose court,99:Sun Deck,53:Card Room,49:Billiards,87:Pool Table,100:Table Tennis,76:Jacuzzi,66:Flower Garden,95:Senior Citizen Sitout,34:Car Parking,33:Lifts,45:Bar/Chill-Out Lounge","Temple,Swimming Pool,Badminton Court,Bowling Alley,Club House,Childrens Play Area,Jogging Track,Cycling Track,Gymnasium"
