Index,data_point_name,99acres,C1,C2,C3
393708,Amenities - List,"11:Swimming Pool,13:Gymnasium,1:Club House,141:Mini Theatre,10:Children's Play Area,3:Theatre,17:Park,77:Jogging Track,4:Yoga/Meditation Area,8:Shopping Centre,50:Bowling Alley,80:Library,52:Business Lounge,7:Conference Room,9:Multipurpose court,99:Sun Deck,85:Party Lawn,131:Theater Home,53:Card Room,139:Indoor Games,76:Jacuzzi,93:Sauna,109:Steam Room,95:Senior Citizen Sitout,34:Car Parking,71:Gated Community,18:Paved Compound,115:Internal Street Lights,59:Community Hall,55:CCTV Camera Security,22:Fire Fighting Systems,137:24x7 Security,20:Video Door Security,89:Reading Lounge,92:Salon,33:Lifts,21:Intercom,156:Waste Management,70:Garbage Disposal,26:Sewage Treatment Plant,28:24/7 Water Supply,45:Bar/Chill-Out Lounge","Club House, Jogging and Strolling Track, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Visitor Parking, Intercom Facility, Maintenance Staff, Bank & ATM, Banquet Hall, Guest Accommodation, Gymnasium, Kids Club, AEROBICS ROOM, Flower Gardens, Library And Business Centre, Indoor Squash & Badminton Courts, Multipurpose Courts, Meditation Area, Private jaccuzi, Premium branded fittings, Conference Room, Helipad, Mini Cinema Theatre, Golf Course, Pool with temperature control, Health club with Steam / Jaccuzi, 3 Tier Security System, Entry Exit Gate, Pet park, Kids play area, Kids Splash Pool, Aesthetically designed landscape garden, Event Space & Amphitheatre, Fire Fighting Equipment","Reading Lounge, Helipad, Sauna Bath, Spa, Garbage Disposal, Swimming Pool, Landscaping & Tree Planting, Mini Theatre, Fire Fighting System, Kid's Pool, Gymnasium, Golf Course, School, 24X7 Water Supply, Jogging Track, Senior Citizen Siteout, Street Lighting, Gated Community, Indoor Games, Bowling Alley, Hospital, Party Lawn, Sewage Treatment Plant, Club House, Intercom, Open Air Theatre, Children's Play Area, Salon, Yoga / Meditation Area, Steam Room, Solid Waste Management And Disposal, Lift(s), Sports Complex, 24x7 CCTV Surveillance, Sun Deck, Video Door Security, Temple, Community Hall, Conference Room, Paved Compound, Library, Jacuzzi, 24x7 Security, Cafeteria",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Indoor Swimming Pool; Heated Swimming Pool; Golf Course; Rappelling/Rock Climbing; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area; Cafe / Coffee Bar; Massage Room; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Jacuzzi; Obeservatory Deck; High Street Retail; Hypermarket; Food Court; Senior Citizen Area; Power Backup; Restaurant; Treated Water Supply; Pet Area; Guest House; 24*7 Water Supply; Lift
399106,Amenities - List,"11:Swimming Pool,13:Gymnasium,1:Club House,141:Mini Theatre,143:Lounge,10:Children's Play Area,17:Park,44:Banquet Hall,40:Amphitheatre,77:Jogging Track,4:Yoga/Meditation Area,68:Football Ground,14:Restaurant,16:Cafeteria,80:Library,7:Conference Room,9:Multipurpose court,99:Sun Deck,85:Party Lawn,46:Barbecue,53:Card Room,139:Indoor Games,125:Chess,87:Pool Table,100:Table Tennis,69:Fountain,95:Senior Citizen Sitout,34:Car Parking,18:Paved Compound,137:24x7 Security,33:Lifts,65:Entrance Lobby,23:24/7 Power Backup,28:24/7 Water Supply,25:Rain Water Harvesting","Club House, Power Back Up, Swimming Pool, Lift, Security, Visitor Parking, Intercom Facility, Gymnasium, Indoor Games Room, Kids Club, RO Water System, Earth quake resistant, 3 Tier Security System, Large Open space, Grand Entrance lobby, Multipurpose Hall, Kids play area, Badminton court, Outdoor Tennis Courts, Fire Fighting Equipment","Amphitheater, Swimming Pool, Fountains, Water Conservation, Rain water Harvesting, Table Tennis, Mini Theatre, Gymnasium, Electrification(Transformer, Solar Energy etc), Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Street Lighting, Gated Community, Indoor Games, Party Lawn, Sewage Treatment Plant, Intercom, Club House, Children's Play Area, Service Lift, Entrance Lobby, Yoga / Meditation Area, Card Room, Barbecue Area, Solid Waste Management And Disposal, Football Field, Visitor Parking, Lift(s), 24x7 CCTV Surveillance, Sun Deck, Restaurant, Chess Board, Conference Room, Paved Compound, Banquet Hall, Storm Water Drains, Internal Roads & Footpaths, Rain Water Harvesting, Library, 24x7 Security, Energy management, Power Backup, Cafeteria",Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Cards Room; Clubhouse; Indoor Games; Conference Room; Normal Park / Central Green; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Power Backup; Restaurant; 24*7 Water Supply; Lift; Party Lawn; Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Football; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards
269167,Amenities - List,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,141:Mini Theatre,143:Lounge,10:Children's Play Area,17:Park,77:Jogging Track,43:Badminton Court,47:Basketball Court,4:Yoga/Meditation Area,105:Volley Ball Court,79:Lawn Tennis Court,14:Restaurant,52:Business Lounge,5:Multipurpose Hall,9:Multipurpose court,99:Sun Deck,139:Indoor Games,111:Spa,93:Sauna,69:Fountain,95:Senior Citizen Sitout,34:Car Parking,71:Gated Community,18:Paved Compound,92:Salon,33:Lifts,28:24/7 Water Supply","Club House, Jogging and Strolling Track, Outdoor Tennis Courts, Cycling & Jogging Track, Private Terrace/Garden, Power Back Up, Swimming Pool, Lift, Security, Reserved Parking, Service/Goods Lift, Visitor Parking, Maintenance Staff, Gymnasium, DTH Television Facility, Laundry Service, Rain Water Harvesting, RO Water System, Indoor Squash & Badminton Courts, Multipurpose Courts, Meditation Area, Vaastu Compliant, Internet/Wi-Fi Connectivity, Private pool, Private jaccuzi, Fingerprint Access, Farm-House, Wrap Around Balcony, Island Kitchen Layout, Full Glass Wall, House help accommodation, Wine Cellar, Sky Villa, Waste Disposal, Golf Course, Sea facing, Skydeck, Theme based Architectures, Mansion, Downtown, Skyline View, Hilltop, Fire Fighting Equipment","Amphitheater, Volleyball Court, Fountains, Fire Sprinklers, Valet Parking, Table Tennis, Mini Theatre, Kid's Pool, Water Softner Plant, Concierge Service, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Street Lighting, Indoor Games, Cycling & Jogging Track, Bowling Alley, Business Center, Party Lawn, Sewage Treatment Plant, Intercom, Children's Play Area, 24x7 CCTV Surveillance, Community Hall, Spa/Sauna/Steam, Maintenance Staff, Rain Water Harvesting, Library, 24x7 Security, Waiting Lounge, Tennis Court, Garbage Disposal, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Flower Garden, Squash Court, Golf Course, Jogging Track, Gated Community, Sports Facility, Lawn Tennis Court, Club House, Yoga / Meditation Area, Wall Climbing, Lift(s), Badminton Court, Aerobics Room, Terrace Garden, Creche/Day Care, Sun Deck, Multipurpose Hall, Basketball Court, Conference Room, Car Wash Area, Internal Roads & Footpaths, Power Backup, Acupressure Center, Billiards / Snooker Table",Power Backup; Restaurant; Medical Facility; Pet Area; 24*7 Water Supply; Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Heated Swimming Pool; Golf Course; Dance Room; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi; High Street Retail; Senior Citizen Area; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone
123483,Amenities - List,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,102:Terrace Garden,17:Park,84:Natural Pond,72:Gazebo,40:Amphitheatre,77:Jogging Track,43:Badminton Court,47:Basketball Court,96:Skating Rink,4:Yoga/Meditation Area,8:Shopping Centre,60:Cricket Pitch,79:Lawn Tennis Court,14:Restaurant,80:Library,15:Food Court,7:Conference Room,5:Multipurpose Hall,9:Multipurpose court,99:Sun Deck,53:Card Room,139:Indoor Games,54:Carrom,125:Chess,49:Billiards,87:Pool Table,100:Table Tennis,76:Jacuzzi,111:Spa,19:Open Space,66:Flower Garden,69:Fountain,95:Senior Citizen Sitout,226:Sit Out Area,34:Car Parking,71:Gated Community,18:Paved Compound,64:Earthquake Resistant,115:Internal Street Lights,55:CCTV Camera Security,135:Security Cabin,22:Fire Fighting Systems,137:24x7 Security,113:Pergola,6:Waiting Lounge,56:Changing Area,33:Lifts,65:Entrance Lobby,21:Intercom,23:24/7 Power Backup,70:Garbage Disposal,26:Sewage Treatment Plant,28:24/7 Water Supply,25:Rain Water Harvesting","Club House, Jogging and Strolling Track, Outdoor Tennis Courts, Cycling & Jogging Track, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Intercom Facility, Maintenance Staff, Banquet Hall, Gymnasium, Indoor Games Room, Kids Club, AEROBICS ROOM, DTH Television Facility, Flower Gardens, Rain Water Harvesting, Water Storage, Indoor Squash & Badminton Courts, Meditation Area, Vaastu Compliant, Internet/Wi-Fi Connectivity, Waste Disposal, Conference Room, Large Open space, Kids Play Pool With Water Slides, Fire Fighting Equipment","Amphitheater, Cricket Pitch, Changing Room, Gazebo, Spa, Vastu Compliant, Skating Rink, Fountains, Table Tennis, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Street Lighting, Indoor Games, Cycling & Jogging Track, Pergola, Shopping Mall, Piped Gas Connection, Food Court, Party Lawn, Sewage Treatment Plant, Intercom, Children's Play Area, Recreation Facilities, Party Hall, 24x7 CCTV Surveillance, Chess Board, Community Hall, Spa/Sauna/Steam, Maintenance Staff, Library, Rain Water Harvesting, Laundromat, 24x7 Security, Jacuzzi, Natural Pond, Waiting Lounge, Internet / Wi-Fi, Tennis Court, Fire Alarm, Garbage Disposal, Swimming Pool, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Flower Garden, Jogging Track, Gated Community, Utility Shops, Lawn Tennis Court, Club House, Doctor on call, Entrance Lobby, Service Lift, Yoga / Meditation Area, Security Cabin, Lift(s), Badminton Court, Terrace Garden, Sun Deck, Video Door Security, Restaurant, High Speed Elevators, Multipurpose Hall, Basketball Court, Conference Room, Paved Compound, Carrom, Power Backup, Billiards / Snooker Table",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; Power Backup; Restaurant; AC Waiting Lobby; Treated Water Supply; 24*7 Water Supply; Lift; Cafe / Coffee Bar; Sauna; Party Hall; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi; High Street Retail; Food Court; Senior Citizen Area; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone
327273,Amenities - List,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,10:Children's Play Area,213:Landscape Garden,17:Park,44:Banquet Hall,77:Jogging Track,4:Yoga/Meditation Area,38:Aerobics Centre,60:Cricket Pitch,79:Lawn Tennis Court,7:Conference Room,99:Sun Deck,46:Barbecue,139:Indoor Games,49:Billiards,100:Table Tennis,111:Spa,34:Car Parking,71:Gated Community,18:Paved Compound,64:Earthquake Resistant,115:Internal Street Lights,97:Solar Lighting,117:Solar Water Heating,55:CCTV Camera Security,135:Security Cabin,22:Fire Fighting Systems,137:24x7 Security,6:Waiting Lounge,33:Lifts,65:Entrance Lobby,21:Intercom,23:24/7 Power Backup,26:Sewage Treatment Plant,28:24/7 Water Supply,25:Rain Water Harvesting","Club House, Jogging and Strolling Track, Power Back Up, Swimming Pool, Lift, Reserved Parking, Visitor Parking, Intercom Facility, Banquet Hall, Gymnasium, Indoor Games Room, AEROBICS ROOM, Flower Gardens, Rain Water Harvesting, RO Water System, Indoor Squash & Badminton Courts, Meditation Area, Conference Room, 3 Tier Security System, Grand Entrance lobby, Solar Energy, CCTV Camera, Fire Sprinklers, Barbeque space, Kids play area, Half basketball court, Sewage treatment plant, Community entrance gate, Aesthetically designed landscape garden, Badminton court, Outdoor Tennis Courts, Fire Fighting Equipment","Waiting Lounge, Cricket Pitch, Tennis Court, Solar Lighting, Spa, Swimming Pool, Skating Rink, Fire Sprinklers, Landscaping & Tree Planting, Table Tennis, Gymnasium, Fire Fighting System, Flower Garden, Squash Court, Golf Course, Closed Car Parking, Car Parking, 24X7 Water Supply, Jogging Track, Gated Community, Indoor Games, Cycling & Jogging Track, Lawn Tennis Court, Sewage Treatment Plant, Club House, Intercom, Children's Play Area, Yoga / Meditation Area, Barbecue Area, Visitor Parking, Party Hall, Lift(s), Badminton Court, Aerobics Room, RO Water System, 24x7 CCTV Surveillance, Sun Deck, Reserved Parking, Basketball Court, Conference Room, Paved Compound, Spa/Sauna/Steam, Banquet Hall, Solar Water Heating, Rain Water Harvesting, 24x7 Security, Power Backup, Billiards / Snooker Table",Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green; Eco Friendly; Cafe / Coffee Bar; Mini Theatre; Sauna; Party Hall; Cards Room; Clubhouse; Indoor Games; Spa; Jacuzzi; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Power Backup; Restaurant; 24*7 Water Supply; Lift; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone
427056,Amenities - List,"11:Swimming Pool,13:Gymnasium,143:Lounge,17:Park,84:Natural Pond,44:Banquet Hall,40:Amphitheatre,77:Jogging Track,96:Skating Rink,4:Yoga/Meditation Area,16:Cafeteria,85:Party Lawn,139:Indoor Games,111:Spa,93:Sauna,109:Steam Room,69:Fountain,28:24/7 Water Supply","Power Back Up, Lift, Bank & ATM, Indoor Games Room, Air Conditioned, Internet/Wi-Fi Connectivity, Located in the Heart of city, Kids play area, Fire Fighting Equipment","Natural Pond, Waiting Lounge, Amphitheater, Entrance Lobby, Yoga / Meditation Area, Steam Room, Sauna Bath, Spa, Skating Rink, Swimming Pool, Fountains, Fire Sprinklers, Landscaping & Tree Planting, Gymnasium, 24X7 Water Supply, Jogging Track, Indoor Games, Banquet Hall, Party Lawn, Cafeteria, Power Backup, Club House",Rain Water Harvesting; Sewage Treatment Plant; Large Green Area; Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Rappelling/Rock Climbing; Power Backup; Restaurant; Treated Water Supply; High Speed Elevators; 24*7 Water Supply; Party Lawn; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Cafe / Coffee Bar; Dance Room; Reading Room/Library; Sauna; Party Hall; Amphitheater; Indoor Games; Conference Room; Spa; Luxurious Clubhouse
390137,Amenities - List,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,141:Mini Theatre,10:Children's Play Area,44:Banquet Hall,40:Amphitheatre,77:Jogging Track,43:Badminton Court,98:Squash Court,47:Basketball Court,96:Skating Rink,4:Yoga/Meditation Area,8:Shopping Centre,60:Cricket Pitch,79:Lawn Tennis Court,14:Restaurant,80:Library,52:Business Lounge,9:Multipurpose court,85:Party Lawn,53:Card Room,139:Indoor Games,76:Jacuzzi,111:Spa,93:Sauna,109:Steam Room,69:Fountain,95:Senior Citizen Sitout,34:Car Parking,36:Vastu Compliant,94:School,55:CCTV Camera Security,57:Cigar Lounge,33:Lifts,65:Entrance Lobby,45:Bar/Chill-Out Lounge","Club House, Cafeteria/Food Court, Bar/Lounge, Jogging and Strolling Track, Outdoor Tennis Courts, Private Terrace/Garden, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Service/Goods Lift, Visitor Parking, Intercom Facility, Maintenance Staff, Banquet Hall, Gymnasium, Indoor Games Room, Kids Club, Concierge Services, DTH Television Facility, Laundry Service, Piped Gas, Rain Water Harvesting, RO Water System, Water Storage, Air Conditioned, Indoor Squash & Badminton Courts, Multipurpose Courts, Meditation Area, Vaastu Compliant, Internet/Wi-Fi Connectivity, High Ceiling, Central AC, Premium branded fittings, AC in each room, Waste Disposal, Conference Room, Mini Cinema Theatre, Golf Course, Pool with temperature control, Skydeck, Earth quake resistant, Theme based Architectures, Health club with Steam / Jaccuzi, Located in the Heart of city, Large Clubhouse, 3 Tier Security System, Large Open space, Grand Entrance lobby, Solar Energy, Guest lobby in each floor, Kids play area, Activity Deck4, Badminton court, Event Space & Amphitheatre, Kids Play Pool With Water Slides, Fire Fighting Equipment","Amphitheater, Cricket Pitch, Volleyball Court, Spa, Skating Rink, Fountains, Mini Theatre, Business Suites, Kid's Pool, Concierge Service, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Indoor Games, Cycling & Jogging Track, Shopping Mall, Food Court, Party Lawn, Children's Play Area, Steam Room, Card Room, Party Hall, 24x7 CCTV Surveillance, Reserved Parking, Maintenance Staff, Banquet Hall, Library, Jacuzzi, Cafeteria, Reading Lounge, Internet / Wi-Fi, Sauna Bath, Tennis Court, Swimming Pool, Vastu Compliant, Water Storage, Gymnasium, Squash Court, Golf Course, School, Jogging Track, Gated Community, Lawn Tennis Court, Club House, Service Lift, Entrance Lobby, Yoga / Meditation Area, Bar/Chill-out Lounge, Lift(s), Badminton Court, RO Water System, Sun Deck, Restaurant, Multipurpose Hall, Basketball Court, Conference Room, Cigar Lounge",24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smart Card Access; Power Backup; Restaurant; Home Automation; Treated Water Supply; High Speed Elevators; Pre-School; Pet Area; High speed escalators; 24*7 Water Supply; Separate Enrty /Exit Gates; Service Elevators; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Putting; Massage Room; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Jacuzzi; Senior Citizen Area; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area
395716,Amenities - List,"11:Swimming Pool,13:Gymnasium,1:Club House,10:Children's Play Area,213:Landscape Garden,44:Banquet Hall,72:Gazebo,40:Amphitheatre,77:Jogging Track,43:Badminton Court,47:Basketball Court,96:Skating Rink,4:Yoga/Meditation Area,60:Cricket Pitch,53:Card Room,139:Indoor Games,49:Billiards,100:Table Tennis,76:Jacuzzi,34:Car Parking,71:Gated Community,115:Internal Street Lights,22:Fire Fighting Systems,137:24x7 Security,56:Changing Area,33:Lifts,23:24/7 Power Backup,26:Sewage Treatment Plant,28:24/7 Water Supply","Club House, Cafeteria/Food Court, Jogging and Strolling Track, Outdoor Tennis Courts, Cycling & Jogging Track, Power Back Up, Swimming Pool, Lift, Security, Reserved Parking, Visitor Parking, Intercom Facility, Maintenance Staff, Banquet Hall, Gymnasium, Indoor Games Room, Rain Water Harvesting, RO Water System, Water Storage, Meditation Area, Earth quake resistant, Large Clubhouse, 3 Tier Security System, CCTV Camera, Kids play area, Kids Splash Pool, Community entrance gate, Aesthetically designed landscape garden, Badminton court, Fire Fighting Equipment","Children's Play Area, Amphitheater, Cricket Pitch, Card Room, Multipurpose Hall, Basketball Court, Swimming Pool, Indoor Games, Landscaping & Tree Planting, Table Tennis, Gymnasium",24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Putting; Gazebo; Power Backup; Guest House; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn; Sauna; Party Hall; Cards Room; Amphitheater; Indoor Games; Luxurious Clubhouse; Jacuzzi; Rain Water Harvesting; Normal Park / Central Green; Eco Friendly
26134,Amenities - List,"11:Swimming Pool,13:Gymnasium,1:Club House,12:Golf Course,10:Children's Play Area,3:Theatre,213:Landscape Garden,17:Park,44:Banquet Hall,72:Gazebo,40:Amphitheatre,77:Jogging Track,43:Badminton Court,98:Squash Court,47:Basketball Court,79:Lawn Tennis Court,14:Restaurant,52:Business Lounge,9:Multipurpose court,99:Sun Deck,46:Barbecue,49:Billiards,100:Table Tennis,111:Spa,69:Fountain,34:Car Parking,71:Gated Community,18:Paved Compound,115:Internal Street Lights,202:Well-Maintained Internal Roads,59:Community Hall,135:Security Cabin,22:Fire Fighting Systems,137:24x7 Security,20:Video Door Security,113:Pergola,33:Lifts,31:Property Staff,21:Intercom,23:24/7 Power Backup,28:24/7 Water Supply,25:Rain Water Harvesting","Club House, Cafeteria/Food Court, Bar/Lounge, Outdoor Tennis Courts, Power Back Up, Swimming Pool, Security, Park, Reserved Parking, Intercom Facility, Gymnasium, Indoor Games Room, DTH Television Facility, Flower Gardens, Piped Gas, Rain Water Harvesting, Water Storage, Air Conditioned, Multipurpose Courts, Vaastu Compliant, Internet/Wi-Fi Connectivity, Waste Disposal, Golf Course, Earth quake resistant, Outdoor Tennis Courts, Event Space & Amphitheatre, Fire Fighting Equipment","Children's Play Area, Car Parking, Multipurpose Room, Jogging Track, Swimming Pool, Banquet Hall, Gymnasium, Club House",Power Backup; Restaurant; Treated Water Supply; 24*7 Water Supply; Mini Theatre; Reading Room/Library; Party Hall; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Indoor Swimming Pool; Heated Swimming Pool; Gazebo; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area
433855,Amenities - List,"11:Swimming Pool,13:Gymnasium,1:Club House,143:Lounge,10:Children's Play Area,213:Landscape Garden,44:Banquet Hall,40:Amphitheatre,77:Jogging Track,43:Badminton Court,4:Yoga/Meditation Area,50:Bowling Alley,14:Restaurant,80:Library,9:Multipurpose court,99:Sun Deck,53:Card Room,49:Billiards,87:Pool Table,100:Table Tennis,76:Jacuzzi,66:Flower Garden,95:Senior Citizen Sitout,34:Car Parking,33:Lifts,45:Bar/Chill-Out Lounge","Club House, Power Back Up, Swimming Pool, Lift, Security, Reserved Parking, Visitor Parking, Maintenance Staff, Gymnasium, Rain Water Harvesting, Multipurpose Hall, CCTV Camera, Kids play area, Aesthetically designed landscape garden, Badminton court","Waiting Lounge, Amphitheater, Tennis Court, Swimming Pool, Landscaping & Tree Planting, Table Tennis, Gymnasium, Flower Garden, Closed Car Parking, Car Parking, Jogging Track, Senior Citizen Siteout, Cycling & Jogging Track, Bowling Alley, Club House, Children's Play Area, Entrance Lobby, Yoga / Meditation Area, Card Room, Bar/Chill-out Lounge, Lift(s), Badminton Court, Sun Deck, Restaurant, High Speed Elevators, Multipurpose Hall, Banquet Hall, Library, 24x7 Security, Jacuzzi, Billiards / Snooker Table",24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Power Backup; Treated Water Supply; High Speed Elevators; Pet Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Party Hall; Clubhouse; Amphitheater; Indoor Games; Senior Citizen Area; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Gazebo; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area
