index,reference_text
396805,"https://www.prestigeconstructions.com/admin/uploads/investors/financial-performance/2020/q2/q2-fy-2021-investor-presentation-2.pdf  12-08-2027 Possession date udpated RERA added Fact table as per RERA Brochure added Options and floor plan updated from brochure OPTIONS - ONLY THOSE TAKEN WHICH ARE GIVEN IN CARPET AREA, OPTIONS GIVEN AS SALEABLE AREA ARE NOT CONSIDERED  ============== Following Elements Updated by Field (,Brochure,PL,PP,,,,FP  on 03-05-2024)"
374970,https://www.dsrinfra.com/property/dsr-elixir/#  Comprehensive upgrades??   localityas per sales 22 march 2021 possession changed as per sales: 14 nov PL as per sales  only one rera number found on website  as backend is fluctuating deleted imgs are re appearing
436877,No Rera Url
428361,No Rera Url
402421,"No Rera Url ============== Price Panel updated on 12/18/2023 ============== Following Elements Updated by Field (Images,Brochure,PL,,Video,,,FP  on 10-01-2024) ============== Price Panel updated on 08-04-2024"
426532,"USP,  image, fact table, options, ameneties updated LH updated as per discussion with Meenakshi  unable to validate possession MAHA RERA site not working    Upgrade  6-17-2024 NO duplicate builder found not made changes in LH due to reference  "
6554,"http://www.magicbricks.com/newa-garden-airoli-navi-mumbai-pdpid-4d4235303031363231  https://www.commonfloor.com/newa-garden-navi-mumbai/povp-94mf27  https://www.commonfloor.com/newa-garden-ii-navi-mumbai/povp-b89l36  http://www.mumbaipropertyexchange.com/project/newa-garden-airoli-by-newa-group/3284 (not opening)  https://www.proptiger.com/mumbai/airoli/newa-developer-garden-ii-654648   http://property.sulekha.com/newa-garden-in-airoli-navi-mumbai?ref=similarprojects_expiryprojectdetail  http://www.99acres.com/microsite/newa-garden-ii-airoli-skyline-estates-navi-mumbai-residential-property/  phase 2 cant be created as builder not present, only building created.  taking inforamtion of 1 and 2 not taken logo  tower as per master  builder website not found  address as per google  Locality needs to be changed, data entered  units cant be updated as don't know of total phase (both )  floors as per landing page of mumbai property exhange 22+silt taken as not able to count from elevation  sulekha website logo not taken as it is contracting builder name , not able to validate   commercial not ticked as not able to validate from advertiser and single shop is visbile in master, hence marked grocery shop in amenities   https://youtu.be/utAr60gwL3E( not uploaded as it just showing out tower of project)  location map not taken as it has phase 2 logo on it, and updated as 1 project so contradicting Kindly don’t update Page content, its templatized updated by SEO Team"
433763,4/10/2024 SAB creation 5882245 Reference Site:- RERA Builder site:- https://runwalgroup.in/ Rera Site:- https://maharerait.maharashtra.gov.in/project/view/47729 Latlong- Exact/no listing found                                          Fact Table- taken from RERA Possession: As per RERA Options/: will ask for valid source Construction Image/Master Plan/Location plan- not Available Video: Not Available Location Highlights: Updated as per google map USP- As per sales  LH UPDATED AS PER STRICTLY   -----Internal Upgrades----- VV https://runwal7mahalaxmi.in/ -not working Exact LL updated// LH not touched as per reference//Payment plan - Updated as per RERA//video from builder channel// 
440012,sales creation 
376145,"No Rera Url  Options, floor plans removed as per sales 3-Jul-2021  Not considered price list  https://dm9vaecpwvl4g.cloudfront.net/listing_00202106001100130059000000000032/1024x600/shriram-suvilas-palms-in-886-1623482093039.jpg   Builder will send pricing change  ============== Updated by Field (Images,Brochure,PL,PP,Video,LH,, Updated on 18-08-2023) ============== Following Elements Updated by Field (Images,,,,Video,,,  on 09-01-2024) ============== Following Elements Updated by Field (Images,,,,Video,,,  on 24-04-2024)"
418968,"Creation, Sales ticket - 4577460   Builder website not working ________-   google links are not considered  brochure, images, logo ups updated ============== Following Elements Updated by Field (Images,Brochure,PL,PP,Video,LH,,FP  on 02-05-2024)"
403699,"2/2/2023 2667  Reference Site: RERA  Builder site :- https://www.godrejproperties.com/ (no project details)  Rera Site:- https://maharerait.mahaonline.gov.in/PrintPreview/PrintPreview?q=Xyh86m%2fC9pIrx5jZ1sExdGfNwhRmqImr0ZLZAPkD81LBa%2bYPDsyWYtV5aw95QZLZ8atlFXgwFdYttyDoK%2bwQ8ZRu5weS9cWos94sL6pwdXcvxeCrGE3UEk5HAtRlLqhhK37Uuz7HyxrNozeIoQnYG%2bmfc9lqgV37d%2bA42xDfKW0ruvUFXXYIsQ%3d%3d  Latlong- Exact/Listing found  Fact Table- taken from Rera  Possession: As per RERA  Options: As per RERA  Construction Image/Master Plan/Location plan- not Available  Video: Not Available  Payment plan - Updated  Location Highlights: Updated ============== Updated by Field (Images,Brochure,PL,,Video,LH,PH,FP Updated on 15-09-2023) ============== Price Panel updated on 12/19/2023"
379240,"https://www.providenthousing.com/projects/bangalore/sundeck  Comprehensive upgrades??  https://www.99acres.com/provident-equinox-mysore-road-bangalore-west-npxid-r332743 has np live  the r379240 has been created as per sales -NP live  pp on rera: Blank ============== Updated by field ( Pricelist)  ---------------------------------------------------------  Price panel updated as per builder mail  Brochure and images as shared have been updated.  Floor plans, amenities, possession date and status updated  Videos removed as per builder mail"
435755,No Rera Url
88315,"https://www.godrejproperties.com/  https://www.godrejproperties.com/godrejsky/index#  http://www.99acres.com/microsite/skyscraper-realtors-godrej-sky-byculla-mumbai-harbour/   confirmed with builder, RR Builders Ltd is just associated with the project as a construction company**  Possession date updated by info quality  fact table not validated, not changed** ============== Images,Brochure,PL,PP,Video,,,FP Updated on 28-09-2023 ============== Price Panel updated on 1/18/2024"
