Index,data_point_name,99acres,Primary,Secondary,score
6554,Project Name,Newa Garden,Not available,Not available,
8044,Project Name,VKG Krishna Residences,KRISHNA RESIDENCES PHASE 1,VKG Krishna Residences,
8072,Project Name,Ruparel Ariana,Ruparel Ariana,Ruparel Ariana,
8130,Project Name,Paradise Sai Miracle,Not available,Sai Miracle,
8678,Project Name,Paradise Sai Riverdale,Not available,Sai Riverdale,
59796,Project Name,34 Park Estate,34 Park Estate,34 Park Estate,
70262,Project Name,Puraniks Aarambh,Aarambh - C,Aarambh by Puraniks,
86837,Project Name,Nahar Laurel and Lilac,Not available,Laurel and Lilac,
88315,Project Name,Ruparel Vivanza,RUPAREL VIVANZA,Ruparel Vivanza,
97522,Project Name,Delta Palm Beach,DELTA PALMBEACH,Not available,
379927,Project Name,Prescon Midtown Bay,Midtown Bay,MIRACLE BAY,
382996,Project Name,Regents Park Kharghar,Regents Park Kharghar,REGENTS PARK,
385201,Project Name,Ajmera Manhattan,AJMERA MANHATTAN BUILDING 3A AND 3B,Ajmera Manhattan,
403699,Project Name,Godrej Five Gardens,Godrej Five Gardens,Godrej Five Gardens,
410696,Project Name,Godrej Bliss,Godrej Bliss,Godrej Bliss,
410757,Project Name,Sairaj Balaji Vishant,Balaji Vishant,Balaji Vishant,
411231,Project Name,Sahakar Revanta,Sahakar Revanta,Sahakar Revanta,
414360,Project Name,Atharv Aaradhyam,ATHARV AARADHYAM,Atharv Aaradhyam,
414413,Project Name,Sri Artha Arthaya,Arthaya,Arthaya,
414637,Project Name,Lakshdeep Delight Heritage,Delight Heritage,Delight Heritage,
414638,Project Name,Fortune Florence,Fortune Florence,Fortune Florence,
415161,Project Name,Hiranandani Empress Hill,EMPRESS HILL A B C and D Wings,Empress Hill,
418615,Project Name,Edmont Aurelia,EDMONT - AURELIA,Edmont - Aurelia,
418790,Project Name,Shreeji Gateway,SHREEJI GATEWAY,Shreeji Gateway,
