Index,data_point_name,99acres,C1,C2,C3,,,,,,,
430588,Amenities Count,48,25,48,26,,,,,,,
432470,Amenities Count,37,30,33,35,,,,,,,
298821,Amenities Count,41,49,65,36,,,,,,,
410631,Amenities Count,99,26,84,42,,,,,,,
418319,Amenities Count,49,7,50,36,,,,,,,
348347,Amenities Count,52,10,65,23,,,,,,,
387255,Amenities Count,40,15,28,36,,,,,,,
272653,Amenities Count,54,8,56,Not Available,,,,,,,
334709,Amenities Count,43,10,49,39,,,,,,,
431965,Amenities Count,25,Not available,14,34,,,,,,,
431964,Amenities Count,25,Not available,23,27,,,,,,,
425268,Amenities Count,23,30,23,25,,,,,,,
394731,Amenities Count,30,45,41,27,,,,,,,
88315,Amenities Count,36,15,32,41,,,,,,,
370898,Amenities Count,44,7,43,39,,,,,,,
430588,Avg Price psft,13351.5,11700,11.51 K - ?13.23 K,"13,500",,,,,,,
432470,Avg Price psft,12128.5, 7012,10.1 K,Not Available,,,,,,,
298821,Avg Price psft,36198,16938,Not Available,Not Available,,,,,,,
410631,Avg Price psft,25531,15600,22.65 K - ?24.26 K,Not Available,,,,,,,
418319,Avg Price psft,12600,Rs 8490,10.77 K/sq.ft,Not Available,,,,,,,
348347,Avg Price psft,27812,? 17045,?25.31 K/sq.ft,"?26,097 Per Sq. Ft",,,,,,,
387255,Avg Price psft,60970,21000,39.26 K/sq.ft,Not Available,,,,,,,
272653,Avg Price psft,32211.5,22400,Not Available,Not Available,,,,,,,
334709,Avg Price psft,31165,17536,?28.01 K/sq.ft,"?44,960 Per Sq. Ft",,,,,,,
431965,Avg Price psft,39802.5,9277,40.71 K - 50.04 K/sq.ft,"11,500 Per Sq. Ft",,,,,,,
431964,Avg Price psft,39802.5,20700,39.29 K/sq.ft,"23,000 Per Sq. Ft",,,,,,,
425268,Avg Price psft,0,15487,16.21 K - ?28.43 K/sq.ft,Not available,,,,,,,
394731,Avg Price psft,48675,? 28493,?45.75 K/sq.ft,41700/Sq.Ft,,,,,,,
88315,Avg Price psft,38438,Rs 23100,37.58 K - 41.99 K/sq.ft,Not Available,,,,,,,
370898,Avg Price psft,17433,Not Available,?16.94 K/sq.ft,"?12,343 Per Sq. Ft",,,,,,,
430588,Avg Price psft Type,13351.5,11700,11.51 K - ?13.23 K,"13,500",,,,,,,
432470,Avg Price psft Type,12128.5, 7012,10.1 K,Not Available,,,,,,,
298821,Avg Price psft Type,36198,16938,Not Available,Not Available,,,,,,,
410631,Avg Price psft Type,25531,15600,22.65 K - ?24.26 K,Not Available,,,,,,,
