"projectId","rescom","id"
"313043","RESIDENTIAL","223405247"
"313043","RESIDENTIAL","223405247"
"31974","RESIDENTIAL","223403881"
"31974","RESIDENTIAL","223403881"
"80120","RESIDENTIAL","140400815"
"229675","RESIDENTIAL","189472143"
"276483","RESIDENTIAL","223059429"
"276483","RESIDENTIAL","223059429"
"39392","RESIDENTIAL","189478619"
"66928","RESIDENTIAL","190206689"
"301229","RESIDENTIAL","223404225"
"301229","RESIDENTIAL","223404225"
"67960","RESIDENTIAL","189470181"
"129325","RESIDENTIAL","189477567"
"55672","RESIDENTIAL","210995399"
"55672","RESIDENTIAL","210995399"
"298389","RESIDENTIAL","191087545"
"28838","RESIDENTIAL","140398081"
"42286","RESIDENTIAL","207678777"
"42286","RESIDENTIAL","207678777"
"257191","RESIDENTIAL","204226507"
"257191","RESIDENTIAL","204226507"
"134327","RESIDENTIAL","177383019"
"162729","RESIDENTIAL","189474895"
"2400","RESIDENTIAL","222612471"
"2400","RESIDENTIAL","222612471"
"42346","RESIDENTIAL","189474129"
"14582","RESIDENTIAL","188796071"
"698","RESIDENTIAL","189471219"
"236020","RESIDENTIAL","162409235"
"131801","RESIDENTIAL","222144241"
"131801","RESIDENTIAL","222144241"
"231821","RESIDENTIAL","52701656"
"6824","RESIDENTIAL","190851683"
"9808","RESIDENTIAL","189021331"
"259451","RESIDENTIAL","222610799"
"259451","RESIDENTIAL","222610799"
"204557","RESIDENTIAL","190854911"
"157667","RESIDENTIAL","189475165"
"95","RESIDENTIAL","172443481"
"43794","RESIDENTIAL","120573911"
"238280","RESIDENTIAL","83726947"
"23558","RESIDENTIAL","189233027"
"307971","RESIDENTIAL","223404849"
"307971","RESIDENTIAL","223404849"
"105819","RESIDENTIAL","189724311"
"256923","RESIDENTIAL","218029243"
"256923","RESIDENTIAL","218029243"
"9110","RESIDENTIAL","223859631"
"9110","RESIDENTIAL","223859631"
"33126","RESIDENTIAL","181893899"
"207703","RESIDENTIAL","143718215"
"129949","RESIDENTIAL","189477601"
"130329","RESIDENTIAL","190855309"
"257471","RESIDENTIAL","172112059"
"251089","RESIDENTIAL","54392085"
"51440","RESIDENTIAL","198160719"
"94094","RESIDENTIAL","223861509"
"94094","RESIDENTIAL","223861509"
"13234","RESIDENTIAL","188795905"
"6646","RESIDENTIAL","120571245"
"268625","RESIDENTIAL","69620879"
"128799","RESIDENTIAL","190855229"
"308403","RESIDENTIAL","189724903"
"179","RESIDENTIAL","128588447"
"98734","RESIDENTIAL","189898687"
"92037","RESIDENTIAL","189898597"
"67480","RESIDENTIAL","189474671"
"54910","RESIDENTIAL","175166027"
"205277","RESIDENTIAL","190634471"
"242505","RESIDENTIAL","129915613"
"41620","RESIDENTIAL","189897953"
"325271","RESIDENTIAL","189900867"
"64974","RESIDENTIAL","189234835"
"217325","RESIDENTIAL","190203555"
"272745","RESIDENTIAL","86769341"
"318149","RESIDENTIAL","197074741"
"275787","RESIDENTIAL","203293605"
"73113","RESIDENTIAL","35396295"
"302621","RESIDENTIAL","223863375"
"302621","RESIDENTIAL","223863375"
"274255","RESIDENTIAL","88805045"
"24042","RESIDENTIAL","220725653"
"24042","RESIDENTIAL","220725653"
"29390","RESIDENTIAL","138806571"
"19218","RESIDENTIAL","222370667"
"19218","RESIDENTIAL","222370667"
"299373","RESIDENTIAL","223862957"
"299373","RESIDENTIAL","223862957"
"53122","RESIDENTIAL","38945927"
"70","COMMERCIAL","160385353"
"255023","RESIDENTIAL","175323131"
"19834","RESIDENTIAL","188797837"
"127915","RESIDENTIAL","190204965"
"5312","RESIDENTIAL","189902357"
"22640","RESIDENTIAL","29838285"
"272283","RESIDENTIAL","168864239"
"229117","RESIDENTIAL","194604525"
"293725","RESIDENTIAL","200227559"
"254409","RESIDENTIAL","189474859"
"129225","RESIDENTIAL","140066501"
"123575","RESIDENTIAL","222144087"
"123575","RESIDENTIAL","222144087"
"31136","RESIDENTIAL","58225835"
"761","RESIDENTIAL","185242723"
"174277","RESIDENTIAL","125792753"
"5700","RESIDENTIAL","188794321"
"14788","RESIDENTIAL","188796111"
"34546","RESIDENTIAL","189017741"
"272179","RESIDENTIAL","148540559"
"16682","RESIDENTIAL","189479289"
"173893","RESIDENTIAL","189475215"
"134439","RESIDENTIAL","189476973"
"1737","COMMERCIAL","31098921"
"35628","RESIDENTIAL","189018947"
"94444","RESIDENTIAL","189898623"
"276687","RESIDENTIAL","125793377"
"53458","RESIDENTIAL","223627059"
"53458","RESIDENTIAL","223627059"
"159823","RESIDENTIAL","222370725"
"159823","RESIDENTIAL","222370725"
"153117","RESIDENTIAL","222145051"
"153117","RESIDENTIAL","222145051"
"2594","RESIDENTIAL","58151889"
"49674","RESIDENTIAL","140399325"
"34800","RESIDENTIAL","17239636"
"270749","RESIDENTIAL","222849091"
"270749","RESIDENTIAL","222849091"
"260260","RESIDENTIAL","87068861"
"24564","RESIDENTIAL","223861611"
"24564","RESIDENTIAL","223861611"
"66148","RESIDENTIAL","223404399"
"66148","RESIDENTIAL","223404399"
"13378","RESIDENTIAL","140396805"
"65752","RESIDENTIAL","210995499"
"65752","RESIDENTIAL","210995499"
"7926","RESIDENTIAL","199764681"
"19290","RESIDENTIAL","188797711"
"3156","RESIDENTIAL","188793669"
"33564","RESIDENTIAL","17679972"
"78201","RESIDENTIAL","140400771"
"128593","RESIDENTIAL","189236987"
"271185","RESIDENTIAL","189479239"
"257659","RESIDENTIAL","190855875"
"23854","RESIDENTIAL","135277293"
"81931","RESIDENTIAL","209848431"
"81931","RESIDENTIAL","209848431"
"104630","RESIDENTIAL","175321987"
"104222","RESIDENTIAL","212075029"
"104222","RESIDENTIAL","212075029"
"51818","RESIDENTIAL","140399417"
"202603","RESIDENTIAL","223861619"
"202603","RESIDENTIAL","223861619"
"27114","RESIDENTIAL","188799055"
"210399","RESIDENTIAL","189471119"
"30738","RESIDENTIAL","223403675"
"30738","RESIDENTIAL","223403675"
"315725","RESIDENTIAL","144289891"
"13204","RESIDENTIAL","19923810"
"5790","RESIDENTIAL","223625079"
"5790","RESIDENTIAL","223625079"
"16900","RESIDENTIAL","188796779"
"293729","RESIDENTIAL","189724129"
"324483","RESIDENTIAL","189900657"
"34084","RESIDENTIAL","175320981"
"208105","RESIDENTIAL","189471029"
"57840","RESIDENTIAL","223626455"
"57840","RESIDENTIAL","223626455"
"316445","RESIDENTIAL","223405813"
"316445","RESIDENTIAL","223405813"
"137215","RESIDENTIAL","189237161"
"5018","RESIDENTIAL","189230965"
"335129","RESIDENTIAL","189904119"
"7154","RESIDENTIAL","188794629"
"41856","RESIDENTIAL","189897959"
"298207","RESIDENTIAL","223058967"
"298207","RESIDENTIAL","223058967"
"313037","RESIDENTIAL","189902661"
"7908","RESIDENTIAL","26404401"
"269784","RESIDENTIAL","209215117"
"269784","RESIDENTIAL","209215117"
"66272","RESIDENTIAL","189722765"
"151629","RESIDENTIAL","120575423"
"268901","RESIDENTIAL","189721761"
"11992","RESIDENTIAL","189232371"
"86085","RESIDENTIAL","189019353"
"320159","RESIDENTIAL","223405763"
"320159","RESIDENTIAL","223405763"
"33494","RESIDENTIAL","223626863"
"33494","RESIDENTIAL","223626863"
"259581","RESIDENTIAL","222610811"
"259581","RESIDENTIAL","222610811"
"266059","RESIDENTIAL","189899409"
"276135","RESIDENTIAL","189721787"
"220","RESIDENTIAL","205100243"
"220","RESIDENTIAL","205100243"
"44932","RESIDENTIAL","189477925"
"4802","RESIDENTIAL","223624517"
"4802","RESIDENTIAL","223624517"
"53802","RESIDENTIAL","190853283"
"259843","RESIDENTIAL","54012634"
"8394","RESIDENTIAL","188794803"
"257435","RESIDENTIAL","189475725"
"10256","RESIDENTIAL","188795591"
"862","RESIDENTIAL","178935567"
"105641","RESIDENTIAL","34066699"
"172663","RESIDENTIAL","223404401"
"172663","RESIDENTIAL","223404401"
"6144","RESIDENTIAL","223858385"
"6144","RESIDENTIAL","223858385"
"256583","RESIDENTIAL","222610291"
"256583","RESIDENTIAL","222610291"
"226865","RESIDENTIAL","175322793"
"13758","RESIDENTIAL","188795961"
"246029","RESIDENTIAL","52702670"
"10772","RESIDENTIAL","158163477"
"266585","RESIDENTIAL","222612191"
"266585","RESIDENTIAL","222612191"
"30244","RESIDENTIAL","44648211"
"32206","RESIDENTIAL","140398381"
"17376","RESIDENTIAL","38636151"
"322147","RESIDENTIAL","189903087"
"1500","RESIDENTIAL","222142375"
"1500","RESIDENTIAL","222142375"
"65536","RESIDENTIAL","190853357"
"303503","RESIDENTIAL","191292253"
"31354","RESIDENTIAL","223403741"
"31354","RESIDENTIAL","223403741"
"33820","RESIDENTIAL","223625275"
"33820","RESIDENTIAL","223625275"
"62499","RESIDENTIAL","189475687"
"30700","RESIDENTIAL","189233647"
"18332","RESIDENTIAL","175320655"
"43012","RESIDENTIAL","223403515"
"43012","RESIDENTIAL","223403515"
"98100","RESIDENTIAL","189235691"
"115265","RESIDENTIAL","189236791"
"2074","RESIDENTIAL","222370603"
"2074","RESIDENTIAL","222370603"
"311801","RESIDENTIAL","189899389"
"97058","RESIDENTIAL","189235619"
"189449","RESIDENTIAL","141187483"
"5692","RESIDENTIAL","223624943"
"5692","RESIDENTIAL","223624943"
"43468","RESIDENTIAL","189236565"
