Index,data_point_name,99acres,C1,C2,C3,score,den,consensus_value,consensus_score
1,RERA,Not Available,Not Available,Rera Not Applicable,660/2017/307,0,1,N/A,1
2,RERA,GGM/554/286/2022/29DATED25.04.2022,29,GGM/554/286/2022/29 DATED 25.04.2022,GGM/554/286/2022/29,,,,
4,RERA,RC/REP/HARERA/GGM/772/504/2023/116,RC/REP/HRERA/GGM/772/504/2023/116,HARERA/GGM/772/504/2023/116,GGM/772/504/2023/116,,,,
12,Configs,"2, 3 BHK | 3, 4 BHK","2,3 BHK","2, 3, 4 BHK","2, 3 BHK",,,,
13,Configs,Not Available,"3,4 BHK","3, 4 BHK","3, 4 BHK",,,,
2,Project Area,12.5745 acres,12.5767 Acre,12.6 Acres (80% open),12.5 Acres,,,,
3,Project Area,12.6,12.5767 Acre,12.6 Acres (80% open),12.5 Acres,,,,
327273,Photos,20,30 Photos,Not Available,21,,,,
427056,Photos,18,9 Photos,24,16,,,,
390137,Photos,54,76 Photos,65,33,,,,
395716,Photos,15,31 Photos,18,14,,,,
