id,index_value,data_point_name,value_99acres,c1,c2,c3,score,den,consensus_value,consensus_score,is_scored
54,1,RERA,Not Available,Not Available,Rera Not Applicable,660/2017/307,0,1,N/A,1,1
55,2,RERA,GGM/554/286/2022/29DATED25.04.2022,29,GGM/554/286/2022/29 DATED 25.04.2022,GGM/554/286/2022/29,1,3,N/A,1,1
56,4,RERA,RC/REP/HARERA/GGM/772/504/2023/116,RC/REP/HRERA/GGM/772/504/2023/116,HARERA/GGM/772/504/2023/116,GGM/772/504/2023/116,0,3,N/A,1,1
57,12,Configs,"2, 3 BHK | 3, 4 BHK","2,3 BHK","2, 3, 4 BHK","2, 3 BHK",2,3,"2bhk,3bhk",2,1
58,13,Configs,Not Available,"3,4 BHK","3, 4 BHK","3, 4 BHK",0,3,"3bhk,4bhk",3,1
59,2,Project Area,12.5745 acres,12.5767 Acre,12.6 Acres (80% open),12.5 Acres,2,3,N/A,1,1
60,3,Project Area,12.6,12.5767 Acre,12.6 Acres (80% open),12.5 Acres,2,3,N/A,1,1
61,327273,Photos,20,30 Photos,Not Available,21,0,2,N/A,1,1
62,427056,Photos,18,9 Photos,24,16,2,3,N/A,1,1
63,390137,Photos,54,76 Photos,65,33,1,3,N/A,1,1
64,395716,Photos,15,31 Photos,18,14,1,3,N/A,1,1
