XID,Project Name,City,Magicbricks.com Link
r420162,Aastha The Watermark,Jamshedpur,https://www.magicbricks.com/kamini-kaushal-the-watermark-adityapur-jamshedpur-pdpid-4d4235343232303435
r413382,Shriram Solitaire,Bangalore North,https://www.magicbricks.com/shriram-solitaire-yelahanka-new-town-bangalore-pdpid-4d4235343036333233
r376088,Smart World Orchard,Gurgaon,https://www.magicbricks.com/smartworld-orchard-sector-61-gurgaon-pdpid-4d4235333234323439
r300077,Elevate Godrej Se7en,Kolkata South,https://www.magicbricks.com/elevate-at-godrej-seven-joka-kolkata-pdpid-4d4235343139333631
r429474,RLD Merlion Estate,Chennai West,https://www.magicbricks.com/rld-merlion-estate-vanagaram-chennai-pdpid-4d4235343233373833
r417614,Sri MGR Windsor Gardens,Bangalore South,https://www.magicbricks.com/mgr-windsor-gardens-jp-nagar-phase-5-bangalore-pdpid-4d4235343231383733
r386987,DS Max Sukruth,Bangalore South,https://www.magicbricks.com/ds-max-sukruth-chandapura-bangalore-pdpid-4d4235333236363035
r405295,Sapnil Residency,Kolkata North,https://www.magicbricks.com/sapnil-residency-bonhooghly-kolkata-pdpid-4d4235303236323239
r434608,Eldeco Fairway Reserve,Gurgaon,https://www.magicbricks.com/eldeco-fairway-reserve-sector-80-gurgaon-pdpid-4d4235343234353137
r294633,Codename Skywards,Thane Outskirts,https://www.magicbricks.com/jp-codename-skywards-ambernath-east-beyond-thane-pdpid-4d4235333333383335
r262402,Bhavishya Metro City,Bhopal,https://www.magicbricks.com/bhivisya-metro-city-bhopal-bagh-sewaniyan-bhopal-pdpid-4d4235323230333533
r376598,Ravimurugaa Sai Gardenia,Coimbatore,https://www.magicbricks.com/sai-gardenia-peelamedu-coimbatore-pdpid-4d4235343130313735
r402170,Imperial Ville,Jaipur,https://www.magicbricks.com/hi-tech-imperial-ville-gandhi-path-jaipur-pdpid-4d4235333937363935
r436787,Malpani Celestia,Pune South,https://www.magicbricks.com/celestia-baner-gaon-pune-pdpid-4d4235333933373035
r29040,Naiknavare Kutumb,Pune West,https://www.magicbricks.com/naiknavare-kutumb-prime-vadgaon-pune-pdpid-4d4235333333303637
r369336,Om Sree Brilliance,Secunderabad,https://www.magicbricks.com/om-sree-brilliance-as-rao-nagar-hyderabad-pdpid-4d4235313838353232
r434202,Nidhi Land Shakthi Heights,Mangalore,https://www.magicbricks.com/nidhi-land-shakthi-heights-shakti-nagar-mangalore-pdpid-4d4235343234333133
r375899,Raama Skyz,Vadodara,https://www.magicbricks.com/raama-skyz-sama-vadodara-pdpid-4d4235323330323437
r390836,Anand Bhawan,Western Mumbai,https://www.magicbricks.com/anand-bhavan-santacruz-west-mumbai-pdpid-4d4235323238393031
r424835,Venkatesh Anandmayi,Pune South,https://www.magicbricks.com/venkatesh-heights-narhe-pune-pdpid-4d4235303839363932
r332831,Prateek Canary,Noida,https://www.magicbricks.com/prateek-canary-sector-150-noida-pdpid-4d4235313236353535
r392193,Kohinoor Abhimaan Homes Phase 3,Pune North,https://www.magicbricks.com/kohinoor-abhimaan-homes-shirgaon-pune-pdpid-4d4235303936343837
r388872,The Empire,Nagpur,https://www.magicbricks.com/the-empire-by-jarry-profit-&-r-sandesh-group-kadvi-chowk-nagpur-pdpid-4d4235333238323639
r410569,Gracewood Elegance,Vadodara,https://www.magicbricks.com/gracewood-elegance-bill-vadodara-pdpid-4d4235343136363531
r409549,Protech Pride,Guwahati,https://www.magicbricks.com/protech-pride-bagharbari-guwahati-pdpid-4d4235343139343731
r432552,Altura 3,Jaipur,https://www.magicbricks.com/altura-iii-mansarovar-jaipur-pdpid-4d4235343233363933
r422307,Aakar Park,Nagpur,https://www.magicbricks.com/aakar-park-besa-nagpur-pdpid-4d4235343139303335
r422453,Assetz 66 and Shibui,Bangalore East,https://www.magicbricks.com/assetz-66-and-shibui-whitefield-bangalore-pdpid-4d4235343139343839
r354918,Super Homes Abhirama,Hyderabad,https://www.magicbricks.com/super-homes-abhirama-lb-nagar-hyderabad-pdpid-4d4235323135303435
r430176,Elegance Pristine,Bangalore South,https://www.magicbricks.com/pristine-elegance-hsr-layout-bangalore-pdpid-4d4235303236373536
r376104,Modi Serene Park,Hyderabad,https://www.magicbricks.com/modi-serene-park-ghatkesar-hyderabad-pdpid-4d4235313835303937
r418266,Srinidhi Iris,Hyderabad,https://www.magicbricks.com/srinidhi-iris-bachupally-hyderabad-pdpid-4d4235343234363431
r390105,Riverscape,Hyderabad,https://www.magicbricks.com/urrban-riverscape-bandlaguda-jagir-hyderabad-pdpid-4d4235333333313931
r437026,Lambodara D Square City,Coimbatore,https://www.magicbricks.com/d-square-city-saravanampatti-coimbatore-pdpid-4d4235343235373237
r390015,Radha Madhav Vrindavan Phase 3,Nagpur,https://www.magicbricks.com/radha-madhav-vrindavan-phase-iii-jamtha-nagpur-pdpid-4d4235333331333839
r413870,Pyramid Gloria,Nagpur,https://www.magicbricks.com/pyramid-gloria-pipla-nagpur-pdpid-4d4235343230313339
r376463,Urban Vista Phase 1,Kolkata East,https://www.magicbricks.com/loharuka-urban-vista-rajarhat-kolkata-pdpid-4d4235333234343131
r352,BPTP Parklands,Faridabad,https://www.magicbricks.com/bptp-parklands-neharpar-faridabad-pdpid-4d4235313135353039
r871,Ireo Victory Valley,Gurgaon,https://www.magicbricks.com/ireo-victory-valley-sector-67-gurgaon-pdpid-4d4235303231363438
r402643,DTC Sojon,Kolkata South,https://www.magicbricks.com/dtc-sojon-joka-kolkata-pdpid-4d4235333931303837
r344265,Shriram Sunshine 2,Hooghly,https://www.magicbricks.com/shriram-sunshine-one-uttarpara-kolkata-pdpid-4d4235313332363035
r386817,Shevi Utopia Gold,Pune North,https://www.magicbricks.com/shevi-utopia-gold-moshi-pune-pdpid-4d4235333334353437
r411500,Shapoorji Pallonji The Odyssey 1,South Mumbai,https://www.magicbricks.com/shapoorji-pallonji-the-odyssey-1-girgaon-mumbai-pdpid-4d4235343234333835
r322869,Anantnath And Forever City,Thane Outskirts,https://www.magicbricks.com/and-forever-city-diva-thane-pdpid-4d4235303932383238
r426337,M Soul Strings,Pune West,https://www.magicbricks.com/malpani-m-soul-strings-pashan-pune-pdpid-4d4235343231313931
r270000,Eureka Park By Tata Value Homes,Noida,https://www.magicbricks.com/tata-eureka-park-sector-150-noida-pdpid-4d4235313235363339
r345843,Leverage Greenwoods Unity,Nagpur,https://www.magicbricks.com/leverage-greenwoods-unity-pipla-nagpur-pdpid-4d4235333932313235
r407293,Primark Inspira,Hyderabad,https://www.magicbricks.com/primark-inspira-miyapur-hyderabad-pdpid-4d4235343133343037
r402373,One Meraki,Central Mumbai,https://www.magicbricks.com/one-meraki-chembur-mumbai-pdpid-4d4235333936353831
r28336,Max Heiights Majestic,Jaipur,https://www.magicbricks.com/max-heiights-majestic-sikar-road-jaipur-pdpid-4d4235303233343730
r407338,Levonor Egeira,Hyderabad,https://www.magicbricks.com/levonor-egeira-edulnagulapally-hyderabad-pdpid-4d4235343134373135
r412704,Green View Residency,Kolkata South,https://www.magicbricks.com/green-view-residency-airport-area-kolkata-pdpid-4d4235303932383836
r418615,Edmont Aurelia,Western Mumbai,https://www.magicbricks.com/ashwin-sheth-edmont-aurelia-kandivali-west-mumbai-pdpid-4d4235343137373835
r429111,Shalimar One World 21,Lucknow,https://www.magicbricks.com/shalimar-oneworld-21-gomtinagar-extension-lucknow-pdpid-4d4235343232343335
r380138,Sri Sai Home Ujaan Nagar,Kolkata East,https://www.magicbricks.com/ujaan-nagar-new-town-kolkata-pdpid-4d4235323833353639
r415092,The Prestige City Hyderabad,Hyderabad,https://www.magicbricks.com/the-prestige-city-rajendra-nagar-hyderabad-pdpid-4d4235343138323731
r420301,Tarc Kailasa,West Delhi,https://www.magicbricks.com/tarc-kailasa-kirti-nagar-new-delhi-pdpid-4d4235343138333139
r421070,Ayyan Aathmika,Chennai South,https://www.magicbricks.com/ayyan-aathmika-medavakkam-chennai-pdpid-4d4235343231353831
r394740,Silver Oak Raipur,Raipur,https://www.magicbricks.com/samveda-silver-oak-dhansuli-raipur-pdpid-4d4235343132373833
r445121,Ramky One Orion,Hyderabad,https://www.magicbricks.com/ramky-one-orion-nallagandla-gachibowli-hyderabad-pdpid-4d4235343235303939
r383302,Vasavi Ananda Nilayam,Hyderabad,https://www.magicbricks.com/vasavi-ananda-nilayam-bandlaguda-hyderabad-pdpid-4d4235333939393131
r445987,Assetz Bloom and Dell,Bangalore,https://www.magicbricks.com/assetz-bloom-and-dell-whitefield-bangalore-pdpid-4d4235343236373937
r446001,Orchid Platinum,Bangalore,https://www.magicbricks.com/orchid-platinum-jakkur-bangalore-pdpid-4d4235343236373939
r445892,Prestige Glenbrook,Bangalore,https://www.magicbricks.com/prestige-glenbrook-whitefield-bangalore-pdpid-4d4235343236373935
r445983,Purva Celestial,Bangalore,https://www.magicbricks.com/purva-celestial-bangalore-airport-area-bangalore-pdpid-4d4235343236373933
r446007,Provident Botanico,Bangalore,https://www.magicbricks.com/provident-botanico-whitefield-bangalore-pdpid-4d4235343236373931
r445998,Sobha Neopolis,Bangalore,https://www.magicbricks.com/sobha-neopolis-panathur-bangalore-pdpid-4d4235343236373938
r423416,Sree Urban Orchids Phase 2,Bangalore East,https://www.magicbricks.com/sree-urban-orchids-phase-ii-panathur-bangalore-pdpid-4d4235343136333239
r203,Active Acres,Kolkata East,https://www.magicbricks.com/ruchi-active-acres-em-bypass-kolkata-pdpid-4d4235303138383430
r427272,Sanjeevini Aarna,Bangalore East,https://www.magicbricks.com/sanjeevini-aarna-hoskote-bangalore-pdpid-4d4235343232333637
r256111,Sobha City,Gurgaon,https://www.magicbricks.com/sobha-city-sector-108-gurgaon-pdpid-4d4235303836323234
r23690,DLF New Town Heights 2,Gurgaon,https://www.magicbricks.com/dlf-new-town-heights-2-sector-86-gurgaon-pdpid-4d4235303232373335
r418941,GPS Meena Aurum phase 3,Kolkata East,https://www.magicbricks.com/astdurga-meena-aurum-phase-3-gouranganagar-kolkata-pdpid-4d4235343235323535
r416951,Roongta Florenza,Nasik,https://www.magicbricks.com/roongta-florenza-apartment-govind-nagar-nashik-pdpid-4d4235343137353031
r420088,Harmony Blossoms,Chennai South,https://www.magicbricks.com/harmony-blossoms-east-tambaram-chennai-pdpid-4d4235343233303937
r399283,Kalpataru Aria,Thane Outskirts,https://www.magicbricks.com/kalpataru-apartment-kalyan-west-beyond-thane-pdpid-4d4235323331303331
r396529,Sree Balaji Pride,Visakhapatnam,https://www.magicbricks.com/buildsworth-balaji-pride-kurmannapalem-visakhapatnam-pdpid-4d4235313836373138
r334919,GP Aditya,Bangalore South,https://www.magicbricks.com/gp-aditya-koramangala-bangalore-pdpid-4d4235313238333531
r425244,Bhoomi Serenity,Navi Mumbai,https://www.magicbricks.com/gajra-bhoomi-serenity-sector-37-kharghar-navi-mumbai-pdpid-4d4235343231313439
