XID,Unit Type,Unit Size,Area Type,Price,Possession Date
r420162,3 BHK,1161 sq.ft,Super Area,45.3 Lac,Possession by Oct'28
r420162,3 BHK,1184 sq.ft,Super Area,46.2 Lac,Possession by Oct'28
r420162,3 BHK,1190 sq.ft,Super Area,46.4 Lac,Possession by Oct'28
r420162,3 BHK,1422 sq.ft,Super Area,55.5 Lac,Possession by Oct'28
r420162,3 BHK,1471 sq.ft,Super Area,57.4 Lac,Possession by Oct'28
r420162,3 BHK,1473 sq.ft,Super Area,57.4 Lac,Possession by Oct'28
r420162,3 BHK,1568 sq.ft,Super Area,61.2 Lac,Possession by Oct'28
r413382,3 BHK,1455 sq.ft,Super Area,1.11 Cr,Possession by May'25
r413382,2 BHK,1045 sq.ft,Super Area,80.4 Lac,Possession by May'25
r413382,2 BHK,1055 sq.ft,Super Area,81.2 Lac,Possession by May'25
r413382,2 BHK,1235 sq.ft,Super Area,95 Lac,Possession by May'25
r300077,3 BHK,1283 sq.ft,Super Area,81.9 Lac,Possession by Dec'28
r300077,3 BHK,1333 sq.ft,Super Area,85.1 Lac,Possession by Dec'28
r429474,Residential plot,996 sq.ft,Super Area,79.7 Lac,Possession by Oct'24
r429474,Residential plot,1026 sq.ft,Super Area,82.1 Lac,Possession by Oct'24
r429474,Residential plot,1110 sq.ft,Super Area,88.8 Lac,Possession by Oct'24
r429474,Residential plot,1169 sq.ft,Super Area,93.5 Lac,Possession by Oct'24
r417614,3 BHK,1530 sq.ft,Super Area,1.32 Cr,Possession by Dec'25
r417614,3 BHK,1685 sq.ft,Super Area,1.45 Cr,Possession by Dec'25
r434608,3 BHK,2200 sq.ft,Super Area,3.41 Cr,Possession by Dec'29
r434608,4 BHK,2372 sq.ft,Super Area,Price Not Available,Possession by Dec'29
r434608,4 BHK,2383 sq.ft,Super Area,Price Not Available,Possession by Dec'29
r434608,4 BHK,2800 sq.ft,Super Area,4.34 Cr,Possession by Dec'29
r434608,4 BHK,2978 sq.ft,Super Area,Price Not Available,Possession by Dec'29
r434608,,3600 sq.ft,Super Area,,Possession by Dec'29
r376598,4 BHK,3048 sq.ft,Super Area,2.81 Cr,Possession by May'23
r376598,4 BHK,3051 sq.ft,Super Area,2.80 Cr,Possession by May'23
r376598,4 BHK villa,3048 sq.ft,Super Area,2.81 Cr,Possession by May'23
r376598,,3051 sq.ft,Super Area,,Possession by May'23
r434202,3 BHK,1542 sq.ft,Super Area,81 Lac,Possession by Jun'31
r434202,2 BHK,970 sq.ft,Super Area,50.9 Lac,Possession by Jun'31
r434202,2 BHK,985 sq.ft,Super Area,51.7 Lac,Possession by Jun'31
r434202,2 BHK,1077 sq.ft,Super Area,56.5 Lac,Possession by Jun'31
r434202,1 BHK,560 sq.ft,Super Area,29.4 Lac,Possession by Jun'31
r332831,3 BHK,1700 sq.ft,Super Area,2.26 Cr,Possession by Oct'27
r332831,3 BHK,2040 sq.ft,Super Area,2.91 Cr,Possession by Oct'27
r332831,3 BHK,2555 sq.ft,Super Area,3.65 Cr,Possession by Oct'27
r332831,4 BHK,3355 sq.ft,Super Area,4.79 Cr,Possession by Oct'27
r432552,3 BHK,1603 sq.ft,Super Area,83.4 Lac,Possession by Dec'27
r432552,3 BHK,1608 sq.ft,Super Area,83.6 Lac,Possession by Dec'27
r432552,3 BHK,1610 sq.ft,Super Area,83.7 Lac,Possession by Dec'27
r432552,3 BHK,1611 sq.ft,Super Area,83.8 Lac,Possession by Dec'27
r432552,3 BHK,1633 sq.ft,Super Area,84.9 Lac,Possession by Dec'27
r432552,3 BHK,1647 sq.ft,Super Area,85.6 Lac,Possession by Dec'27
r432552,3 BHK,1656 sq.ft,Super Area,86.1 Lac,Possession by Dec'27
r432552,3 BHK,1665 sq.ft,Super Area,86.6 Lac,Possession by Dec'27
r432552,3 BHK,1671 sq.ft,Super Area,86.9 Lac,Possession by Dec'27
r422307,3 BHK,1400 sq.ft,Super Area,45.5 Lac,Possession by Dec'25
r422307,3 BHK,1430 sq.ft,Super Area,46.5 Lac,Possession by Dec'25
r422307,3 BHK,1480 sq.ft,Super Area,48.1 Lac,Possession by Dec'25
r422307,2 BHK,1025 sq.ft,Super Area,33.3 Lac,Possession by Dec'25
r422307,2 BHK,1035 sq.ft,Super Area,33.6 Lac,Possession by Dec'25
r422307,2 BHK,1045 sq.ft,Super Area,34 Lac,Possession by Dec'25
r422307,2 BHK,1075 sq.ft,Super Area,34.9 Lac,Possession by Dec'25
r422307,2 BHK,1100 sq.ft,Super Area,35.8 Lac,Possession by Dec'25
r422453,3 BHK,2150 sq.ft,Super Area,2.84 Cr,Possession by Jun'28
r422453,3 BHK,2154 sq.ft,Super Area,2.84 Cr,Possession by Jun'28
r422453,3 BHK,2156 sq.ft,Super Area,2.85 Cr,Possession by Jun'28
r422453,3 BHK,2157 sq.ft,Super Area,2.85 Cr,Possession by Jun'28
r422453,3 BHK,2158 sq.ft,Super Area,2.85 Cr,Possession by Jun'28
r422453,4 BHK,3042 sq.ft,Super Area,4.02 Cr,Possession by Jun'28
r422453,4 BHK,3043 sq.ft,Super Area,4.02 Cr,Possession by Jun'28
r422453,4 BHK,3044 sq.ft,Super Area,4.02 Cr,Possession by Jun'28
r354918,3 BHK,1649 sq.ft,Super Area,98.6 Lac,Possession by Mar'24
r354918,3 BHK,1720 sq.ft,Super Area,1.02 Cr,Possession by Mar'24
r354918,3 BHK,1809 sq.ft,Super Area,1.08 Cr,Possession by Mar'24
r354918,2 BHK,1439 sq.ft,Super Area,86.1 Lac,Possession by Mar'24
r418266,3 BHK,1525 sq.ft,Super Area,83.9 Lac,Possession by Jul'26
r418266,3 BHK,1650 sq.ft,Super Area,90.8 Lac,Possession by Jul'26
r418266,2 BHK,1200 sq.ft,Super Area,66 Lac,Possession by Jul'26
r418266,2 BHK,1250 sq.ft,Super Area,68.8 Lac,Possession by Jul'26
r437026,Residential plot,600 sq.ft,Super Area,23.3 Lac,Possession by Jan'25
r437026,Residential plot,879 sq.ft,Super Area,34.1 Lac,Possession by Jan'25
r437026,Residential plot,1200 sq.ft,Super Area,46.6 Lac,Possession by Jan'25
r437026,Residential plot,1266 sq.ft,Super Area,49.1 Lac,Possession by Jan'25
r437026,Residential plot,1481 sq.ft,Super Area,57.5 Lac,Possession by Jan'25
r437026,Residential plot,1500 sq.ft,Super Area,58.2 Lac,Possession by Jan'25
r437026,Residential plot,1508 sq.ft,Super Area,58.5 Lac,Possession by Jan'25
r437026,Residential plot,1650 sq.ft,Super Area,64 Lac,Possession by Jan'25
r390015,Residential plot,1098 sq.ft,Super Area,26.4 Lac,Possession by Dec'27
r390015,Residential plot,1291 sq.ft,Super Area,31 Lac,Possession by Dec'27
r390015,Residential plot,1414 sq.ft,Super Area,33.9 Lac,Possession by Dec'27
r390015,Residential plot,1502 sq.ft,Super Area,36 Lac,Possession by Dec'27
r390015,Residential plot,1550 sq.ft,Super Area,37.2 Lac,Possession by Dec'27
r390015,Residential plot,1792 sq.ft,Super Area,43 Lac,Possession by Dec'27
r390015,Residential plot,2118 sq.ft,Super Area,50.8 Lac,Possession by Dec'27
r390015,Residential plot,2260 sq.ft,Super Area,54.2 Lac,Possession by Dec'27
