XID,Phase,Unit Type,Unit Size,Area Type,Price,Possession Date
R62235,Magic Bricks Phase 1,3 BHK,2985 sq.ft,Super Area,6.96 Cr,Possession by Mar'20
R62235,Magic Bricks Phase 1,3 BHK,3000 sq.ft,Super Area,7 Cr,Possession by Mar'20
R327273,Magic Bricks Phase 1,5 BHK,6570 sq.ft,Super Area,16.50 Cr,Possession by Jun'24
R327273,Magic Bricks Phase 1,4 BHK,3501 sq.ft,Super Area,8 Cr,Possession by Jun'24
R368900,Magic Bricks Phase 1,3 BHK,1775 sq.ft,Super Area,2.97 Cr,Possession by Sep'24
R368900,Magic Bricks Phase 1,3 BHK,1778 sq.ft,Super Area,2.98 Cr,Possession by Sep'24
R382837,Magic Bricks Phase 1,3 BHK,988 sq.ft,Super Area,1.16 Cr,Possession by Jun'26
R382837,Magic Bricks Phase 1,3 BHK,1059 sq.ft,Super Area,1.28 Cr,Possession by Jun'26
R386756,Magic Bricks Phase 1,3 BHK,1100 sq.ft,Super Area,1.34 Cr,Possession by Jun'26
R386756,Magic Bricks Phase 1,3 BHK,1103 sq.ft,Super Area,1.35 Cr,Possession by Jun'26
R386756,Magic Bricks Phase 1,3 BHK,1110 sq.ft,Super Area,1.35 Cr,Possession by Jun'26
R386756,Magic Bricks Phase 1,3 BHK,1135 sq.ft,Super Area,99 Lac,Possession by Jun'26
R386756,Magic Bricks Phase 1,3 BHK,1156 sq.ft,Super Area,1.41 Cr,Possession by Jun'26
R386756,Magic Bricks Phase 1,3 BHK,1158 sq.ft,Super Area,1.41 Cr,Possession by Jun'26
R386756,Magic Bricks Phase 1,3 BHK,1160 sq.ft,Super Area,1.41 Cr,Possession by Jun'26
R386756,Magic Bricks Phase 1,3 BHK,1170 sq.ft,Super Area,1.43 Cr,Possession by Jun'26
R386756,Magic Bricks Phase 1,3 BHK,1290 sq.ft,Super Area,1.33 Cr,Possession by Jun'26
R386756,Magic Bricks Phase 1,3 BHK,1305 sq.ft,Super Area,1.59 Cr,Possession by Jun'26
R404068,Magic Bricks Phase 1,3 BHK,1605 sq.ft,Super Area,2.60 Cr,Possession by Jan'28
R404068,Magic Bricks Phase 1,3 BHK,1665 sq.ft,Super Area,2.75 Cr,Possession by Jan'28
R411008,Magic Bricks Phase 1,3 BHK,1084 sq.ft,Super Area,39.5 Lac,Possession by Oct'27
R411008,Magic Bricks Phase 1,3 BHK,1093 sq.ft,Super Area,39.9 Lac,Possession by Oct'27
R411008,Magic Bricks Phase 1,3 BHK,1096 sq.ft,Super Area,40 Lac,Possession by Oct'27
R411008,Magic Bricks Phase 1,2 BHK,843 sq.ft,Super Area,30.8 Lac,Possession by Oct'27
R411008,Magic Bricks Phase 1,2 BHK,850 sq.ft,Super Area,31 Lac,Possession by Oct'27
R411008,Magic Bricks Phase 1,2 BHK,858 sq.ft,Super Area,31.3 Lac,Possession by Oct'27
R411008,Magic Bricks Phase 1,2 BHK,862 sq.ft,Super Area,31.5 Lac,Possession by Oct'27
R411008,Magic Bricks Phase 1,2 BHK,873 sq.ft,Super Area,31.9 Lac,Possession by Oct'27
R411008,Magic Bricks Phase 1,2 BHK,875 sq.ft,Super Area,31.9 Lac,Possession by Oct'27
R424568,Magic Bricks Phase 1,3 BHK,1745 sq.ft,Super Area,1.25 Cr,Possession by Dec'26
R424568,Magic Bricks Phase 1,3 BHK,2403 sq.ft,Super Area,1.33 Cr,Possession by Dec'26
R424568,Magic Bricks Phase 1,2 BHK,1340 sq.ft,Super Area,99 Lac,Possession by Dec'26
R424568,Magic Bricks Phase 1,2 BHK,1408 sq.ft,Super Area,1.05 Cr,Possession by Dec'26
R424568,Magic Bricks Phase 1,2 BHK,1835 sq.ft,Super Area,1.08 Cr,Possession by Dec'26
R424568,Magic Bricks Phase 1,2 BHK,1939 sq.ft,Super Area,1.11 Cr,Possession by Dec'26
R427388,Magic Bricks Phase 1,3 BHK,1340 sq.ft,Super Area,89.2 Lac,Possession by Feb'27
R427388,Magic Bricks Phase 1,3 BHK,1577 sq.ft,Super Area,1.05 Cr,Possession by Feb'27
R427388,Magic Bricks Phase 1,3 BHK,1650 sq.ft,Super Area,1.09 Cr,Possession by Feb'27
R427388,Magic Bricks Phase 1,3 BHK,1761 sq.ft,Super Area,1.17 Cr,Possession by Feb'27
R427388,Magic Bricks Phase 1,3 BHK,1980 sq.ft,Super Area,1.31 Cr,Possession by Feb'27
R427388,Magic Bricks Phase 1,3 BHK,2211 sq.ft,Super Area,1.47 Cr,Possession by Feb'27
R427388,Magic Bricks Phase 1,3 BHK,2250 sq.ft,Super Area,1.49 Cr,Possession by Feb'27
R427388,Magic Bricks Phase 1,2 BHK,1154 sq.ft,Super Area,76.9 Lac,Possession by Feb'27
R427388,Magic Bricks Phase 1,2 BHK,1434 sq.ft,Super Area,95.5 Lac,Possession by Feb'27
R427388,Magic Bricks Phase 1,2 BHK,1450 sq.ft,Super Area,96.6 Lac,Possession by Feb'27
R428235,Magic Bricks Phase 1,3 BHK,894 sq.ft,Super Area,68.3 Lac,Possession by Dec'28
R428235,Magic Bricks Phase 1,3 BHK,955 sq.ft,Super Area,73 Lac,Possession by Dec'28
R428235,Magic Bricks Phase 1,3 BHK,1087 sq.ft,Super Area,83 Lac,Possession by Dec'28
R428235,Magic Bricks Phase 1,3 BHK,1276 sq.ft,Super Area,97.5 Lac,Possession by Dec'28
R428235,Magic Bricks Phase 1,3 BHK,1390 sq.ft,Super Area,76 Lac,Possession by Dec'28
R428235,Magic Bricks Phase 1,2 BHK,725 sq.ft,Super Area,55.4 Lac,Possession by Dec'28
R428235,Magic Bricks Phase 1,2 BHK,803 sq.ft,Super Area,61.3 Lac,Possession by Dec'28
R428235,Magic Bricks Phase 1,2 BHK,1156 sq.ft,Super Area,63.1 Lac,Possession by Dec'28
R1051,Magic Bricks Phase 1,2 BHK,905 sq.ft,Super Area,51 Lac,Possession by Dec'26
R1051,Magic Bricks Phase 1,2 BHK,927 sq.ft,Super Area,50 Lac,Possession by Dec'26
R1051,Magic Bricks Phase 1,2 BHK,933 sq.ft,Super Area,52 Lac,Possession by Dec'26
R1051,Magic Bricks Phase 1,2 BHK,950 sq.ft,Super Area,50 Lac,Possession by Dec'26
R1051,Magic Bricks Phase 1,2 BHK,954 sq.ft,Super Area,50 Lac,Possession by Dec'26
R7920,Magic Bricks Phase 1,3 BHK,1040 sq.ft,Super Area,41.6 Lac,Possession by Dec'24
R7920,Magic Bricks Phase 1,3 BHK,1060 sq.ft,Super Area,37.2 Lac,Possession by Dec'24
R8130,Magic Bricks Phase 1,3 BHK,1710 sq.ft,Super Area,1.55 Cr,Possession by Dec'15
R8130,Magic Bricks Phase 1,2 BHK,1225 sq.ft,Super Area,1.35 Cr,Possession by Dec'15
R8198,Magic Bricks Phase 1,3 BHK,980 sq.ft,Super Area,2.38 Cr,Possession Not Available
R8198,Magic Bricks Phase 1,2 BHK,714 sq.ft,Super Area,1.74 Cr,Possession Not Available
R8858,Magic Bricks Phase 1,3 BHK,1018 sq.ft,Super Area,3.31 Cr,Possession by Dec'25
R8858,Magic Bricks Phase 1,3 BHK,1175 sq.ft,Super Area,4.46 Cr,Possession by Dec'25
R8858,Magic Bricks Phase 1,3 BHK,1350 sq.ft,Super Area,5.13 Cr,Possession by Dec'25
R8858,Magic Bricks Phase 1,2 BHK,733 sq.ft,Super Area,2.38 Cr,Possession by Dec'25
R8858,Magic Bricks Phase 1,2 BHK,742 sq.ft,Super Area,2.41 Cr,Possession by Dec'25
R8858,Magic Bricks Phase 1,2 BHK,754 sq.ft,Super Area,2.45 Cr,Possession by Dec'25
R8858,Magic Bricks Phase 1,4 BHK,1687 sq.ft,Super Area,5.49 Cr,Possession by Dec'25
R8858,Magic Bricks Phase 1,4 BHK,1700 sq.ft,Super Area,6.45 Cr,Possession by Dec'25
R8858,Magic Bricks Phase 1,4 BHK,1880 sq.ft,Super Area,6.12 Cr,Possession by Dec'25
R8858,Magic Bricks Phase 1,4 BHK,2243 sq.ft,Super Area,7.31 Cr,Possession by Dec'25
R36096,Magic Bricks Phase 1,3 BHK villa,2394 sq.ft,Super Area,3.43 Cr,Possession by Jan'19
R36096,Magic Bricks Phase 1,3 BHK villa,2594 sq.ft,Super Area,3.84 Cr,Possession by Jan'19
R36096,Magic Bricks Phase 1,5 BHK villa,3422 sq.ft,Super Area,4.96 Cr,Possession by Jan'19
R36096,Magic Bricks Phase 1,5 BHK villa,3432 sq.ft,Super Area,4.98 Cr,Possession by Jan'19
R36096,Magic Bricks Phase 1,5 BHK villa,3451 sq.ft,Super Area,5 Cr,Possession by Jan'19
R36096,Magic Bricks Phase 1,5 BHK villa,3466 sq.ft,Super Area,5.08 Cr,Possession by Jan'19
R36096,Magic Bricks Phase 1,5 BHK villa,3687 sq.ft,Super Area,5.34 Cr,Possession by Jan'19
R36096,Magic Bricks Phase 1,5 BHK villa,4037 sq.ft,Super Area,5.74 Cr,Possession by Jan'19
