XID,Name,Name_Score,Builder,Builder_Score,Address,Address_Score,Status,Status_Score,Project Type,Project Type_Score
r413382,Shriram Solitaire,100,Shriram Properties,82,"Yelahanka New Town, Bangalore",77,Under Construction,100,Residential,100
r429474,RLD Merlion Estate,100,Royal Land and Developers,100,"Vanagaram, Chennai",67,Ready To Move,100,Residential,100
r434608,Eldeco Fairway Reserve,100,Eldeco Group,100,"Sector 80, Gurgaon",67,Under Construction,100,Residential,100
r332831,Prateek Canary,100,Prateek Group,100,"Sector 150, Noida",74,Under Construction,100,Residential,100
r392193,Kohinoor Abhimaan Homes,85,Kohinoor Group,85,"Shirgaon, Pune",73,Under Construction,100,Residential,100
r418266,SRINIDHI IRIS,100,Srinidhi Projects,77,"Bachupally, Hyderabad",65,Under Construction,100,Residential,100
r437026,D Square City,72,Lambodara Properties,78,"Saravanampatti, Coimbatore",70,Under Construction,100,Residential,100
r390015,Radha Madhav Vrindavan Phase III,94,Radha Madhav Developers,100,"Jamtha, Nagpur",60,Under Construction,100,Residential,100
r344265,Shriram Sunshine One,89,Shriram Properties,82,"Uttarpara, Kolkata",67,Under Construction,100,Residential,100
r386817,Shevi Utopia Gold,100,Shevi Group,100,"Moshi, Pune",62,Under Construction,100,Residential,100
r402373,One Meraki,100,Meraki Habitats LLP,88,"Chembur, Mumbai",64,Ready To Move,100,Residential,100
