XID,Name,Name_Score,Builder,Builder_Score,Address,Address_Score,Status,Status_Score,Project Type,Project Type_Score
r420162,Kamini Kaushal The Watermark,79,99acres: Aastha Developers | MagicBricks: Kamini Kaushal Construction,23,"Adityapur, Jamshedpur",60,Under Construction,100,Residential,100
r376088,Smartworld Orchard,97,Smartworld Developers,100,"Sector 61, Gurgaon",67,99acres: READY_TO_MOVE | MagicBricks: Under Construction,26,Residential,100
r300077,Elevate at Godrej Seven,88,Godrej Properties,100,"99acres: Joka | MagicBricks: Joka, Kolkata",47,Under Construction,100,Residential,100
r417614,MGR Windsor Gardens,90,SRI MANJUNATHA DEVELOPERS,100,"Phase 5 JP Nagar, Bangalore",62,99acres: READY_TO_MOVE | MagicBricks: Under Construction,26,Residential,100
r386987,DS MAX Sukruth,100,DS MAX Properties Pvt. Ltd.,77,"Chandapura, Bangalore",65,Under Construction,100,99acres: RESIDENTIAL | MagicBricks: nan,0
r405295,Sapnil Residency,100,Sapnil Developers Pvt Ltd.,79,"99acres: Noapara, Palpara | MagicBricks: Bonhooghly, Kolkata",34,Under Construction,100,Residential,100
r294633,JP Codename Skywards,92,JP corp LLP,78,"Ambernath East, Beyond Thane",67,Under Construction,100,99acres: RESIDENTIAL | MagicBricks: nan,0
r262402,Bhivisya Metro City Bhopal,78,Bhavishya Builders,97,"99acres: Vidisha Road | MagicBricks: Bagh Sewaniyan, Bhopal",18,Ready To Move,100,99acres: RESIDENTIAL | MagicBricks: nan,0
r376598,Sai Gardenia,67,Ravi Murugaa Constructions Pvt. Ltd.,80,"99acres: Avinashi Road | MagicBricks: Peelamedu, Coimbatore",24,Ready To Move,100,Residential,100
r402170,Hi Tech Imperial Ville,78,99acres: Imperial Group | MagicBricks: Hi Tech Developers,25,"99acres: Vaishali Nagar | MagicBricks: Gandhi Path, Jaipur",18,Under Construction,100,Residential,100
r436787,Celestia,67,99acres: Malpani Properties | MagicBricks: nan,0,"99acres: Phursungi | MagicBricks: Baner Gaon, Pune",24,99acres: UNDER_CONSTRUCTION | MagicBricks: Ongoing,32,99acres: RESIDENTIAL | MagicBricks: nan,0
r29040,Naiknavare Kutumb Prime,85,Naiknavare Developers Pvt. Ltd.,81,"99acres: Talegaon Dabhade | MagicBricks: Vadgaon, Pune",48,99acres: READY_TO_MOVE | MagicBricks: Under Construction,26,99acres: RESIDENTIAL | MagicBricks: nan,0
r369336,Om Sree Brilliance,100,Om Sree Builders & Developers LLP,94,"AS Rao Nagar, Hyderabad",63,99acres: READY_TO_MOVE | MagicBricks: Under Construction,26,Residential,100
r434202,Nidhi Land Shakthi Heights,100,Nidhi Land Infrastructure Developers India Pvt. Ltd,66,"Shakti Nagar, Mangalore",63,99acres: NEW_LAUNCH | MagicBricks: Under Construction,21,Residential,100
r375899,Raama Skyz,100,Raama Group,96,"99acres: Sama Savli Road | MagicBricks: Sama, Vadodara",55,Under Construction,100,Residential,100
r390836,Anand Bhavan,92,99acres: Jet Realty | MagicBricks: nan,0,"99acres: Vile Parle West | MagicBricks: Santacruz West, Mumbai",38,99acres: UNDER_CONSTRUCTION | MagicBricks: Ready To Move,13,99acres: RESIDENTIAL | MagicBricks: nan,0
r424835,Venkatesh Heights,61,99acres: Shree Venkatesh Buildcon | MagicBricks: Venkateshwara Developers,50,"99acres: Ambegaon Bk | MagicBricks: Narhe, Pune",27,99acres: NEW_LAUNCH | MagicBricks: Ready To Move,17,99acres: RESIDENTIAL | MagicBricks: nan,0
r388872,99acres: The Empire | MagicBricks: The Empire by Jarry Profit & R sandesh Group,37,Jarry Profit & R sandesh Group,67,"99acres: Kamptee Road | MagicBricks: Kadvi Chowk, Nagpur",26,Under Construction,100,99acres: RESIDENTIAL | MagicBricks: nan,0
r410569,Gracewood Elegance,100,Shree Balaji Builders,82,"99acres: Bill | MagicBricks: Bill, Vadodara",44,Under Construction,100,99acres: RESIDENTIAL | MagicBricks: nan,0
r409549,Protech Pride,100,Protech Group,100,"99acres: Satgaon | MagicBricks: Bagharbari, Guwahati",15,99acres: NEW_LAUNCH | MagicBricks: Under Construction,21,Residential,100
r432552,Altura III,78,99acres: MRG Group Jaipur | MagicBricks: MRG Heights,37,"Mansarovar, Jaipur",71,Under Construction,100,Residential,100
r422307,Aakar Park,100,Aakar Constructions Group,100,"99acres: Besa | MagicBricks: Besa, Nagpur",50,Under Construction,100,Residential,100
r422453,Assetz 66 and Shibui,100,Assetz Property Group,100,"Whitefield, Bangalore",65,99acres: NEW_LAUNCH | MagicBricks: Under Construction,21,Residential,100
r354918,Super Homes Abhirama,100,Super Homes Constructions,100,"99acres: LB Nagar | MagicBricks: LB Nagar, Hyderabad",59,Ready To Move,100,Residential,100
r430176,99acres: Elegance Pristine | MagicBricks: Pristine Elegance,47,99acres: Elegance Homes | MagicBricks: Pristine Project Pvt. Ltd.,25,"99acres: Electronics City Phase 1 | MagicBricks: HSR Layout, Bangalore",4,Ready To Move,100,Residential,100
r376104,Modi Serene Park,100,Modi Builders,100,"Ghatkesar, Hyderabad",62,99acres: UNDER_CONSTRUCTION | MagicBricks: Ready To Move,13,Residential,100
r390105,Urrban Riverscape,74,99acres: Urrban League | MagicBricks: Urrban League Realty Ventures LLP,57,"Bandlaguda Jagir, Hyderabad",74,Under Construction,100,Residential,100
r413870,Pyramid Gloria,100,99acres: Pyramid Group of Companies | MagicBricks: Pyramid Tajshree LLP,43,"99acres: Besa | MagicBricks: Pipla, Nagpur",12,Under Construction,100,Residential,100
r376463,99acres: Urban Vista Phase 1 | MagicBricks: Loharuka Urban Vista,56,Loharuka Group,100,"Rajarhat, Kolkata",64,Under Construction,100,Residential,100
r352,BPTP Parklands,100,BPTP Ltd.,62,"99acres: BPTP | MagicBricks: Neharpar, Faridabad",9,Ready To Move,100,Residential,100
r871,Ireo Victory Valley,100,99acres: Ireo | MagicBricks: Ireo Management Pvt. Ltd.,28,"Sector 67, Gurgaon",67,Ready To Move,100,Residential,100
r402643,DTC Sojon,100,99acres: DTC Developer | MagicBricks: DTC Projects Pvt. Ltd.,29,"99acres: Joka | MagicBricks: Joka, Kolkata",47,Under Construction,100,Residential,100
r411500,Shapoorji Pallonji The Odyssey 1,100,99acres: Floreat Investments | MagicBricks: Shapoorji Pallonji Real Estate,41,"Girgaon, Mumbai",64,99acres: NEW_LAUNCH | MagicBricks: Under Construction,21,Residential,100
r322869,And Forever City,76,Anantnath Developers,100,"99acres: Dombivli East | MagicBricks: Diva, Thane",42,99acres: READY_TO_MOVE | MagicBricks: Under Construction,26,Residential,100
r426337,Malpani M Soul Strings,78,Malpani Estates,100,"99acres: Baner | MagicBricks: Pashan, Pune",35,99acres: NEW_LAUNCH | MagicBricks: Under Construction,21,Residential,100
r270000,99acres: Eureka Park By Tata Value Homes | MagicBricks: Tata Eureka Park,47,99acres: Tata Housing | MagicBricks: Tata Value Homes,57,"Sector 150, Noida",74,Under Construction,100,Residential,100
r345843,Leverage Greenwoods Unity,100,99acres: Leverage Group | MagicBricks: Leverage Infrastructures,58,"99acres: Besa | MagicBricks: Pipla, Nagpur",12,Under Construction,100,99acres: RESIDENTIAL | MagicBricks: nan,0
r407293,Primark Inspira,100,Primark Developers,65,"99acres: Miyapur | MagicBricks: Miyapur, Hyderabad",56,Under Construction,100,Residential,100
r28336,Max Heiights Majestic,100,Max Height Group,71,"99acres: Grand Sikar Road | MagicBricks: Sikar Road, Jaipur",59,99acres: READY_TO_MOVE | MagicBricks: Under Construction,26,Residential,100
