XID,Unit Type,Unit Size,Area Type,Price,Possession Date
R393900,2,BHK Flat 850 sq.ft,Area Not Available,Call for Price,Ready to Move
R393900,3,BHK Flat 1249 sq.ft,Area Not Available,Call for Price,Ready to Move
R393900,2,BHK Flat 851 sq.ft,Area Not Available,Call for Price,Ready to Move
R393900,,Size Not Available,Area Not Available,,
R8590,2,BHK Flat 1000 sq.ft,Area Not Available,"₹ 59.5 Lac
₹51.6K EMI",Ready to Move
R8590,2,BHK Flat 1090 sq.ft,Area Not Available,"₹ 1 Cr
₹86.8K EMI",Under Construction
R8590,1,BHK Flat 393 sq.ft,Area Not Available,"₹ 28 Lac
₹24.3K EMI",Ready to Move
R8590,,Size Not Available,Area Not Available,,
R26168,3,BHK Flat 1074 sq.ft,Area Not Available,Call for Price,Ready to Move
R26168,2,BHK Flat 948 sq.ft,Area Not Available,Call for Price,Under Construction
R26168,3,BHK Flat 1166 sq.ft,Area Not Available,Call for Price,Under Construction
R379657,3 BHK,1095 sq.ft,Super Area,1.32 Cr,Possession by Dec'23
R379657,2 BHK,955 sq.ft,Super Area,1.10 Cr,Possession by Dec'23
R379657,3 BHK,1100 sq.ft,Super Area,1.15 Cr,Possession by Dec'23
R379657,3 BHK,1190 sq.ft,Super Area,1.24 Cr,Possession by Dec'23
R379657,2 BHK,960 sq.ft,Super Area,1 Cr,Possession by Dec'23
R379657,2 BHK,1010 sq.ft,Super Area,1.06 Cr,Possession by Dec'23
R379657,2 BHK,1050 sq.ft,Super Area,1.10 Cr,Possession by Dec'23
R426079,2,BHK Flat 850 sq.ft,Area Not Available,Call for Price,Ready to Move
R426079,3,BHK Flat 1249 sq.ft,Area Not Available,Call for Price,Ready to Move
R426079,2,BHK Flat 851 sq.ft,Area Not Available,Call for Price,Ready to Move
R426079,,Size Not Available,Area Not Available,,
R435636,2,BHK Flat 1000 sq.ft,Area Not Available,"₹ 59.5 Lac
₹51.6K EMI",Ready to Move
R435636,2,BHK Flat 1090 sq.ft,Area Not Available,"₹ 1 Cr
₹86.8K EMI",Under Construction
R435636,1,BHK Flat 393 sq.ft,Area Not Available,"₹ 28 Lac
₹24.3K EMI",Ready to Move
R435636,,Size Not Available,Area Not Available,,
R437900,3,BHK Flat 1074 sq.ft,Area Not Available,Call for Price,Ready to Move
R437900,2,BHK Flat 948 sq.ft,Area Not Available,Call for Price,Under Construction
R437900,3,BHK Flat 1166 sq.ft,Area Not Available,Call for Price,Under Construction
R297055,3 BHK,1095 sq.ft,Super Area,1.32 Cr,Possession by Dec'23
R297055,2 BHK,955 sq.ft,Super Area,1.10 Cr,Possession by Dec'23
R297055,3 BHK,1100 sq.ft,Super Area,1.15 Cr,Possession by Dec'23
R297055,3 BHK,1190 sq.ft,Super Area,1.24 Cr,Possession by Dec'23
R297055,2 BHK,960 sq.ft,Super Area,1 Cr,Possession by Dec'23
R297055,2 BHK,1010 sq.ft,Super Area,1.06 Cr,Possession by Dec'23
R297055,2 BHK,1050 sq.ft,Super Area,1.10 Cr,Possession by Dec'23
R409873,3,BHK Flat 1079 sq.ft,Area Not Available,"₹ 65 Lac
₹56.4K EMI",Ready to Move
R409873,Flat,Size Not Available,Area Not Available,Call for Price,
R409873,2,BHK Flat 627 sq.ft,Area Not Available,"₹ 47 Lac
₹40.8K EMI",Under Construction
R14640,2,BHK Flat 845 sq.ft,Area Not Available,"₹ 2.65 Cr
₹2.3 lakh EMI",Ready to Move
R14640,2,BHK Flat 788 sq.ft,Area Not Available,"₹ 2.75 Cr
₹2.39 lakh EMI",Ready to Move
R14640,3,BHK Flat 1226 sq.ft,Area Not Available,"₹ 5.20 Cr
₹4.51 lakh EMI",Ready to Move
R14640,,Size Not Available,Area Not Available,,
R14640,,Size Not Available,Area Not Available,,
R14640,,Size Not Available,Area Not Available,,
R14640,,Size Not Available,Area Not Available,,
R425959,2,BHK Flat 957 sq.ft,Area Not Available,Call for Price,Under Construction
R429433,2,BHK Flat 575 sq.ft,Area Not Available,Call for Price,Under Construction
R429433,2,BHK Flat 581 sq.ft,Area Not Available,Call for Price,Under Construction
R429433,2,BHK Flat 575 sq.ft,Area Not Available,Call for Price,Under Construction
R429433,,Size Not Available,Area Not Available,,
R429433,,Size Not Available,Area Not Available,,
R430740,2,BHK Flat 955 sq.ft,Area Not Available,Call for Price,Under Construction
R430740,1,BHK Flat 444 sq.ft,Area Not Available,Call for Price,Under Construction
