XID,Phase,Unit Type,Unit Size,Area Type,Price,Possession Date
R393900,Magic Bricks Phase 1,2,BHK Flat 850 sq.ft,N/A,Call for Price,Ready to Move
R393900,Magic Bricks Phase 1,3,BHK Flat 1250 sq.ft,N/A,Call for Price,Under Construction
R393900,Magic Bricks Phase 1,3,BHK Flat 1249 sq.ft,N/A,Call for Price,Ready to Move
R8590,Magic Bricks Phase 1,2,BHK Flat 1000 sq.ft,N/A,"₹ 59.5 Lac
₹51.6K EMI",Ready to Move
R8590,Magic Bricks Phase 1,1,BHK Flat 393 sq.ft,N/A,"₹ 28 Lac
₹24.3K EMI",Ready to Move
R8590,Magic Bricks Phase 1,2,BHK Flat 1090 sq.ft,N/A,"₹ 1 Cr
₹86.8K EMI",Under Construction
R26168,Magic Bricks Phase 1,3,BHK Flat 1074 sq.ft,N/A,"₹ 1.50 Cr
₹1.3 lakh EMI",Ready to Move
R26168,Magic Bricks Phase 1,3,BHK Flat 1166 sq.ft,N/A,"₹ 1.20 Cr
₹1.04 lakh EMI",Under Construction
R26168,Magic Bricks Phase 1,2,BHK Flat 948 sq.ft,N/A,"₹ 96.2 Lac
₹83.5K EMI",Under Construction
R379657,Magic Bricks Phase 1,3 BHK,1095 sq.ft,Super Area,1.32 Cr,Possession by Dec'23
R379657,Magic Bricks Phase 1,2 BHK,955 sq.ft,Super Area,1.10 Cr,Possession by Dec'23
R435636,Magic Bricks Phase 1,3 BHK,1400 sq.ft,Super Area,1.50 Cr,Possession by Mar'28
R435636,Magic Bricks Phase 1,3 BHK,1460 sq.ft,Super Area,1.57 Cr,Possession by Mar'28
R436183,Magic Bricks Phase 1,3 BHK,920 sq.ft,Super Area,1.25 Cr,Possession by Oct'30
R436183,Magic Bricks Phase 1,3 BHK,924 sq.ft,Super Area,1.09 Cr,Possession by Oct'30
R436740,Magic Bricks Phase 1,4 BHK,1996 sq.ft,Super Area,3.40 Cr,Possession by Jun'30
R436740,Magic Bricks Phase 1,4 BHK,2130 sq.ft,Super Area,3.70 Cr,Possession by Jun'30
R297055,Magic Bricks Phase 1,3 BHK,1200 sq.ft,Super Area,1.71 Cr,Possession by Jan'28
R297055,Magic Bricks Phase 1,3 BHK,1406 sq.ft,Super Area,1.99 Cr,Possession by Jan'28
R382996,Magic Bricks Phase 1,2 BHK,552 sq.ft,Super Area,84.2 Lac,Possession by Jun'27
R382996,Magic Bricks Phase 1,2 BHK,559 sq.ft,Super Area,89.4 Lac,Possession by Jun'27
R406615,Magic Bricks Phase 1,Penthouse,4797 sq.ft,Super Area,2.70 Cr,Possession by Jul'26
R406615,Magic Bricks Phase 1,3 BHK,2385 sq.ft,Super Area,1.08 Cr,Possession by Jul'26
R415113,Magic Bricks Phase 1,3 BHK,2011 sq.ft,Super Area,1.98 Cr,Possession by Dec'28
R415113,Magic Bricks Phase 1,3 BHK,2020 sq.ft,Super Area,1.99 Cr,Possession by Dec'28
R415396,Magic Bricks Phase 1,2,BHK Flat 957 sq.ft,N/A,Call for Price,Under Construction
R426335,Magic Bricks Phase 1,2,BHK Flat 955 sq.ft,N/A,Call for Price,Under Construction
R426335,Magic Bricks Phase 1,1,BHK Flat 444 sq.ft,N/A,Call for Price,Under Construction
R426335,Magic Bricks Phase 1,3,BHK Flat 1580 sq.ft,N/A,Call for Price,Under Construction
R428719,Magic Bricks Phase 1,3 BHK,2375 sq.ft,Super Area,5.35 Cr,Possession by Apr'29
R428719,Magic Bricks Phase 1,3 BHK,2405 sq.ft,Super Area,5.39 Cr,Possession by Apr'29
R438107,Magic Bricks Phase 1,3 BHK,2448 sq.ft,Super Area,1.19 Cr,Possession by Dec'28
R438107,Magic Bricks Phase 1,3 BHK,2556 sq.ft,Super Area,1.24 Cr,Possession by Dec'28
R14640,Magic Bricks Phase 1,3 BHK,1125 sq.ft,Super Area,2.64 Cr,Possession by Dec'27
R14640,Magic Bricks Phase 1,2 BHK,864 sq.ft,Super Area,2.03 Cr,Possession by Dec'27
R414100,Magic Bricks Phase 1,Penthouse,11400 sq.ft,Super Area,11.97 Cr,Possession by Mar'29
R414100,Magic Bricks Phase 1,Penthouse,16400 sq.ft,Super Area,17.22 Cr,Possession by Mar'29
R420281,Magic Bricks Phase 1,2 BHK,742 sq.ft,Super Area,69.3 Lac,Possession by Dec'26
R420281,Magic Bricks Phase 1,2 BHK,746 sq.ft,Super Area,69.6 Lac,Possession by Dec'26
R425959,Magic Bricks Phase 1,3 BHK,1181 sq.ft,Super Area,1.04 Cr,Possession by Mar'28
R425959,Magic Bricks Phase 1,3 BHK,1783 sq.ft,Super Area,1.21 Cr,Possession by Mar'28
R430231,Magic Bricks Phase 1,3 BHK,900 sq.ft,Super Area,2.60 Cr,Possession by Mar'31
R430231,Magic Bricks Phase 1,3 BHK,901 sq.ft,Super Area,2.48 Cr,Possession by Mar'31
R430740,Magic Bricks Phase 1,3 BHK,1315 sq.ft,Super Area,1.13 Cr,Possession by Dec'29
R430740,Magic Bricks Phase 1,3 BHK,2400 sq.ft,Super Area,96 Lac,Possession by Dec'29
R1322,Magic Bricks Phase 1,3 BHK,2376 sq.ft,Super Area,2.37 Cr,Possession by Dec'28
R1322,Magic Bricks Phase 1,3 BHK,2378 sq.ft,Super Area,2.70 Cr,Possession by Dec'28
R341277,Magic Bricks Phase 1,Residential plot,1134 sq.ft,Super Area,1.76 Cr,Possession by Dec'27
R341277,Magic Bricks Phase 1,Residential plot,1296 sq.ft,Super Area,1.95 Cr,Possession by Dec'27
R345737,Magic Bricks Phase 1,Residential plot,1800 sq.ft,Super Area,78 Lac,Possession by Apr'14
R345737,Magic Bricks Phase 1,Residential plot,1872 sq.ft,Super Area,75 Lac,Possession by Apr'14
R428221,Magic Bricks Phase 1,3,BHK Flat 1005 sq.ft,N/A,Call for Price,Under Construction
R428221,Magic Bricks Phase 1,2,BHK Flat 686 sq.ft,N/A,Call for Price,Under Construction
R428221,Magic Bricks Phase 1,2,BHK Flat 686 sq.ft,N/A,Call for Price,Under Construction
R380808,Magic Bricks Phase 1,5 BHK,7838 sq.ft,Super Area,7.50 Cr,N/A
R380808,Magic Bricks Phase 1,5 BHK,7848 sq.ft,Super Area,7.06 Cr,N/A
R385000,Magic Bricks Phase 1,3,BHK Flat 1372 sq.ft,N/A,Call for Price,Under Construction
R385000,Magic Bricks Phase 1,3,BHK Flat 1800 sq.ft,N/A,Call for Price,Under Construction
R385000,Magic Bricks Phase 1,3,BHK Flat 1065 sq.ft,N/A,Call for Price,Under Construction
R388179,Magic Bricks Phase 1,2,BHK Flat 612 sq.ft,N/A,"₹ 75 Lac
₹65.1K EMI",Ready to Move
R388179,Magic Bricks Phase 1,3,BHK Flat 911 sq.ft,N/A,"₹ 99 Lac
₹85.9K EMI",Under Construction
R388179,Magic Bricks Phase 1,2,BHK Flat 662 sq.ft,N/A,"₹ 72.4 Lac
₹62.8K EMI",Under Construction
R377702,Magic Bricks Phase 1,3 BHK,1514 sq.ft,Super Area,2.19 Cr,Possession by Dec'26
R377702,Magic Bricks Phase 1,3 BHK,1842 sq.ft,Super Area,2.67 Cr,Possession by Dec'26
R382710,Magic Bricks Phase 1,4,BHK Flat 1600 sq.ft,N/A,Call for Price,Under Construction
R382710,Magic Bricks Phase 1,2,BHK Flat 647 sq.ft,N/A,Call for Price,Ready to Move
R382710,Magic Bricks Phase 1,2,BHK Flat 1212 sq.ft,N/A,Call for Price,Ready to Move
R396682,Magic Bricks Phase 1,3,BHK Flat 1574 sq.ft,N/A,"₹ 1.06 Cr
₹92.1K EMI",Under Construction
R396682,Magic Bricks Phase 1,3,BHK Flat 1972 sq.ft,N/A,"₹ 1.69 Cr
₹1.47 lakh EMI",Under Construction
R396682,Magic Bricks Phase 1,3,BHK Flat 1270 sq.ft,N/A,"₹ 1.24 Cr
₹1.08 lakh EMI",Ready to Move
R92267,Magic Bricks Phase 1,3,BHK Flat 1074 sq.ft,N/A,"₹ 95 Lac
₹82.4K EMI",Ready to Move
R92267,Magic Bricks Phase 1,2,BHK Flat 711 sq.ft,N/A,"₹ 60 Lac
₹52.1K EMI",Ready to Move
R92267,Magic Bricks Phase 1,3,BHK Flat 1009 sq.ft,N/A,"₹ 1.51 Cr
₹1.31 lakh EMI",Ready to Move
R154983,Magic Bricks Phase 1,3,BHK Flat 1092 sq.ft,N/A,"₹ 2.86 Cr
₹2.49 lakh EMI",Under Construction
R154983,Magic Bricks Phase 1,2,BHK Flat 537 sq.ft,N/A,"₹ 1.15 Cr
₹1 lakh EMI",Ready to Move
R154983,Magic Bricks Phase 1,3,BHK Flat 942 sq.ft,N/A,"₹ 3.50 Cr
₹3.04 lakh EMI",Under Construction
R180623,Magic Bricks Phase 1,Residential,Plot undefined sq.ft,N/A,"₹ 1.35 Cr
₹1.17 lakh EMI",
