XID number,Project Name,City,Magic Bricks Phase 1,Housing Phase 1,Square Yards  Phase 1
75015,Shreeji Infinity,Navi Mumbai,https://www.magicbricks.com/shreeji-infinity-kharghar-navi-mumbai-pdpid-4d4235343138313635,https://housing.com/in/buy/projects/page/308986-shreeji-infinity-by-infinity-infra-mumbai-in-kharghar,https://www.squareyards.com/navi-mumbai-residential-property/shreeji-infinity/239696/project
97522,Delta Palm Beach,Navi Mumbai,https://www.magicbricks.com/balaji-delta-palm-beach-nerul-navi-mumbai-pdpid-4d4235343136393837,https://housing.com/in/buy/projects/page/303766-delta-palmbeach-by-delta-group-in-nerul,https://www.squareyards.com/navi-mumbai-residential-property/delta-palmbeach/228300/project
205909,Shree Krupa Nandanvan Homes,Mumbai Thane,https://www.magicbricks.com/nandanvan-homes-kalwa-thane-pdpid-4d4235303739383232,https://housing.com/in/buy/projects/page/25790-nandanvan-homes-by-shree-krupa-builders-in-thane-west,https://www.squareyards.com/sale/resale-properties-in-shree-krupa-nandanvan-homes-a1-a2-thane
252701,Apex Landmark,Navi Mumbai,https://www.magicbricks.com/apex-landmark-dronagiri-navi-mumbai-pdpid-4d4235303836333736,https://housing.com/in/buy/projects/page/26507-apex-landmark-by-apex-realty-in-prajapati-vihar,https://www.squareyards.com/navi-mumbai-residential-property/apex-landmark/51494/project
373412,Infinity Ivy,Navi Mumbai,https://www.magicbricks.com/infinity-ivy-dronagiri-navi-mumbai-pdpid-4d4235323239393835,https://housing.com/in/buy/projects/page/254061-infinity-ivy-by-infinity-builders-developers-in-prajapati-vihar,https://www.squareyards.com/navi-mumbai-residential-property/infinity-ivy/113256/project
383717,Jindal Avenue,Navi Mumbai,https://www.magicbricks.com/jindal-avenue-panvel-navi-mumbai-pdpid-4d4235333930313333,https://housing.com/in/buy/projects/page/268432-jindal-avenue-by-jindals-builders-developers-in-panvel,https://www.squareyards.com/navi-mumbai-residential-property/jindal-avenue/130254/project
386352,Thanekar Palacio,Mumbai Thane,https://www.magicbricks.com/thanekar-paradise-badlapur-beyond-thane-pdpid-4d4235313530353939,https://housing.com/in/buy/projects/page/301428-thanekar-palacio-by-thanekar-group-in-badlapur-east,https://www.squareyards.com/thane-residential-property/thanekar-palacio/141930/project
387939,Shreeji Divine,Navi Mumbai,https://www.magicbricks.com/ravechi-shreeji-divine-kharghar-navi-mumbai-pdpid-4d4235333535353933,https://housing.com/in/buy/projects/page/281338-shreeji-divine-by-shreeji-ventures-in-kharghar,https://www.squareyards.com/navi-mumbai-residential-property/shreeji-divine/159115/project
391059,Kamdhenu Vogue,Navi Mumbai,https://www.magicbricks.com/kamdhenu-vogue-sanpada-navi-mumbai-pdpid-4d4235333332353237,https://housing.com/in/buy/projects/page/286055-kamdhenu-vogue-by-kamdhenu-devkrupa-realtors-llp-in-sanpada,https://www.squareyards.com/navi-mumbai-residential-property/kamdhenu-vogue/157618/project
392746,Mahaveer Empire,Navi Mumbai,https://www.magicbricks.com/millennium-mahaveer-empire-taloja-navi-mumbai-pdpid-4d4235333333313431,https://housing.com/in/buy/projects/page/285711-mahaveer-empire-by-millenium-group-in-taloja,https://www.squareyards.com/navi-mumbai-residential-property/millennium-mahaveer-empire/171092/project
409138,GeeCee Emerald,Navi Mumbai,https://www.magicbricks.com/geecee-emerald-kharghar-navi-mumbai-pdpid-4d4235343136323731,https://housing.com/in/buy/projects/page/295398-gee-cee-emerald-by-geecee-ventures-ltd-in-kharghar,https://www.squareyards.com/navi-mumbai-residential-property/geecee-emerald/218846/project
409762,Infinity Icon,Navi Mumbai,https://www.magicbricks.com/infinity-icon-panvel-navi-mumbai-pdpid-4d4235343132393037,https://housing.com/in/buy/projects/page/298911-infinity-icon-by-infinity-group-in-shedung,https://www.squareyards.com/navi-mumbai-residential-property/infinity-icon/223042/project
414268,Vinayak Aangan,Navi Mumbai,https://www.magicbricks.com/vinayak-aangan-pushpak-nagar-navi-mumbai-pdpid-4d4235343233393931,https://housing.com/in/buy/projects/page/304056-shri-harikrishna-vinayak-aangan-by-shri-harikrishna-enterprises-in-ulwe,https://www.squareyards.com/navi-mumbai-residential-property/shri-vinayak-aangan/241871/project
415891,Palm Amore,Navi Mumbai,https://www.magicbricks.com/gami-palm-amore-seawoods-navi-mumbai-pdpid-4d4235343139343135,https://housing.com/in/buy/projects/page/305369-palm-amore-by-vision-infra-in-nerul,https://www.squareyards.com/navi-mumbai-residential-property/nms-palm-amore/230962/project
417013,Goodwill Wisteria,Navi Mumbai,https://www.magicbricks.com/goodwill-wisteria-vashi-navi-mumbai-pdpid-4d4235343138383833,https://housing.com/in/buy/projects/page/317322-goodwill-wisteria-by-goodwill-developers-in-vashi,https://www.squareyards.com/navi-mumbai-residential-property/goodwill-wisteria/237774/project
418577,Superior Exotica,Navi Mumbai,https://www.magicbricks.com/superior-exotica-airoli-navi-mumbai-pdpid-4d4235343234393935,https://housing.com/in/buy/projects/page/307789-superior-exotica-by-superior-navkar-builders-in-airoli,https://www.squareyards.com/navi-mumbai-residential-property/superior-exotica/237517/project
418863,Pyramid Centria,Navi Mumbai,https://www.magicbricks.com/pyramid-centria-nerul-navi-mumbai-pdpid-4d4235343239343535,https://housing.com/in/buy/projects/page/311608-pyramid-centria-by-pyramid-infratech-pvt-ltd-in-nerul,https://www.squareyards.com/navi-mumbai-residential-property/pyramid-centria/232686/project
418968,Queens Necklace,Navi Mumbai,https://www.magicbricks.com/metro-queens-necklace-kharghar-navi-mumbai-pdpid-4d4235313533373339,https://housing.com/in/buy/projects/page/310772-metro-satyam-queens-necklace-by-metrosatyam-builders-llp-in-kharghar,https://www.squareyards.com/navi-mumbai-residential-property/metro-satyam-queens-necklace/235331/project
425249,Sai Vrindavan,Navi Mumbai,https://www.magicbricks.com/sai-vrindavan-panvel-navi-mumbai-pdpid-4d4235343236363539,https://housing.com/in/buy/projects/page/318620-sai-vrindavan-by-kt-lk-group-in-panvel,https://www.squareyards.com/navi-mumbai-residential-property/kt-sai-vrindavan-panvel/246538/project
426316,Dani Sky,Navi Mumbai,https://www.magicbricks.com/dani-sky-pushpak-nagar-navi-mumbai-pdpid-4d4235343233383235,https://housing.com/in/buy/projects/page/319571-dani-sky-by-dani-enterprises-in-pushpak-nagar,https://www.squareyards.com/navi-mumbai-residential-property/dani-sky/246539/project
