XID,Phase,Project Name,Project Status,Video Count,Review Count,Image Count
298821,MB  Phase 1,Kalpataru Vista,Under Construction,10,8,21
1223,MB  Phase 1,Sikka The Crown of Noida,Under Construction,2,5,50
332831,MB  Phase 1,Prateek Canary,Under Construction,8,16,18
400435,MB  Phase 1,CRC Joyous,Under Construction,10,2,39
303,MB  Phase 1,Jaypee Greens Kalypso Court,Under Construction,3,11,40
123445,MB  Phase 1,ACE Parkway,Under Construction,10,26,69
375353,MB  Phase 1,SKA Orion,Under Construction,6,26,22
2,MB  Phase 1,Omaxe Twin Tower,Under Construction,0,3,37
270000,MB  Phase 1,Tata Eureka Park,Under Construction,7,27,32
409753,MB  Phase 1,Godrej Tropical Isle,Under Construction,8,27,19
425268,MB  Phase 1,Godrej Jardinia,Under Construction,1,27,4
376821,MB  Phase 1,ATS Kingston Heath,Under Construction,6,27,6
344889,MB  Phase 1,Gulshan Dynasty,Under Construction,4,7,41
378409,MB  Phase 1,Ace Starlit,Under Construction,4,5,23
290685,MB  Phase 1,Godrej Nest,Under Construction,6,20,7
382046,MB  Phase 1,ATS Pious Orchards,Under Construction,1,20,13
10130,MB  Phase 1,ATS Pristine,Under Construction,0,27,19
410631,MB  Phase 1,M3M The Cullinan,Under Construction,5,27,7
326229,MB  Phase 1,ATS Pious Hideaways,Under Construction,2,13,23
269167,MB  Phase 1,Godrej Golf Links,Under Construction,5,6,46
409011,MB  Phase 1,Fusion The Rivulet Phase 1,Under Construction,3,6,6
433611,MB  Phase 1,Renox Thrive,Under Construction,0,6,4
433855,MB  Phase 1,ACE HANEI,Under Construction,0,6,12
373839,MB  Phase 1,Civitech Strings,Under Construction,10,6,13
7894,MB  Phase 1,Capital Athena,Under Construction,5,15,27
395716,MB  Phase 1,Fusion The Brook,Under Construction,7,15,17
402728,MB  Phase 1,Sublime Spring Elmas,Under Construction,9,15,10
430219,MB  Phase 1,Eros Sampoornam 3,Under Construction,0,15,9
336331,MB  Phase 1,ATS Destinaire,Under Construction,10,15,11
270729,MB  Phase 1,ATS Rhapsody,Under Construction,9,14,16
269397,MB  Phase 1,ATS Picturesque Reprieves,Under Construction,8,7,10
379918,MB  Phase 1,Nimbus Express Park View II Low Rise,Under Construction,0,7,30
426159,MB  Phase 1,Nimbus The Palm Village,Under Construction,1,7,17
414339,MB  Phase 1,Experion Elements,Under Construction,1,7,15
403945,MB  Phase 1,Irish Platinum,Under Construction,0,7,9
7662,MB  Phase 1,Paramount Golfforeste,Under Construction,2,7,95
