XID,Phase,Project Name,Project Status,Video Count,Review Count,Image Count
298821,MB  Phase 1,Kalpataru Vista,,,(8 Total Reviews),
1223,MB  Phase 1,Sikka The Crown of Noida,,,(5 Total Reviews),
332831,MB  Phase 1,Prateek Canary,,,(16 Total Reviews),
400435,MB  Phase 1,CRC Joyous,,,(2 Total Reviews),
303,MB  Phase 1,Jaypee Greens Kalypso Court,,,(11 Total Reviews),
123445,MB  Phase 1,ACE Parkway,,,(26 Total Reviews),
375353,MB  Phase 1,SKA Orion,,,,
2,MB  Phase 1,Omaxe Twin Tower,,,(3 Total Reviews),
270000,MB  Phase 1,Tata Eureka Park,,,(27 Total Reviews),
409753,MB  Phase 1,Godrej Tropical Isle,,,,
425268,MB  Phase 1,Godrej Jardinia,,,,
376821,MB  Phase 1,ATS Kingston Heath,,,,
344889,MB  Phase 1,Gulshan Dynasty,,,(7 Total Reviews),
378409,MB  Phase 1,Ace Starlit,,,(5 Total Reviews),
290685,MB  Phase 1,Godrej Nest,,,(20 Total Reviews),
382046,MB  Phase 1,ATS Pious Orchards,,,,
10130,MB  Phase 1,ATS Pristine,,,(27 Total Reviews),
410631,MB  Phase 1,M3M The Cullinan,,,,
326229,MB  Phase 1,ATS Pious Hideaways,,,(13 Total Reviews),
269167,MB  Phase 1,Godrej Golf Links,,,(6 Total Reviews),
409011,MB  Phase 1,Fusion The Rivulet Phase 1,,,,
433611,MB  Phase 1,Renox Thrive,,,,
433855,MB  Phase 1,ACE HANEI,,,,
373839,MB  Phase 1,Civitech Strings,,,,
7894,MB  Phase 1,Capital Athena,,,(15 Total Reviews),
395716,MB  Phase 1,Fusion The Brook,,,,
402728,MB  Phase 1,Sublime Spring Elmas,,,,
430219,MB  Phase 1,Eros Sampoornam 3,,,,
336331,MB  Phase 1,ATS Destinaire,,,(15 Total Reviews),
270729,MB  Phase 1,ATS Rhapsody,,,(14 Total Reviews),
269397,MB  Phase 1,ATS Picturesque Reprieves,,,(7 Total Reviews),
379918,MB  Phase 1,Nimbus Express Park View II Low Rise,,,(7 Total Reviews),
426159,MB  Phase 1,Nimbus The Palm Village,,,(7 Total Reviews),
414339,MB  Phase 1,Experion Elements,,,(7 Total Reviews),
403945,MB  Phase 1,Irish Platinum,,,(7 Total Reviews),
7662,MB  Phase 1,Paramount Golfforeste,,,,
10412,MB  Phase 1,Purvanchal Royal City,,,(15 Total Reviews),
302889,MB  Phase 1,ATS Homekraft Happy Trails,,,(12 Total Reviews),
123483,MB  Phase 1,ACE Divino,,,(24 Total Reviews),
12900,MB  Phase 1,Fusion Homes,,,(18 Total Reviews),
10356,MB  Phase 1,Oasis Grandstand,,,(9 Total Reviews),
10412,MB  Phase 1,Purvanchal Royal City,,,(15 Total Reviews),
333811,MB  Phase 1,ATS Nobility,,,(15 Total Reviews),
425033,MB  Phase 1,Ace Terra,,,(15 Total Reviews),
430588,MB  Phase 1,CRC Maesta,,,(15 Total Reviews),
327273,MB  Phase 1,County 107,,,(12 Total Reviews),
400436,MB  Phase 1,Ivory County,,,,
