XID,URL,Name,Price Range
75015,https://www.magicbricks.com/shreeji-infinity-kharghar-navi-mumbai-pdpid-4d4235343138313635,Shreeji infinity,Call For Price
97522,https://www.magicbricks.com/balaji-delta-palm-beach-nerul-navi-mumbai-pdpid-4d4235343136393837,Balaji Delta Palm Beach,Rs 2.28 Cr - Rs 6.73 Cr
205909,https://www.magicbricks.com/nandanvan-homes-kalwa-thane-pdpid-4d4235303739383232,Nandanvan Homes,Rs 1.40 Cr - Rs 3.69 Cr
252701,https://www.magicbricks.com/apex-landmark-dronagiri-navi-mumbai-pdpid-4d4235303836333736,Apex Landmark,Call For Price
373412,https://www.magicbricks.com/infinity-ivy-dronagiri-navi-mumbai-pdpid-4d4235323239393835,Infinity Ivy,Call For Price
383717,https://www.magicbricks.com/jindal-avenue-panvel-navi-mumbai-pdpid-4d4235333930313333,Jindal Avenue,Rs 46.1 Lac - Rs 46.7 Lac
386352,https://www.magicbricks.com/thanekar-paradise-badlapur-beyond-thane-pdpid-4d4235313530353939,Thanekar Paradise,Call For Price
387939,https://www.magicbricks.com/ravechi-shreeji-divine-kharghar-navi-mumbai-pdpid-4d4235333535353933,Ravechi Shreeji Divine,Rs 1.74 Cr - Rs 4.58 Cr
391059,https://www.magicbricks.com/kamdhenu-vogue-sanpada-navi-mumbai-pdpid-4d4235333332353237,Kamdhenu Vogue,Rs 2.33 Cr - Rs 3.70 Cr
392746,https://www.magicbricks.com/millennium-mahaveer-empire-taloja-navi-mumbai-pdpid-4d4235333333313431,Millennium Mahaveer Empire,Call For Price
409138,https://www.magicbricks.com/geecee-emerald-kharghar-navi-mumbai-pdpid-4d4235343136323731,GeeCee Emerald,Rs 1.63 Cr - Rs 3.26 Cr
409762,https://www.magicbricks.com/infinity-icon-panvel-navi-mumbai-pdpid-4d4235343132393037,Infinity Icon,Call For Price
414268,https://www.magicbricks.com/vinayak-aangan-pushpak-nagar-navi-mumbai-pdpid-4d4235343233393931,Vinayak Aangan,Call For Price
415891,https://www.magicbricks.com/gami-palm-amore-seawoods-navi-mumbai-pdpid-4d4235343139343135,Gami Palm Amore,Rs 2.36 Cr - Rs 8.30 Cr
417013,https://www.magicbricks.com/goodwill-wisteria-vashi-navi-mumbai-pdpid-4d4235343138383833,Goodwill Wisteria,Rs 3.22 Cr - Rs 6.98 Cr
418577,https://www.magicbricks.com/superior-exotica-airoli-navi-mumbai-pdpid-4d4235343234393935,Superior Exotica,Call For Price
418863,https://www.magicbricks.com/pyramid-centria-nerul-navi-mumbai-pdpid-4d4235343239343535,Pyramid Centria,Rs 1.77 Cr - Rs 2.95 Cr
418968,https://www.magicbricks.com/metro-queens-necklace-kharghar-navi-mumbai-pdpid-4d4235313533373339,Metro Queens Necklace,Rs 57.9 Lac - Rs 1.06 Cr
425249,https://www.magicbricks.com/sai-vrindavan-panvel-navi-mumbai-pdpid-4d4235343236363539,Sai Vrindavan,Rs 1.02 Cr - Rs 3.59 Cr
426316,https://www.magicbricks.com/dani-sky-pushpak-nagar-navi-mumbai-pdpid-4d4235343233383235,Dani Sky,Call For Price
426743,https://www.magicbricks.com/kamdhenu-grandeur-sanpada-navi-mumbai-pdpid-4d4235343232373031,Kamdhenu Grandeur,Rs 1.99 Cr - Rs 3.98 Cr
426835,https://www.magicbricks.com/tricity-aspire-kharghar-navi-mumbai-pdpid-4d4235343231323739,Tricity Aspire,Rs 1.09 Cr - Rs 2.19 Cr
429439,https://www.magicbricks.com/juhi-empressa-sanpada-navi-mumbai-pdpid-4d4235343231393535,Juhi Empressa,Rs 2.13 Cr - Rs 4.42 Cr
430268,https://www.magicbricks.com/raheja-lunaris-juinagar-navi-mumbai-pdpid-4d4235343232373737,Raheja Lunaris,Rs 1.05 Cr - Rs 1.62 Cr
433863,https://www.magicbricks.com/kamdhenu-crown-sanpada-navi-mumbai-pdpid-4d4235343234363237,Kamdhenu Crown,Rs 2.54 Cr - Rs 8.39 Cr
24280,https://www.magicbricks.com/runwal-forests-kanjurmarg-west-mumbai-pdpid-4d4235303238383430,Runwal Forests,Rs 1.41 Cr - Rs 2.72 Cr
385201,https://www.magicbricks.com/ajmera-manhattan-wadala-mumbai-pdpid-4d4235333235393037,Ajmera Manhattan,Rs 2.76 Cr - Rs 4.91 Cr
418615,https://www.magicbricks.com/ashwin-sheth-edmont-aurelia-kandivali-west-mumbai-pdpid-4d4235343137373835,Ashwin Sheth Edmont Aurelia,Rs 2.09 Cr - Rs 3.65 Cr
71855,https://www.magicbricks.com/the-prestige-city-mulund-west-mumbai-pdpid-4d4235333332363837,The Prestige City,Rs 1.89 Cr - Rs 3.27 Cr
417100,https://www.magicbricks.com/lodha-riservo-vikhroli-west-mumbai-pdpid-4d4235343230353639,Lodha Riservo,Rs 2.92 Cr - Rs 6.42 Cr
419935,https://www.magicbricks.com/id-vista-residences-goregaon-west-mumbai-pdpid-4d4235343138313333,ID Vista Residences,Rs 2.72 Cr - Rs 4.11 Cr
431532,https://www.magicbricks.com/kalpataru-advay-borivali-west-mumbai-pdpid-4d4235343232383333,Kalpataru Advay,Rs 2.26 Cr - Rs 6.88 Cr
431064,https://www.magicbricks.com/prestige-forest-hills-mulund-west-mumbai-pdpid-4d4235343233303831,Prestige Forest Hills,Rs 2.60 Cr - Rs 5.98 Cr
422558,https://www.magicbricks.com/godrej-reserve-kandivali-east-mumbai-pdpid-4d4235343139303931,Godrej Reserve,Rs 2.21 Cr - Rs 6.29 Cr
270475,https://www.magicbricks.com/transcon-triumph-andheri-west-mumbai-pdpid-4d4235303838383334,Transcon Triumph,Rs 3.04 Cr - Rs 8.64 Cr
430897,https://www.magicbricks.com/satra-nexus-jogeshwari-east-mumbai-pdpid-4d4235343232363331,Satra Nexus,Call For Price
41300,https://www.magicbricks.com/raheja-imperia-i-worli-mumbai-pdpid-4d4235303732313638,Raheja Imperia I,Rs 8.37 Cr - Rs 31.98 Cr
400981,https://www.magicbricks.com/wmi-ashford-regal-bhandup-west-mumbai-pdpid-4d4235333535383131,WMI Ashford Regal,Rs 90.7 Lac - Rs 1.81 Cr
40476,https://www.magicbricks.com/godrej-platinum-vikhroli-east-mumbai-pdpid-4d4235303232313331,Godrej Platinum,Rs 2.84 Cr - Rs 6.46 Cr
389975,https://www.magicbricks.com/godrej-horizon-wadala-mumbai-pdpid-4d4235333331363135,Godrej Horizon,Rs 2.99 Cr - Rs 6.20 Cr
263555,https://www.magicbricks.com/piramal-aranya-byculla-mumbai-pdpid-4d4235303933313135,Piramal Aranya,Rs 2.95 Cr - Rs 15.89 Cr
1646,https://www.magicbricks.com/sagar-avenue-phase-ii-santacruz-east-mumbai-pdpid-4d4235303237323736,Sagar Avenue Phase II,Rs 1.94 Cr - Rs 2.59 Cr
381691,https://www.magicbricks.com/sudarshan-landmark-jogeshwari-east-mumbai-pdpid-4d4235343234353035,Sudarshan Landmark,Rs 1.47 Cr Onwards
429486,https://www.magicbricks.com/origin-claremont-dindoshi-mumbai-pdpid-4d4235343230393333,ORIGIN CLAREMONT,Call For Price
74173,https://www.magicbricks.com/oberoi-sky-city-borivali-east-mumbai-pdpid-4d4235303836303834,Oberoi Sky City,Rs 4.47 Cr - Rs 9.47 Cr
430928,https://www.magicbricks.com/zodiac-anjaneshwar-vile-parle-east-mumbai-pdpid-4d4235343139393139,Zodiac Anjaneshwar,Call For Price
389421,https://www.magicbricks.com/landcare-pride-panorama-andheri-east-mumbai-pdpid-4d4235343031383933,Landcare Pride Panorama,Call For Price
168271,https://www.magicbricks.com/sheth-montana-mulund-west-mumbai-pdpid-4d4235303832353731,Sheth Montana,Rs 1.48 Cr - Rs 8.28 Cr
371342,https://www.magicbricks.com/marathon-neovalley-narmada-bhandup-west-mumbai-pdpid-4d4235343038303733,Marathon Neovalley Narmada,Rs 67.0 Lac - Rs 1.0 Cr
424323,https://www.magicbricks.com/codename-triumph-tower-1-bhandup-west-mumbai-pdpid-4d4235343230343733,Codename Triumph Tower 1,Rs 1.35 Cr - Rs 3.32 Cr
4146,https://www.magicbricks.com/jp-north-estella-mira-road-mumbai-pdpid-4d4235313232343231,JP North Estella,Rs 90.4 Lac - Rs 1.11 Cr
14640,https://www.magicbricks.com/neelam-senroofs-nahur-east-mumbai-pdpid-4d4235303230313833,Neelam Senroofs,Rs 2.03 Cr - Rs 2.73 Cr
387255,https://www.magicbricks.com/l&t-elixir-reserve-powai-mumbai-pdpid-4d4235333236323137,L&T Elixir Reserve,Rs 2.10 Cr - Rs 8.62 Cr
430231,https://www.magicbricks.com/godrej-nurture-bhandup-west-mumbai-pdpid-4d4235343232353633,Godrej Nurture,Rs 1.39 Cr - Rs 2.66 Cr
382144,https://www.magicbricks.com/lodha-codename-premier-dombivli-east-beyond-thane-pdpid-4d4235333139353333,Lodha Codename Premier,Rs 47.4 Lac - Rs 85.4 Lac
343707,https://www.magicbricks.com/mahindra-happinest-kalyan-2-kalyan-beyond-thane-pdpid-4d4235333235383331,Mahindra Happinest Kalyan 2,Call For Price
27954,https://www.magicbricks.com/marathon-nextown-dombivli-east-beyond-thane-pdpid-4d4235303338333339,Marathon Nextown,Rs 43.7 Lac - Rs 58.4 Lac
317985,https://www.magicbricks.com/the-icon-by-risland-dhokali-thane-pdpid-4d4235313339373033,The Icon by Risland,Rs 83.7 Lac - Rs 2.07 Cr
389667,https://www.magicbricks.com/godrej-ascend-kolshet-road-thane-pdpid-4d4235333331393031,Godrej Ascend,Rs 74.2 Lac - Rs 1.96 Cr
237262,https://www.magicbricks.com/piramal-vaikunth-balkum-village-thane-pdpid-4d4235303835313332,Piramal Vaikunth,Rs 71.1 Lac - Rs 2.62 Cr
177287,https://www.magicbricks.com/lodha-amara-kolshet-road-thane-pdpid-4d4235303931353233,Lodha Amara,Rs 78.3 Lac - Rs 2.99 Cr
243287,https://www.magicbricks.com/narang-courtyard-thane-pokharan-road-number-2-thane-pdpid-4d4235313930363537,Narang Courtyard Thane,Rs 1.50 Cr - Rs 7.45 Cr
