XID,Unit Type,Unit Size,Area Type,Price,Possession Date
2584,3,BHK Flat 3475 sq.ft,Area Not Available,"₹ 5.50 Cr
₹4.77 lakh EMI",Ready to Move
2584,3,BHK Flat 1930 sq.ft,Area Not Available,"₹ 4.25 Cr
₹3.69 lakh EMI",Ready to Move
2584,3,BHK Flat 2500 sq.ft,Area Not Available,"₹ 3.55 Cr
₹3.08 lakh EMI",Ready to Move
2584,,Size Not Available,Area Not Available,,
2584,,Size Not Available,Area Not Available,,
2584,,Size Not Available,Area Not Available,,
2584,,Size Not Available,Area Not Available,,
2584,,Size Not Available,Area Not Available,,
2584,,Size Not Available,Area Not Available,,
2584,,Size Not Available,Area Not Available,,
341813,3 BHK,1656 sq.ft,Super Area,2.70 Cr,Possession by Jun'25
341813,3 BHK,1683 sq.ft,Super Area,2.80 Cr,Possession by Jun'25
426589,4 BHK,3500 sq.ft,Super Area,7.47 Cr,Possession by Dec'31
426589,4 BHK,3577 sq.ft,Super Area,8 Cr,Possession by Dec'31
428688,3 BHK,3805 sq.ft,Super Area,5.48 Cr,Possession by Jun'28
428688,4 BHK,5018 sq.ft,Super Area,7.22 Cr,Possession by Jun'28
428688,4 BHK,5081 sq.ft,Super Area,7.32 Cr,Possession by Jun'28
428688,4 BHK,5518 sq.ft,Super Area,7.94 Cr,Possession by Jun'28
428688,4 BHK,5581 sq.ft,Super Area,8.04 Cr,Possession by Jun'28
269936,3 BHK,1590 sq.ft,Super Area,2.26 Cr,Possession by Dec'22
269936,3 BHK,1789 sq.ft,Super Area,2.55 Cr,Possession by Dec'22
269936,3 BHK,2134 sq.ft,Super Area,3.04 Cr,Possession by Dec'22
269936,4 BHK,2407 sq.ft,Super Area,3.43 Cr,Possession by Dec'22
269936,4 BHK,2600 sq.ft,Super Area,3.70 Cr,Possession by Dec'22
397844,3 BHK,2500 sq.ft,Super Area,3.72 Cr,Possession by Sep'29
397844,3 BHK,2575 sq.ft,Super Area,3.83 Cr,Possession by Sep'29
397844,4 BHK,2970 sq.ft,Super Area,4.41 Cr,Possession by Sep'29
397844,4 BHK,3000 sq.ft,Super Area,4.46 Cr,Possession by Sep'29
397844,4 BHK,3550 sq.ft,Super Area,5.28 Cr,Possession by Sep'29
397844,4 BHK,3720 sq.ft,Super Area,5.53 Cr,Possession by Sep'29
397844,4 BHK,4650 sq.ft,Super Area,6.60 Cr,Possession by Sep'29
397844,4 BHK,4775 sq.ft,Super Area,6.78 Cr,Possession by Sep'29
421711,Service apartment,865 sq.ft,Super Area,1.22 Cr,Possession by Jul'28
421711,Service apartment,980 sq.ft,Super Area,1.38 Cr,Possession by Jul'28
422937,Penthouse,5453 sq.ft,Super Area,12.50 Cr,Possession by Oct'29
422937,Penthouse,5867 sq.ft,Super Area,13.30 Cr,Possession by Oct'29
401978,3 BHK,1375 sq.ft,Super Area,39 Lac,Possession by Dec'22
401978,3 BHK,1400 sq.ft,Super Area,41.4 Lac,Possession by Dec'22
401978,2 BHK,970 sq.ft,Super Area,30.3 Lac,Possession by Dec'22
401978,Type Not Available,1050 sq.ft,Super Area,32 Lac,Possession by Dec'22
373829,Residential plot,1350 sq.ft,Super Area,1.21 Cr,Possession by Dec'17
373829,Residential plot,1359 sq.ft,Super Area,1.22 Cr,Possession by Dec'17
328277,3 BHK,1225 sq.ft,Super Area,1.38 Cr,Possession by May'25
328277,3 BHK,1250 sq.ft,Super Area,1.33 Cr,Possession by May'25
255783,3 BHK,1090 sq.ft,Super Area,92.7 Lac,Possession by Jul'21
255783,3 BHK,1319 sq.ft,Super Area,1.22 Cr,Possession by Jul'21
123445,3 BHK,1395 sq.ft,Super Area,1.80 Cr,Possession by Jun'23
123445,3 BHK,1750 sq.ft,Super Area,2.50 Cr,Possession by Jun'23
373410,3 BHK,1237 sq.ft,Super Area,1.21 Cr,Possession by Dec'23
373410,3 BHK,1445 sq.ft,Super Area,1.41 Cr,Possession by Dec'23
373410,3 BHK,1629 sq.ft,Super Area,1.53 Cr,Possession by Dec'23
373410,3 BHK,1987 sq.ft,Super Area,1.86 Cr,Possession by Dec'23
373410,4 BHK,3070 sq.ft,Super Area,3.22 Cr,Possession by Dec'23
432550,3 BHK,2850 sq.ft,Super Area,5.84 Cr,Possession by Jul'28
432550,3 BHK,2858 sq.ft,Super Area,5.85 Cr,Possession by Jul'28
432550,3 BHK,2945 sq.ft,Super Area,6.03 Cr,Possession by Jul'28
432550,3 BHK,2950 sq.ft,Super Area,6.04 Cr,Possession by Jul'28
432550,4 BHK,3883 sq.ft,Super Area,7.96 Cr,Possession by Jul'28
432550,4 BHK,3900 sq.ft,Super Area,7.99 Cr,Possession by Jul'28
425712,3 BHK,1253 sq.ft,Super Area,1.64 Cr,Possession by Jan'29
425712,3 BHK,1380 sq.ft,Super Area,1.80 Cr,Possession by Jan'29
425712,3 BHK,1603 sq.ft,Super Area,1.60 Cr,Possession by Jan'29
425712,3 BHK,1657 sq.ft,Super Area,2.16 Cr,Possession by Jan'29
425712,3 BHK,1757 sq.ft,Super Area,1.75 Cr,Possession by Jan'29
425712,3 BHK,2107 sq.ft,Super Area,2.10 Cr,Possession by Jan'29
425712,4 BHK,2386 sq.ft,Super Area,3.08 Cr,Possession by Jan'29
425712,4 BHK,3007 sq.ft,Super Area,3 Cr,Possession by Jan'29
376088,3 BHK,1549 sq.ft,Super Area,2.48 Cr,Possession by Dec'24
376088,3 BHK,1630 sq.ft,Super Area,2.61 Cr,Possession by Dec'24
