XID,Phase,Unit Type,Unit Size,Area Type,Price,Possession Date
213249,2 BHK,1350 sq.ft,Super Area,1.45 Cr,Possession by Feb'21,
213249,2 BHK,1383 sq.ft,Super Area,1.49 Cr,Possession by Feb'21,
213249,2 BHK,1470 sq.ft,Super Area,1.58 Cr,Possession by Feb'21,
213249,2 BHK,1491 sq.ft,Super Area,1.60 Cr,Possession by Feb'21,
213249,2 BHK,1505 sq.ft,Super Area,1.62 Cr,Possession by Feb'21,
213249,2 BHK,1559 sq.ft,Super Area,1.68 Cr,Possession by Feb'21,
213249,2 BHK,1572 sq.ft,Super Area,1.69 Cr,Possession by Feb'21,
213249,2 BHK,1583 sq.ft,Super Area,1.70 Cr,Possession by Feb'21,
428412,3 BHK,2300 sq.ft,Super Area,3.68 Cr,Possession by Feb'31,
428412,3 BHK,2700 sq.ft,Super Area,4.32 Cr,Possession by Feb'31,
405181,Penthouse,6596 sq.ft,Super Area,10.54 Cr,Possession by Feb'31,
405181,3 BHK,1550 sq.ft,Super Area,2.79 Cr,Possession by Feb'31,
405181,3 BHK,1668 sq.ft,Super Area,3 Cr,Possession by Feb'31,
405181,3 BHK,1925 sq.ft,Super Area,2.48 Cr,Possession by Feb'31,
405181,3 BHK,2090 sq.ft,Super Area,2.92 Cr,Possession by Feb'31,
405181,3 BHK,2098 sq.ft,Super Area,3.35 Cr,Possession by Feb'31,
405181,3 BHK,2250 sq.ft,Super Area,3.60 Cr,Possession by Feb'31,
405181,3 BHK,2260 sq.ft,Super Area,3.72 Cr,Possession by Feb'31,
405181,3 BHK,2365 sq.ft,Super Area,3.78 Cr,Possession by Feb'31,
405181,2 BHK,1420 sq.ft,Super Area,1.84 Cr,Possession by Feb'31,
405181,5 BHK,6386 sq.ft,Super Area,10.21 Cr,Possession by Feb'31,
405181,5 BHK,7800 sq.ft,Super Area,12.47 Cr,Possession by Feb'31,
405181,4 BHK,2250 sq.ft,Super Area,2.92 Cr,Possession by Feb'31,
405181,4 BHK,2330 sq.ft,Super Area,3.26 Cr,Possession by Feb'31,
405181,4 BHK,2380 sq.ft,Super Area,3.82 Cr,Possession by Feb'31,
405181,4 BHK,2450 sq.ft,Super Area,3.92 Cr,Possession by Feb'31,
405181,4 BHK,2650 sq.ft,Super Area,4.24 Cr,Possession by Feb'31,
405181,4 BHK,2685 sq.ft,Super Area,4.30 Cr,Possession by Feb'31,
405181,4 BHK,2699 sq.ft,Super Area,4.32 Cr,Possession by Feb'31,
405181,4 BHK,3065 sq.ft,Super Area,4.90 Cr,Possession by Feb'31,
391580,4 BHK,2430 sq.ft,Super Area,5.90 Cr,Possession by Dec'25,
391580,4 BHK,3240 sq.ft,Super Area,7.87 Cr,Possession by Dec'25,
391580,4 BHK,4500 sq.ft,Super Area,10.93 Cr,Possession by Dec'25,
15378,3 BHK,1425 sq.ft,Super Area,1.09 Cr,Possession by Jul'24,
15378,3 BHK,1850 sq.ft,Super Area,1.42 Cr,Possession by Jul'24,
15378,3 BHK,1935 sq.ft,Super Area,1.48 Cr,Possession by Jul'24,
15378,3 BHK,2080 sq.ft,Super Area,1.60 Cr,Possession by Jul'24,
15378,3 BHK,2400 sq.ft,Super Area,1.84 Cr,Possession by Jul'24,
15378,2 BHK,1000 sq.ft,Super Area,76.9 Lac,Possession by Jul'24,
15378,2 BHK,1012 sq.ft,Super Area,77.9 Lac,Possession by Jul'24,
15378,2 BHK,1115 sq.ft,Super Area,85.8 Lac,Possession by Jul'24,
15378,2 BHK,1140 sq.ft,Super Area,87.7 Lac,Possession by Jul'24,
15378,4 BHK,3530 sq.ft,Super Area,2.71 Cr,Possession by Jul'24,
15378,4 BHK,3990 sq.ft,Super Area,3.06 Cr,Possession by Jul'24,
15378,4 BHK,4350 sq.ft,Super Area,3.34 Cr,Possession by Jul'24,
15378,1 BHK,665 sq.ft,Super Area,51.2 Lac,Possession by Jul'24,
15378,3 BHK villa,1740 sq.ft,Super Area,1.47 Cr,Possession by Jul'24,
15378,5 BHK villa,5340 sq.ft,Super Area,4.80 Cr,Possession by Jul'24,
15378,4 BHK villa,3100 sq.ft,Super Area,2.63 Cr,Possession by Jul'24,
15378,4 BHK villa,4650 sq.ft,Super Area,3.95 Cr,Possession by Jul'24,
306651,3 BHK,1195 sq.ft,Super Area,1.81 Cr,Possession by Sep'25,
306651,3 BHK,1202 sq.ft,Super Area,1.82 Cr,Possession by Sep'25,
306651,3 BHK,1625 sq.ft,Super Area,2.47 Cr,Possession by Sep'25,
306651,3 BHK,1855 sq.ft,Super Area,2.82 Cr,Possession by Sep'25,
306651,3 BHK,2002 sq.ft,Super Area,3.04 Cr,Possession by Sep'25,
306651,2 BHK,1366 sq.ft,Super Area,2.07 Cr,Possession by Sep'25,
306651,4 BHK,2720 sq.ft,Super Area,4.13 Cr,Possession by Sep'25,
433863,3 BHK,1483 sq.ft,Super Area,4.45 Cr,Possession by Dec'29,
433863,3 BHK,1485 sq.ft,Super Area,4.45 Cr,Possession by Dec'29,
433863,2 BHK,849 sq.ft,Super Area,2.54 Cr,Possession by Dec'29,
433863,2 BHK,850 sq.ft,Super Area,2.55 Cr,Possession by Dec'29,
433863,5 BHK,2332 sq.ft,Super Area,6.99 Cr,Possession by Dec'29,
