XID,data_point_name,99acres,Comp 1,Comp 2,Comp 3
2584,Project Name,Mahagun Mezzaria,https://www.magicbricks.com/mahagun-mezzaria-sector-78-noida-pdpid-4d4235303230373435,https://housing.com/in/buy/projects/page/4627-mahagun-mezzaria-by-mahagun-group-in-sector-78,https://www.squareyards.com/noida-residential-property/mahagun-mezzaria/588/project
341813,Project Name,Ivy County,https://www.magicbricks.com/ivy-county-sector-75-noida-pdpid-4d4235313236393639,https://housing.com/in/buy/projects/page/226932-ivy-county-by-county-group-in-sector-75,https://www.squareyards.com/noida-residential-property/aba-ivy-county/11120/project
426589,Project Name,DLF Privana West,https://www.magicbricks.com/dlf-privana-west-sector-76-gurgaon-pdpid-4d4235303733353631,https://housing.com/in/buy/projects/page/320938-dlf-privana-west-by-dlf-real-estate-builders-limited-in-sector-76,https://www.squareyards.com/gurgaon-residential-property/dlf-privana-west/247372/project
428688,Project Name,Central Park Flower Valley Bignonia Towers,https://www.magicbricks.com/central-park-bignonia-towers-sohna-sector-32-gurgaon-pdpid-4d4235343231353135,https://housing.com/in/buy/projects/page/326543-central-bignonia-towers-by-central-park-flower-valley-in-sector-33-sohna,https://www.squareyards.com/gurgaon-residential-property/central-park-bignonia-towers/249831/project
269936,Project Name,Central Park Flower Valley Aqua Front Towers,https://www.magicbricks.com/central-park-aqua-front-towers-sohna-sector-32-gurgaon-pdpid-4d4235313137373139,https://housing.com/in/buy/projects/page/41067-central-park-aqua-front-towers-by-central-park-in-sector-33-sohna,https://www.squareyards.com/gurgaon-residential-property/central-park-flower-valley-aqua-front-towers/100364/project
397844,Project Name,Mahagun Medalleo,https://www.magicbricks.com/mahagun-medalleo-sector-107-noida-pdpid-4d4235333337303033,https://housing.com/in/buy/projects/page/285921-mahagun-medalleo-by-mahagun-group-in-sector-107,https://www.squareyards.com/noida-residential-property/mahagun-medalleo/186614/project
421711,Project Name,M3M The Line,https://www.magicbricks.com/m3m-the-line-sector-72-noida-pdpid-4d4235343138303239,https://housing.com/in/buy/projects/page/314463-m3m-the-line-by-m3m-india-pvt-ltd-in-sector-72,https://www.squareyards.com/noida-residential-property/m3m-the-line/236502/project
422937,Project Name,Krisumi Waterside Residences,https://www.magicbricks.com/krisumi-waterside-residences-sector-36a-gurgaon-pdpid-4d4235343231343833,https://housing.com/in/buy/projects/page/319751-krisumi-waterside-residence-by-krisumi-corporation-pvt-ltd-in-sector-36,https://www.squareyards.com/gurgaon-residential-property/krisumi-waterside-residences/247870/project
401978,Project Name,Twin Celestial by Ambesten Homes,https://www.magicbricks.com/twin-celestial-noida-extension-greater-noida-pdpid-4d4235333235363937,https://housing.com/in/buy/projects/page/272777-aambesten-twin-celestial-by-ambesten-homes-pvt-ltd-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/ambesten-twin-county/101625/project
6136,Project Name,DLF The Skycourt,https://www.magicbricks.com/dlf-skycourt-sector-86-gurgaon-pdpid-4d4235303232373337,https://housing.com/in/buy/projects/page/3634-dlf-the-skycourt-by-dlf-in-sector-86,https://www.squareyards.com/gurgaon-residential-property/dlf-the-skycourt/114/project
373829,Project Name,Greenbay Golf Village,https://www.magicbricks.com/greenbay-golf-village-yamuna-expressway-greater-noida-pdpid-4d4235303130323838,https://housing.com/in/buy/projects/page/79445-greenbay-golf-village-by-green-bay-infrastructure-private-limited-in-yeida,https://www.squareyards.com/greater-noida-residential-property/orris-greenbay-golf-village-plots/20815/project
394131,Project Name,RG Luxury Homes Phase 2,https://www.magicbricks.com/rg-luxury-homes-phase-2-noida-extension-greater-noida-pdpid-4d4235333332383933,https://housing.com/in/buy/projects/page/279593-rg-luxury-phase-2-by-rg-group-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/rg-luxury-homes/902/project
328277,Project Name,Nirala Estate Phase 2,https://www.magicbricks.com/nirala-estate-phase-2-noida-extension-noida-pdpid-4d4235303230313135,https://housing.com/in/buy/projects/page/171395-nirala-estate-ii-by-nirala-world-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/nirala-estate-ii/20617/project
255783,Project Name,Shri Radha Aqua Gardens,https://www.magicbricks.com/shri-radha-aqua-gardens-noida-extension-noida-pdpid-4d4235303836313334,https://housing.com/in/buy/projects/page/34751-shri-radha-aqua-garden-by-decent-buildwell-pvt-ltd-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/shri-radha-aqua-garden/8372/project
123445,Project Name,ACE Parkway,https://www.magicbricks.com/ace-parkway-sector-150-noida-pdpid-4d4235303739373034,https://housing.com/in/buy/projects/page/31388-ace-group-parkway-by-ace-group-in-sector-150,https://www.squareyards.com/noida-residential-property/ace-parkway/4863/project
298653,Project Name,CRC Sublimis,https://www.magicbricks.com/crc-sublimis-noida-extension-greater-noida-pdpid-4d4235313135383337,https://housing.com/in/buy/projects/page/95939-crc-sublimis-by-crc-group-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/crc-sublimis/29282/project
373410,Project Name,Apex Alphabet,https://www.magicbricks.com/apex-alphabet-noida-extension-greater-noida-pdpid-4d4235313936383839,https://housing.com/in/buy/projects/page/251757-apex-alphabet-by-apex-group-in-noida-extension,https://www.squareyards.com/greater-noida-residential-property/apex-alphabet/101984/project
