XID,Project,Phase,Configuration,List Item,Price
213249,Godrej 101,1,"2 BHK Apartment
1.24 Cr - 1.63 Cr",1050 SQ.FT,₹ 1.24 Cr
213249,Godrej 101,1,"2 BHK Apartment
1.24 Cr - 1.63 Cr",1383 SQ.FT,₹ 1.63 Cr
213249,Godrej 101,1,"2.5 BHK Apartment
1.74 Cr - 1.86 Cr",1470 SQ.FT,₹ 1.74 Cr
213249,Godrej 101,1,"2.5 BHK Apartment
1.74 Cr - 1.86 Cr",1491 SQ.FT,₹ 1.76 Cr
213249,Godrej 101,1,"2.5 BHK Apartment
1.74 Cr - 1.86 Cr",1505 SQ.FT,₹ 1.78 Cr
213249,Godrej 101,1,"2.5 BHK Apartment
1.74 Cr - 1.86 Cr",1559 SQ.FT,₹ 1.84 Cr
213249,Godrej 101,1,"2.5 BHK Apartment
1.74 Cr - 1.86 Cr",1572 SQ.FT,₹ 1.86 Cr
213249,Godrej 101,1,3 BHK Apartment,1500 SQ.FT,₹ 1.77 Cr
213249,Godrej 101,1,3 BHK Apartment,2125 SQ.FT,Price on Request
213249,Godrej 101,1,3 BHK Apartment,2244 SQ.FT,₹ 2.65 Cr
213249,Godrej 101,1,3 BHK Apartment,2262 SQ.FT,₹ 2.67 Cr
213249,Godrej 101,1,3 BHK Apartment,2366 SQ.FT,₹ 2.8 Cr
213249,Godrej 101,1,3 BHK Apartment,2506 SQ.FT,Price on Request
1239,BPTP Parklands Pride,1,"3 BHK Apartment
71 L - 74.58 L",1050 SQ.FT,₹ 71.0 L
1239,BPTP Parklands Pride,1,"3 BHK Apartment
71 L - 74.58 L",1103 SQ.FT,₹ 74.58 L
1239,BPTP Parklands Pride,1,"4 BHK Apartment
92.3 L - 1.22 Cr",1365 SQ.FT,₹ 92.3 L
1239,BPTP Parklands Pride,1,"4 BHK Apartment
92.3 L - 1.22 Cr",1382 SQ.FT,₹ 93.45 L
1239,BPTP Parklands Pride,1,"4 BHK Apartment
92.3 L - 1.22 Cr",1750 SQ.FT,₹ 1.18 Cr
1239,BPTP Parklands Pride,1,"4 BHK Apartment
92.3 L - 1.22 Cr",1803 SQ.FT,₹ 1.22 Cr
428412,Signature Global Titanium SPR,1,"3.5 BHK Apartment
4.73 Cr",2780 SQ.FT,₹ 4.73 Cr
428412,Signature Global Titanium SPR,1,"4 BHK Apartment
6.1 Cr - 6.27 Cr",3700 SQ.FT,₹ 6.1 Cr
428412,Signature Global Titanium SPR,1,"4 BHK Apartment
6.1 Cr - 6.27 Cr",3800 SQ.FT,₹ 6.27 Cr
428412,Signature Global Titanium SPR,1,"4.5 BHK Apartment
6.24 Cr",3780 SQ.FT,₹ 6.24 Cr
405181,M3M Golf Hills,1,"2 BHK Apartment
2.08 Cr",1420 SQ.FT,₹ 2.08 Cr
405181,M3M Golf Hills,1,"3 BHK Apartment
2.79 Cr - 3.08 Cr",1900 SQ.FT,₹ 2.79 Cr
405181,M3M Golf Hills,1,"3 BHK Apartment
2.79 Cr - 3.08 Cr",1902 SQ.FT,₹ 2.79 Cr
405181,M3M Golf Hills,1,"3 BHK Apartment
2.79 Cr - 3.08 Cr",2090 SQ.FT,₹ 3.07 Cr
405181,M3M Golf Hills,1,"3 BHK Apartment
2.79 Cr - 3.08 Cr",2100 SQ.FT,₹ 3.08 Cr
405181,M3M Golf Hills,1,"3.5 BHK Apartment
3.32 Cr",2260 SQ.FT,₹ 3.32 Cr
405181,M3M Golf Hills,1,"4 BHK Apartment
3.86 Cr - 3.89 Cr",2630 SQ.FT,₹ 3.86 Cr
405181,M3M Golf Hills,1,"4 BHK Apartment
3.86 Cr - 3.89 Cr",2650 SQ.FT,₹ 3.89 Cr
405181,M3M Golf Hills,1,"4.5 BHK Apartment
3.94 Cr",2685 SQ.FT,₹ 3.94 Cr
405181,M3M Golf Hills,2,"2.5 BHK Apartment
2.13 Cr",1420 SQ.FT,₹ 2.13 Cr
405181,M3M Golf Hills,2,3 BHK Apartment,2090 SQ.FT,Price on Request
405181,M3M Golf Hills,2,3 BHK Apartment,2100 SQ.FT,Price on Request
405181,M3M Golf Hills,2,"3.5 BHK Apartment
2.85 Cr - 3.08 Cr",1900 SQ.FT,₹ 2.85 Cr
405181,M3M Golf Hills,2,"3.5 BHK Apartment
2.85 Cr - 3.08 Cr",2050 SQ.FT,₹ 3.08 Cr
405181,M3M Golf Hills,2,4 BHK Apartment,2630 SQ.FT,Price on Request
405181,M3M Golf Hills,2,4 BHK Apartment,2685 SQ.FT,Price on Request
405181,M3M Golf Hills,2,"4.5 BHK Apartment
3.98 Cr",2650 SQ.FT,₹ 3.98 Cr
391580,DLF The Grove,1,"3 BHK Apartment
5.32 Cr",1660 SQ.FT,₹ 5.32 Cr
391580,DLF The Grove,1,4 BHK Apartment,1988 SQ.FT,₹ 6.37 Cr
391580,DLF The Grove,1,4 BHK Apartment,2421 SQ.FT,₹ 7.76 Cr
391580,DLF The Grove,1,4 BHK Apartment,2430 SQ.FT,Price on Request
391580,DLF The Grove,1,4 BHK Apartment,3150 SQ.FT,₹ 10.1 Cr
391580,DLF The Grove,1,4 BHK Apartment,4500 SQ.FT,₹ 14.42 Cr
391580,DLF The Grove,1,4 BHK Apartment,4521 SQ.FT,Price on Request
15378,Solitairian City,1,"1 BHK Apartment
49.84 L",665 SQ.FT,₹ 49.84 L
15378,Solitairian City,1,"2 BHK Apartment
74.95 L - 1.72 Cr",1000 SQ.FT,₹ 74.95 L
15378,Solitairian City,1,"2 BHK Apartment
74.95 L - 1.72 Cr",1012 SQ.FT,₹ 75.85 L
15378,Solitairian City,1,"2 BHK Apartment
74.95 L - 1.72 Cr",1115 SQ.FT,₹ 83.57 L
15378,Solitairian City,1,"2 BHK Apartment
74.95 L - 1.72 Cr",1140 SQ.FT,₹ 85.44 L
15378,Solitairian City,1,"2 BHK Apartment
74.95 L - 1.72 Cr",1660 SQ.FT,₹ 1.24 Cr
15378,Solitairian City,1,"2 BHK Apartment
74.95 L - 1.72 Cr",1925 SQ.FT,₹ 1.72 Cr
15378,Solitairian City,1,"3 BHK Apartment
1.07 Cr - 2.15 Cr",1425 SQ.FT,₹ 1.07 Cr
15378,Solitairian City,1,"3 BHK Apartment
1.07 Cr - 2.15 Cr",1850 SQ.FT,₹ 1.39 Cr
15378,Solitairian City,1,"3 BHK Apartment
1.07 Cr - 2.15 Cr",1935 SQ.FT,₹ 1.45 Cr
15378,Solitairian City,1,"3 BHK Apartment
1.07 Cr - 2.15 Cr",2080 SQ.FT,₹ 1.56 Cr
15378,Solitairian City,1,"3 BHK Apartment
1.07 Cr - 2.15 Cr",2400 SQ.FT,₹ 2.15 Cr
15378,Solitairian City,1,"3 BHK Villa
1.74 Cr",1740 SQ.FT,₹ 1.74 Cr
15378,Solitairian City,1,"4 BHK Apartment
3.9 Cr",4350 SQ.FT,₹ 3.9 Cr
15378,Solitairian City,1,"5 BHK Villa
3.1 Cr - 4.65 Cr",3100 SQ.FT,₹ 3.1 Cr
15378,Solitairian City,1,"5 BHK Villa
3.1 Cr - 4.65 Cr",4650 SQ.FT,₹ 4.65 Cr
306651,Godrej Meridien,1,"2 BHK Apartment
2 Cr",1366 SQ.FT,"₹ 2 Cr
i"
306651,Godrej Meridien,1,"3 BHK Apartment
2.6 Cr - 3.25 Cr",1625 SQ.FT,"₹ 2.6 Cr
i"
306651,Godrej Meridien,1,"3 BHK Apartment
2.6 Cr - 3.25 Cr",1855 SQ.FT,"₹ 2.8 Cr
i"
