XID number,Project Name,City,Region,Builder website,Project Page (Not CP),Magic Bricks Phase 1,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,Housing Phase 1,Housing Phase 2,Housing Phase 3,Housing Phase 4,Square Yards  Phase 1,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4,Other phase XID on 99acres,NA,NA
213249,Godrej 101,Gurgaon,Gurugram,https://www.godrejproperties.com/gurugram/residential/godrej-101,NA,https://www.magicbricks.com/godrej-101-sector-79-gurgaon-pdpid-4d4235303834343632,NA,NA,NA,https://housing.com/in/buy/projects/page/33467-godrej-101-by-godrej-properties-ltd-in-sector-79,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/godrej-101/5792/project,NA,NA,NA,0,NA,NA
1239,BPTP Parklands Pride,Faridabad,Delhi NCR,https://www.bptp.com/property/pride,NA,https://www.magicbricks.com/bptp-parklands-pride-sector-77-noida-pdpid-4d4235303031313231,NA,NA,NA,https://housing.com/in/buy/projects/page/44580-bptp-parklands-pride-by-bptp-limited-in-sector-77,NA,NA,NA,https://www.squareyards.com/faridabad-residential-property/bptp-parkland-pride/452/project,https://www.squareyards.com/faridabad-residential-property/bptp-parkland-pride-phase-2/113321/project,NA,NA,0,NA,NA
428412,Signature Global Titanium SPR,Gurgaon,Gurugram,https://www.signatureglobal.in/titanium-spr/,NA,https://www.magicbricks.com/signatureglobal-titanium-spr-sector-71-gurgaon-pdpid-4d4235343231353933,NA,NA,NA,https://housing.com/in/buy/projects/page/321322-signature-global-titanium-spr-by-signature-global-builders-pvt-ltd-in-sector-71,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/signature-global-titanium-spr/249570/project,NA,NA,NA,0,NA,NA
405181,M3M Golf Hills,Gurgaon,Gurugram,https://m3mindia.com/residential/m3m-golf-hills,NA,https://www.magicbricks.com/m3m-golf-hills-phase-1-sector-79-gurgaon-pdpid-4d4235343030303737,NA,NA,NA,https://housing.com/in/buy/projects/page/296234-m3m-golf-hills-by-m3m-india-pvt-ltd-in-sector-79,https://housing.com/in/buy/projects/page/323628-m3m-golf-hills-phase-2-by-m3m-india-pvt-ltd-in-sector-79,NA,NA,https://www.squareyards.com/gurgaon-residential-property/m3m-golf-hills/220071/project,NA,NA,NA,0,NA,NA
391580,DLF The Grove,Gurgaon,Gurugram,https://thegrove.dlf.in/,NA,https://www.magicbricks.com/dlf-the-grove-sector-54-gurgaon-pdpid-4d4235333336343433,NA,NA,NA,https://housing.com/in/buy/projects/page/275695-dlf-the-grove-by-dlf-real-estate-builders-limited-in-dlf-phase-5,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/dlf-the-grove/130079/project,NA,NA,NA,0,NA,NA
15378,Solitairian City,Greater Noida,Noida,https://solitairian.com/solitairriann-city/,NA,https://www.magicbricks.com/solitairian-city-yamuna-expressway-greater-noida-pdpid-4d4235303732393934,NA,NA,NA,https://housing.com/in/buy/projects/page/3038-solitairian-city-by-dev-sai-group-in-yeida,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/le-solitairian-city/1253/project,https://www.squareyards.com/noida-residential-property/solitairian-city-villas/20732/project,0,0,0,NA,NA
306651,Godrej Meridien,Gurgaon,Gurugram,https://www.godrejproperties.com/gurugram/residential/godrej-meridien,NA,https://www.magicbricks.com/godrej-meridien-sector-106-gurgaon-pdpid-4d4235313135383233,NA,NA,NA,https://housing.com/in/buy/projects/page/96504-godrej-meridien-by-godrej-properties-ltd-in-sector-106,https://housing.com/in/buy/projects/page/282040-godrej-meridien-phase-ii-by-godrej-properties-ltd-in-sector-106,https://housing.com/in/buy/projects/page/282726-godrej-meridien-phase-iii-by-godrej-properties-ltd-in-sector-106,NA,https://www.squareyards.com/gurgaon-residential-property/godrej-meridien/10157/project,NA,NA,NA,NA,NA,NA
433863,Kamdhenu Crown,Navi Mumbai,Navi Mumbai,https://kamdhenurealities.in/projects.html,NA,https://www.magicbricks.com/kamdhenu-crown-sanpada-navi-mumbai-pdpid-4d4235343234363237,NA,NA,NA,https://housing.com/in/buy/projects/page/334949-kamdhenu-crown-by-kamdhenu-devkrupa-realtors-llp-in-vashi,NA,NA,NA,https://www.squareyards.com/navi-mumbai-residential-property/kamdhenu-crown/312364/project,NA,NA,NA,0,NA,NA
403847,Adore Smart City,Delhi NCR,Delhi NCR,http://adorerealtech.in/residential-plots-faridabad-projects.html,NA,https://www.magicbricks.com/adore-smart-city-sector-97-faridabad-pdpid-4d4235333933323837,0,0,0,https://housing.com/in/buy/projects/page/325738-adore-smart-city-by-adore-realtech-in-tajupur,https://housing.com/in/buy/projects/page/294937-adore-smart-city-2-by-adore-propbuild-llp-in-tajupur,0,0,https://www.squareyards.com/faridabad-residential-property/adore-smart-city/217530/project,0,0,0,0,NA,NA
430191,Adani Lushlands,Delhi NCR,Delhi NCR,https://www.adanirealty.com/residential-projects/gurugram/lushlands,NA,https://www.magicbricks.com/adani-lushlands-gwal-pahari-gurgaon-pdpid-4d4235343232363233,0,0,0,https://housing.com/in/buy/projects/page/329111-adani-lushlands-by-adani-realty-in-gwal-pahari,0,0,0,https://www.squareyards.com/gurgaon-residential-property/adani-lushlands/251901/project,0,0,0,0,NA,NA
318679,Hero Homes,Delhi NCR,Delhi NCR,https://www.herohomes.in/project-gurugram/contact-us.html,NA,https://www.magicbricks.com/hero-homes-sector-104-gurgaon-pdpid-4d4235313139323831,0,0,0,https://housing.com/in/buy/projects/page/95699-hero-homes-gurgaon-by-hero-realty-private-limited-in-sector-104,0,0,0,https://www.squareyards.com/gurgaon-residential-property/hero-homes-gurgaon/10213/project,0,0,0,0,NA,NA
336331,ATS Destinaire,Greater Noida,Noida,https://www.atsgreens.com/projects/ats-destinaire/,NA,https://www.magicbricks.com/ats-destinaire-noida-extension-greater-noida-pdpid-4d4235313235313937,NA,NA,NA,https://housing.com/in/buy/projects/page/225397-ats-destinaire-by-ats-infrastructure-limited-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ats-destinaire/10912/project,NA,NA,NA,NA,NA,NA
270729,ATS Rhapsody,Greater Noida,Noida,https://www.atsgreens.com/projects/ats-rhapsody/,NA,https://www.magicbricks.com/ats-rhapsody-noida-extension-noida-pdpid-4d4235303936373339,NA,NA,NA,https://housing.com/in/buy/projects/page/44136-ats-rhapsody-by-ats-infrastructure-limited-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ats-rhapsody/8676/project,NA,NA,NA,NA,NA,NA
1030,M3M Golfestate,Gurgaon,Gurugram,https://m3mindia.com/m3m-golfestate,NA,https://www.magicbricks.com/m3m-golf-estate-sector-65-gurgaon-pdpid-4d4235303230373936,NA,NA,NA,https://housing.com/in/buy/projects/page/10291-m3m-golf-estate-by-m3m-india-pvt-ltd-in-sector-65,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/m3m-golf-estate/68/project,NA,NA,NA,NA,NA,NA
87,ATS Advantage,Ghaziabad,Delhi NCR,https://www.atsgreens.com/projects/ats-advantage-1/,NA,https://www.magicbricks.com/ats-advantage-phase-2-indirapuram-ghaziabad-pdpid-4d4235303330353332,NA,NA,NA,https://housing.com/in/buy/projects/page/2203-ats-advantage-by-ats-infrastructure-limited-in-indirapuram,NA,NA,NA,https://www.squareyards.com/ghaziabad-residential-property/ats-advantage/3848/project,NA,NA,NA,NA,NA,NA
427056,M3M Altitude,Gurgaon,Gurugram,https://m3mindia.com/residential/m3m-altitude,NA,https://www.magicbricks.com/m3m-altitude-sector-65-gurgaon-pdpid-4d4235343230383733,NA,NA,NA,https://housing.com/in/buy/projects/page/321022-m3m-altitude-by-m3m-india-pvt-ltd-in-sector-65,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/m3m-altitude/247647/project,NA,NA,NA,NA,NA,NA
25860,ATS Triumph,Gurgaon,Gurugram,https://www.atsgreens.com/projects/ats-triumph/,NA,https://www.magicbricks.com/ats-triumph-sector-104-gurgaon-pdpid-4d4235303239393035,NA,NA,NA,https://housing.com/in/buy/projects/page/83-ats-triumph-by-ats-infrastructure-limited-in-sector-104,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/ats-triumph/234/project,NA,NA,NA,NA,NA,NA
269397,ATS Picturesque Reprieves,Noida,Noida,https://www.atsgreens.com/projects/ats-picturesque-reprieves-phase-1/,NA,https://www.magicbricks.com/ats-picturesque-reprieves-sector-152-noida-pdpid-4d4235303935323731,NA,NA,NA,https://housing.com/in/buy/projects/page/45639-ats-picturesque-reprieves-phase-1-by-ats-infrastructure-limited-in-sector-152,https://housing.com/in/buy/projects/page/227243-ats-picturesque-reprieves-phase-2-by-ats-infrastructure-limited-in-sector-152,NA,NA,https://www.squareyards.com/noida-residential-property/ats-picturesque-reprieves/8650/project,https://www.squareyards.com/noida-residential-property/ats-picturesque-reprieves-phase-2/100012/project,NA,NA,NA,NA,NA
