XID,Phase,Data Point,Housing,MagicBricks,SquareYards
87,1,Name,,ATS Advantage Phase 2,ATS Advantage
87,1,Location,,"Indirapuram, Ghaziabad","Ahinsa Khand 1, Ghaziabad"
87,1,Builder Name,,ATS Infrastructure Ltd.,ATS
87,1,Price Range,,"₹ 2.20 Cr
₹1.91 lakh EMI",Rs1.47 Cr - 4.09 Cr
87,1,Price per Sq.Ft,,,
87,1,BHK,,,"2, 3, 4 BHK"
87,1,Property Type,,,
87,1,Project Status,,Ready To Move,Ready to Move
87,1,Launch Date,,1-Apr-12,Ask for Details
87,1,Possession Date,,1-Sep-14,Ask for Details
87,1,Total Units,,720.0,1554 units
87,1,Project Size (Acres),,23 Acre,24 Acres
87,1,Amenities Count,,25.0,
87,1,USP,,,
87,1,Builder Experience,,27+ years,20 Years Experience
87,1,Total Towers,,12,
87,1,Rera Number,,,UPRERAAGT10119
87,1,Specifications,,,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure
87,1,Amenities,,"Club House, Cycling & Jogging Track, Power Back Up, Swimming Pool, Lift, Security, Park, Reserved Parking, Visitor Parking, Intercom Facility, Gymnasium, Kids Club, Flower Gardens, Library And Business Centre, Rain Water Harvesting, Recreational Pool, Rentable Community Space, Retail Boulevard (Retail Shops), Water Storage, Air Conditioned, Arts & Craft Studio, Meditation Area, Vaastu Compliant, Waste Disposal, Fire Fighting Equipment",
153,1,Name,,KLJ Greens,KLJ Greens
153,1,Location,,"Sector 77, Faridabad","Sector 77, Faridabad"
153,1,Builder Name,,KLJ Developers Pvt. Ltd.,KLJ
153,1,Price Range,,1.28 Cr,Rs38.37 Lac - 64.23 Lac
153,1,Price per Sq.Ft,,Rs 2866,
153,1,BHK,,"2,3,4 BHK Flats","2, 3, 4 BHK"
153,1,Property Type,,Flat,
153,1,Project Status,,Ready To Move,Ready to Move
153,1,Launch Date,,1-Feb-06,Ask for Details
153,1,Possession Date,,1-Aug-16,Ask for Details
153,1,Total Units,,1064.0,1064 units
153,1,Project Size (Acres),,51 Acre,51 Acres
153,1,Amenities Count,,20.0,
153,1,USP,,"Connectivity:
Escorts Mujesar 7 km | 30 min | Infrastructure:
Main Bypass roa... 5 km | 20 min | DPS Greater Far... 7 km | 30 min | Sarvodaya Hospi... 7 km | 30 minView More | Neighborhood:
Sector 76 2 km | 15 min | Sector 73 2 km | 15 min | Sector 78 3 km | 15 min | USP:
Sector-77 is a host of infrastructural developments and transportation services that connect several other localities. The residential projects are strategically located so that traveling and accessing commercial zones is hassle-free.","Gated community with easy access to Faridabad Bypass Road.,Strategically located near Tigaon Road and BPTP Bridge Road.,Luxurious apartments with sleek design and beautiful vistas.,High-tech gymnasium and reliable power backup.,Vitrified tiles flooring and Oil Bound Distemper paints used."
153,1,Builder Experience,,56+ years,
153,1,Total Towers,,20,
153,1,Rera Number,,,660/2017/307
