XID,Data Point,Housing,MagicBricks,SquareYards
87,Name,,ATS Advantage Phase 2,ATS Advantage
87,Location,,"Indirapuram, Ghaziabad","Ahinsa Khand 1, Ghaziabad"
87,Builder Name,,ATS Infrastructure Ltd.,ATS
87,Price Range,,"₹ 2.20 Cr
₹1.91 lakh EMI",Rs1.47 Cr - 4.09 Cr
87,Price per Sq.Ft,,,
87,BHK,,,"2, 3, 4 BHK"
87,Property Type,,,
87,Project Status,,Ready To Move,Ready to Move
87,Launch Date,,1-Apr-12,Ask for Details
87,Possession Date,,1-Sep-14,Ask for Details
87,Total Units,,720.0,1554 units
87,Project Size (Acres),,23 Acre,24 Acres
87,Amenities Count,,25,
87,USP,,,
87,Builder Experience,,27+ years,20 Years Experience
87,Total Towers,,12,
87,Rera Number,,,UPRERAAGT10119
153,Name,,KLJ Greens,KLJ Greens
153,Location,,"Sector 77, Faridabad","Sector 77, Faridabad"
153,Builder Name,,KLJ Developers Pvt. Ltd.,KLJ
153,Price Range,,1.28 Cr,Rs38.37 Lac - 64.23 Lac
153,Price per Sq.Ft,,Rs 2866,
153,BHK,,"2,3,4 BHK Flats","2, 3, 4 BHK"
153,Property Type,,Flat,
153,Project Status,,Ready To Move,Ready to Move
153,Launch Date,,1-Feb-06,Ask for Details
153,Possession Date,,1-Aug-16,Ask for Details
153,Total Units,,1064.0,1064 units
153,Project Size (Acres),,51 Acre,51 Acres
153,Amenities Count,,20,
153,USP,,"Connectivity:
Escorts Mujesar 7 km | 30 min | Infrastructure:
Main Bypass roa... 5 km | 20 min | DPS Greater Far... 7 km | 30 min | Sarvodaya Hospi... 7 km | 30 minView More | Neighborhood:
Sector 76 2 km | 15 min | Sector 73 2 km | 15 min | Sector 78 3 km | 15 min | USP:
Sector-77 is a host of infrastructural developments and transportation services that connect several other localities. The residential projects are strategically located so that traveling and accessing commercial zones is hassle-free.","Gated community with easy access to Faridabad Bypass Road.,Strategically located near Tigaon Road and BPTP Bridge Road.,Luxurious apartments with sleek design and beautiful vistas.,High-tech gymnasium and reliable power backup.,Vitrified tiles flooring and Oil Bound Distemper paints used."
153,Builder Experience,,56+ years,
153,Total Towers,,20,
153,Rera Number,,,660/2017/307
153,Name,,KLJ Greens,KLJ Greens
153,Location,,"Sector 77, Faridabad","Sector 77, Faridabad"
153,Builder Name,,KLJ Developers Pvt. Ltd.,KLJ
153,Price Range,,1.28 Cr,Rs38.37 Lac - 64.23 Lac
153,Price per Sq.Ft,,Rs 2866,
153,BHK,,"2,3,4 BHK Flats","2, 3, 4 BHK"
153,Property Type,,Flat,
153,Project Status,,Ready To Move,Ready to Move
153,Launch Date,,1-Feb-06,Ask for Details
153,Possession Date,,1-Aug-16,Ask for Details
153,Total Units,,1064.0,1064 units
153,Project Size (Acres),,51 Acre,51 Acres
153,Amenities Count,,20,
