XID,URL,Project Name,Phase,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
213249,https://www.squareyards.com/gurgaon-residential-property/godrej-101/5792/project,Godrej 101,Square Yards  Phase 1,"Sector 79, Gurgaon",Rs2.19 Cr - 3.70 Cr,"Rs15,649 Per Sq. Ft",Partially Ready To Move,"2, 3 BHK",1383 Sq. Ft to 2366 Sq. Ft (Saleable),Godrej,890 units,13 Acres,Ask for Details,Ask for Details,Sector 79,New Gurgaon,,https://www.squareyards.com/godrej-projects/49/builder,29 Years Experience,61,150,660/2017/307,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Putting; Rappelling/Rock Climbing; Gazebo,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Dance Room; Reading Room/Library; Sauna; Party Hall; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi
1239,https://www.squareyards.com/faridabad-residential-property/bptp-parkland-pride/452/project,BPTP Parkland Pride,Square Yards  Phase 1,"Sector 77, Faridabad",Rs65.00 Lac - 1.06 Cr,N/A,Ready to Move,"3, 4 BHK",1103 Sq. Ft to 1803 Sq. Ft (Saleable),BPTP,660 units,102.86 Acres,Ask for Details,Ask for Details,Sector 77,Neharpar Phase 2,"Affordable homes at strategic Sector 77 location.,Convenient connectivity to Faridabad Bypass Road, Tigaon Road.,RsERA-certified project - HRERA-PKL-FBD-272-2021,Stay fit with 24x7 Power Backup facility.,Luxurious living with high-quality Plastic Emulsion paint and Laminated Wooden flooring.",https://www.squareyards.com/bptp-projects/24/builder,16 Years Experience,4,64,660/2017/307,Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Reading Room/Library; Party Hall; Clubhouse; Indoor Games
1239,https://www.squareyards.com/faridabad-residential-property/bptp-parkland-pride-phase-2/113321/project,BPTP Parkland Pride Phase 2,Square Yards  Phase 2,"Sector 77, Faridabad",Rs65.00 Lac,N/A,Under Construction,3 BHK,1103 Sq. Ft to 2133 Sq. Ft (Saleable),BPTP,152 units,19.96 Acres,Ask for Details,Ask for Details,Sector 77,Neharpar Phase 2,"Strategically located in Sector 77, Faridabad, for easy connectivity.,Fully-fledged infrastructure along Faridabad Bypass Road and Tigaon Road.,RERA certified project HRERA-PKL-FBD-272-2021 for secure investment.,Top-notch amenities for a luxurious and comfortable lifestyle.,Luxurious apartments with modern specifications and impressive views.",https://www.squareyards.com/bptp-projects/24/builder,16 Years Experience,4,64,660/2017/307,Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Indoor Games
428412,https://www.squareyards.com/gurgaon-residential-property/signature-global-titanium-spr/249570/project,Signature Global Titanium SPR,Square Yards  Phase 1,"Sector 71, Gurgaon",Rs4.73 Cr - 6.43 Cr,"Rs17,000 Per Sq. Ft",New Launch,"3, 4 BHK",2780 Sq. Ft to 3780 Sq. Ft (Saleable),Signature Global,608 units,22.5 Acres,Ask for Details,Ask for Details,Sector 71,Southern Peripheral Road,"Versatile Connectivity and Accessibility,Sky High Luxury & Expansive Township,Natural Harmony & Sunshine in Each Balcony,Rising Demands & Property Prices,Located in Sector 71, Gurgaon, with smooth connectivity to NH-8, CPR, SPR, and Golf Course Extension Road,Forms part of a sprawling 125-acre development, with the first phase consisting of 14.382 acres,Comprises 40-story tall towers offering breathtaking city views,Provides 3.5 BHK (about 2,780 sq. ft.) and 4.5 BHK (about 3,780 sq. ft.) units with large decks,Imported marble flooring, anti-skid vitrified tiles, VRV/VRF air conditioning systems, and smart home technology for lights, curtains, and security",https://www.squareyards.com/signature-global-projects/3175/builder,19 Years Experience,10,43,660/2017/307,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Italian/Imported Marble; Fittings & Fixtures: VRV AC Fittings; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator, Microwave; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Heated Swimming Pool,Power Backup; AC Waiting Lobby; Treated Water Supply; Medical Facility; Pet Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Service Elevators; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smoke/Heat Sensors; Intercom Facility; Video Phone; Emergency Rescue / Alarms; Entertainment Zone,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Mini Theatre; Reading Room/Library; Party Hall; Cards Room; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Food Court; Senior Citizen Area
405181,https://www.squareyards.com/gurgaon-residential-property/m3m-golf-hills/220071/project,M3M Golf Hills,Square Yards  Phase 1,"Sector 79, Gurgaon",Rs3.67 Cr - 4.36 Cr,"Rs16,250 Per Sq. Ft",Under Construction,"3, 4 BHK",2260 Sq. Ft to 2685 Sq. Ft (Saleable),M3M,1899 units,53.38 Acres,Ask for Details,Ask for Details,Sector 79,New Gurgaon,"The Aravalli foothills surround this project,Well-connected with Western Peripheral Expressway,Absolutely accessible from Dwarka Expressway,Only about 6 kilometres away from IGI Airport,Spread over 53.38 acres with plenty of open spaces and expertly planned units,Provides 3 and 4 BHK layouts between 2,260 sq. ft. and 2,685 sq. ft.,Constructed by M3M, which has a good history of delivering quality ventures,Placed amidst multiple shopping facilities and entertainment hubs, for an enriched life quotient,Boasts a 9-hole golf club and a clubhouse, affording residents world-class recreational amenities",https://www.squareyards.com/m3m-projects/67/builder,12 Years Experience,11,43,660/2017/307,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Fittings & Fixtures: VRV AC Fittings; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Course,Power Backup; Restaurant; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Mini Theatre; Party Hall; Amphitheater; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Senior Citizen Area
391580,https://www.squareyards.com/gurgaon-residential-property/dlf-the-grove/130079/project,DLF The Grove,Square Yards  Phase 1,"Sector 54, Gurgaon",Rs7.30 Cr - 14.46 Cr,N/A,Under Construction,"4, 5 BHK",2286 Sq. Ft to 4527 Sq. Ft (Saleable),DLF,292 units,5.3 Acres,Ask for Details,Ask for Details,Sector 54,Golf Course Road,,https://www.squareyards.com/dlf-projects/36/builder,70 Years Experience,9,129,660/2017/307,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Fittings & Fixtures: Double Glazed Windows, VRV AC Fittings; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Indian Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney, Refrigrator, Microwave; Bathroom: Shower Panel, Premium Bath Fittings; Structure: Seismic Zone IV Compliant",Gymnasium; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Home Automation; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone; Emergency Rescue / Alarms,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Indoor Games
15378,https://www.squareyards.com/greater-noida-residential-property/le-solitairian-city/1253/project,Le Solitairian City,Square Yards  Phase 1,"Sector 25 Yamuna Expressway, Greater Noida",Rs46.09 Lac - 3.26 Cr,"Rs7,495 Per Sq. Ft",Partially Ready To Move,"1, 2, 3, 4 BHK",615 Sq. Ft to 4350 Sq. Ft (Saleable),Le Solitairian,2400 units,16.54 Acres,Ask for Details,21-Sep-19,Sector 25 Yamuna Expressway,Yamuna Expressway,"Strategically located near Eastern Peripheral Expressway, Yamuna Expressway.,Approved by UP RERA, project numbers UPRERAPRJ6887, UPRERAPRJ6811.,Power Backup ensures a seamless luxurious lifestyle.,Well-equipped Gymnasium for a healthy and active living.,Modular kitchens and Vitrified Tiles flooring for a luxurious experience.",https://www.squareyards.com/le-solitairian-projects/402/builder,25 Years Experience,2,7,UPRERAAGT10119,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; Pre-School; Guest House; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Sauna; Party Hall; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi
15378,https://www.squareyards.com/noida-residential-property/solitairian-city-villas/20732/project,Solitairian City Villas,Square Yards  Phase 2,"Sector 140A, Noida",Price on Request,N/A,Mid Stage,3 BHK,1740 Sq. Ft (Saleable),Le Solitairian,Ask for Details,Ask for Details,Ask for Details,Ask for Details,Sector 140A,Noida Expressway,"Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft.,Unwind in nature-rich surroundings, Sector 140A.,Elegant villas with scenic views, perfect retreat.,Prime location connects to major highways, convenient.,Ample space for luxury living, from 2400 sq. ft.",https://www.squareyards.com/le-solitairian-projects/402/builder,25 Years Experience,2,7,UPRERAAGT10119,N/A,N/A,N/A,N/A,N/A,N/A
306651,https://www.squareyards.com/gurgaon-residential-property/godrej-meridien/10157/project,Godrej Meridien,Square Yards  Phase 1,"Sector 106, Gurgaon",Rs2.36 Cr - 4.71 Cr,N/A,Partially Ready To Move,"2, 3, 4 BHK",2720 Sq. Ft (Saleable),Godrej,892 units,14.79 Acres,Ask for Details,30-Nov-21,Sector 106,Dwarka Expressway,,https://www.squareyards.com/godrej-projects/49/builder,29 Years Experience,61,150,660/2017/307,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Italian/Imported Marble; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Heated Swimming Pool,Power Backup; Treated Water Supply; Medical Facility; 24*7 Water Supply; ATM's; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Sauna; Party Hall; Cards Room; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi
433863,https://www.squareyards.com/navi-mumbai-residential-property/kamdhenu-crown/312364/project,Kamdhenu Crown,Square Yards  Phase 1,"Sector 19 Sanpada, Navi Mumbai",Rs2.99 Cr - 8.67 Cr,N/A,New Launch,"2, 3, 5 BHK",849 Sq. Ft to 2465 Sq. Ft (Carpet),Kamdhenu,84 units,0.87 Acres,Ask for Details,Ask for Details,Sector 19 Sanpada,Vashi,"Unbeatable connectivity to Palm Beach Marg, just 0.2 km away.,Near Mumbai-Pune National Highway for seamless travel.,Elevate your lifestyle with state-of-the-art power backup facilities.,Stay fit with a well-equipped gymnasium for all residents.,Experience luxurious living with oil-bound distemper master bedrooms.",https://www.squareyards.com/kamdhenu-projects/1157/builder,64 Years Experience,6,14,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track,Power Backup; AC Waiting Lobby; Treated Water Supply; 24*7 Water Supply; Service Elevators; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Normal Park / Central Green,Sauna; Amphitheater; Indoor Games; Spa
