XID number,Project Name,City,Builder website,Project Page (Not CP),Magic Bricks Phase 1,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,Housing Phase 1,Housing Phase 2,Housing Phase 3,Housing Phase 4,Square Yards  Phase 1,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4,Other phase XID on 99acres,,,,72Projects
428412,Signature Global Titanium SPR,Gurugram,https://www.signatureglobal.in/titanium-spr/,NA,https://www.magicbricks.com/signatureglobal-titanium-spr-sector-71-gurgaon-pdpid-4d4235343231353933,NA,NA,NA,https://housing.com/in/buy/projects/page/321322-signature-global-titanium-spr-by-signature-global-builders-pvt-ltd-in-sector-71,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/signature-global-titanium-spr/249570/project,NA,NA,NA,0,,,,428412
405181,M3M Golf Hills,Gurugram,https://m3mindia.com/residential/m3m-golf-hills,NA,https://www.magicbricks.com/m3m-golf-hills-phase-1-sector-79-gurgaon-pdpid-4d4235343030303737,NA,NA,NA,https://housing.com/in/buy/projects/page/296234-m3m-golf-hills-by-m3m-india-pvt-ltd-in-sector-79,https://housing.com/in/buy/projects/page/323628-m3m-golf-hills-phase-2-by-m3m-india-pvt-ltd-in-sector-79,NA,NA,https://www.squareyards.com/gurgaon-residential-property/m3m-golf-hills/220071/project,NA,NA,NA,0,,,,405181
391580,DLF The Grove,Gurugram,https://thegrove.dlf.in/,NA,https://www.magicbricks.com/dlf-the-grove-sector-54-gurgaon-pdpid-4d4235333336343433,NA,NA,NA,https://housing.com/in/buy/projects/page/275695-dlf-the-grove-by-dlf-real-estate-builders-limited-in-dlf-phase-5,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/dlf-the-grove/130079/project,NA,NA,NA,0,,,,391580
430191,Adani Lushlands,Gurugram,https://www.adanirealty.com/residential-projects/gurugram/lushlands,NA,https://www.magicbricks.com/adani-lushlands-gwal-pahari-gurgaon-pdpid-4d4235343232363233,0,0,0,https://housing.com/in/buy/projects/page/329111-adani-lushlands-by-adani-realty-in-gwal-pahari,0,0,0,https://www.squareyards.com/gurgaon-residential-property/adani-lushlands/251901/project,0,0,0,0,,,,430191
318679,Hero Homes,Gurugram,https://www.herohomes.in/project-gurugram/contact-us.html,NA,https://www.magicbricks.com/hero-homes-sector-104-gurgaon-pdpid-4d4235313139323831,0,0,0,https://housing.com/in/buy/projects/page/95699-hero-homes-gurgaon-by-hero-realty-private-limited-in-sector-104,0,0,0,https://www.squareyards.com/gurgaon-residential-property/hero-homes-gurgaon/10213/project,0,0,0,0,,,,318679
336331,ATS Destinaire,Noida,https://www.atsgreens.com/projects/ats-destinaire/,NA,https://www.magicbricks.com/ats-destinaire-noida-extension-greater-noida-pdpid-4d4235313235313937,NA,NA,NA,https://housing.com/in/buy/projects/page/225397-ats-destinaire-by-ats-infrastructure-limited-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ats-destinaire/10912/project,NA,NA,NA,,,,,336331
270729,ATS Rhapsody,Noida,https://www.atsgreens.com/projects/ats-rhapsody/,NA,https://www.magicbricks.com/ats-rhapsody-noida-extension-noida-pdpid-4d4235303936373339,NA,NA,NA,https://housing.com/in/buy/projects/page/44136-ats-rhapsody-by-ats-infrastructure-limited-in-noida-extension,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/ats-rhapsody/8676/project,NA,NA,NA,,,,,270729
427056,M3M Altitude,Gurugram,https://m3mindia.com/residential/m3m-altitude,NA,https://www.magicbricks.com/m3m-altitude-sector-65-gurgaon-pdpid-4d4235343230383733,NA,NA,NA,https://housing.com/in/buy/projects/page/321022-m3m-altitude-by-m3m-india-pvt-ltd-in-sector-65,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/m3m-altitude/247647/project,NA,NA,NA,,,,,427056
25860,ATS Triumph,Gurugram,https://www.atsgreens.com/projects/ats-triumph/,NA,https://www.magicbricks.com/ats-triumph-sector-104-gurgaon-pdpid-4d4235303239393035,NA,NA,NA,https://housing.com/in/buy/projects/page/83-ats-triumph-by-ats-infrastructure-limited-in-sector-104,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/ats-triumph/234/project,NA,NA,NA,,,,,25860
379918,Nimbus Express Park View 2 Low Rise,Noida,https://nimbusgroup.net/express-park-view-ii-low-rise-apartments/,NA,https://www.magicbricks.com/nimbus-express-park-view-ii-low-rise-chi-5-greater-noida-pdpid-4d4235333332343933,NA,NA,NA,https://housing.com/in/buy/projects/page/257380-nimbus-the-express-park-view-ii-low-rise-apartments-by-nimbus-realty-in-chi-v-greater-noida,NA,NA,NA,https://www.squareyards.com/greater-noida-residential-property/nimbus-express-park-view-ii/1187/project,NA,NA,NA,,,,,379918
