XID,Floor Plan
341813,"3 BHK 1656 Sq. Ft. Apartment, Saleable, 1656 Sq., Carpet, 1010 Sq. Ft., Rs 2.82 Cr | 4 BHK 2511 Sq. Ft. Apartment, Saleable, 2511 Sq., Carpet, 1534 Sq. Ft., Rs 4.27 Cr"
426589,"4 BHK 3577 Sq. Ft. Apartment, Saleable, 3577 Sq., Saleable, 3577 Sq. Ft., Rs 7.50 Cr"
421711,"450 BHK Ft. Retail Shop, Saleable, Ft. Retail, Saleable, 450 Sq. Ft., Rs 1.44 Cr | 1000 BHK Ft. Retail Shop, Saleable, Ft. Retail, Saleable, 1000 Sq. Ft., Rs 3.20 Cr | 865 BHK Ft. Studio, Saleable, Ft. Studio, Saleable, 865 Sq. Ft., Rs 1.47 Cr"
422937,"2 BHK 1740 Sq. Ft. Apartment, Saleable, 1740 Sq., Carpet, 957 Sq. Ft., Rs 3.65 Cr | 2 BHK 1964 Sq. Ft. Apartment, Saleable, 1964 Sq., Carpet, 1080 Sq. Ft., Rs 4.12 Cr | 3 BHK 2260 Sq. Ft. Apartment, Saleable, 2260 Sq., Carpet, 1243 Sq. Ft., Rs 4.75 Cr | 3 BHK 2700 Sq. Ft. Apartment, Saleable, 2700 Sq., Carpet, 1485 Sq. Ft., Rs 5.67 Cr | 4 BHK 5453 Sq. Ft. Penthouse, Saleable, 5453 Sq., Carpet, 2890 Sq. Ft., Rs 11.45 Cr | 4 BHK 5867 Sq. Ft. Penthouse, Saleable, 5867 Sq., Carpet, 3110 Sq. Ft., Rs 12.32 Cr"
373829,"3150 BHK Ft. Plot, Saleable, Ft. Plot, Saleable, 3150 Sq. Ft., Rs 2.83 Cr | 6750 BHK Ft. Plot, Saleable, Ft. Plot, Saleable, 6750 Sq. Ft., Rs 6.08 Cr"
394131,"2 BHK 1229 Sq. Ft. Apartment, Saleable, 1229 Sq., Saleable, 1229 Sq. Ft., Rs 1.10 Cr | 2 BHK 1342 Sq. Ft. Apartment, Saleable, 1342 Sq., Saleable, 1342 Sq. Ft., Rs 1.20 Cr | 2 BHK 1276 Sq. Ft. Apartment, Saleable, 1276 Sq., Saleable, 1276 Sq. Ft., Rs 1.14 Cr | 3 BHK 1661 Sq. Ft. Apartment, Saleable, 1661 Sq., Saleable, 1661 Sq. Ft., Rs 1.48 Cr | 3 BHK 1400 Sq. Ft. Apartment, Saleable, 1400 Sq., Saleable, 1400 Sq. Ft., Rs 1.25 Cr | 3 BHK 1565 Sq. Ft. Apartment, Saleable, 1565 Sq., Saleable, 1565 Sq. Ft., Rs 1.39 Cr | 3 BHK 1872 Sq. Ft. Apartment, Saleable, 1872 Sq., Saleable, 1872 Sq. Ft., Rs 1.67 Cr"
328277,"2 BHK 995 Sq. Ft. Apartment, Saleable, 995 Sq., Saleable, 995 Sq. Ft., Rs 1.06 Cr | 3 BHK 1225 Sq. Ft. Apartment, Saleable, 1225 Sq., Saleable, 1225 Sq. Ft., Rs 1.31 Cr | 3 BHK 1897 Sq. Ft. Apartment, Saleable, 1897 Sq., Saleable, 1897 Sq. Ft., Rs 2.03 Cr"
255783,"2 BHK 1050 Sq. Ft. Apartment, Saleable, 1050 Sq., Saleable, 1050 Sq. Ft., Rs 82.75 Lac | 2 BHK 1090 Sq. Ft. Apartment, Saleable, 1090 Sq., Saleable, 1090 Sq. Ft., Rs 85.79 Lac | 3 BHK 1500 Sq. Ft. Apartment, Saleable, 1500 Sq., Saleable, 1500 Sq. Ft., Rs 1.17 Cr"
425712,"3 BHK 1603 Sq. Ft. Apartment, Saleable, 1603 Sq., Carpet, 933 Sq. Ft., Rs 1.60 Cr | 3 BHK 2107 Sq. Ft. Apartment, Saleable, 2107 Sq., Carpet, 1213 Sq. Ft., Rs 2.11 Cr | 4 BHK 2386 Sq. Ft. Apartment, Saleable, 2386 Sq., Carpet, 1781 Sq. Ft., Rs 2.39 Cr"
428688,"3 BHK 3805 Sq. Ft. Apartment, Saleable, 3805 Sq., Carpet, 1695 Sq. Ft., Rs 5.95 Cr | 4 BHK 5581 Sq. Ft. Apartment, Saleable, 5581 Sq., Carpet, 2195 Sq. Ft., Rs 8.95 Cr"
