XID,Floor Plan
2584,"['3 BHK Apartment- Carpet Area-2500 SQ.FT - ₹ 3.0 Cr ', '3 BHK Apartment- Carpet Area-3020 SQ.FT - ₹ 3.62 Cr ', '3 BHK Apartment- Carpet Area-3070 SQ.FT - ₹ 3.68 Cr ', '3 BHK Apartment- Carpet Area-3475 SQ.FT - ₹ 4.17 Cr ', '3 BHK Apartment- Carpet Area-2500 SQ.FT - ₹ 3.0 Cr ', '3 BHK Apartment- Carpet Area-3020 SQ.FT - ₹ 3.62 Cr ', '3 BHK Apartment- Carpet Area-3070 SQ.FT - ₹ 3.68 Cr ', '3 BHK Apartment- Carpet Area-3475 SQ.FT - ₹ 4.17 Cr ']"
341813,"['3 BHK Apartment- Super Builtup Area-1656 SQ.FT - ₹ 2.65 Cr ', '3 BHK Apartment- Super Builtup Area-2124 SQ.FT - ₹ 3.4 Cr ', '3 BHK Apartment- Super Builtup Area-1656 SQ.FT - ₹ 2.65 Cr ', '3 BHK Apartment- Super Builtup Area-2124 SQ.FT - ₹ 3.4 Cr ']"
426589,"['4 BHK Apartment- Super Builtup Area-3500 SQ.FT - ₹ 7.08 Cr ', '4 BHK Apartment- Super Builtup Area-3577 SQ.FT - ₹ 7.24 Cr ', '4 BHK Apartment- Super Builtup Area-5472 SQ.FT - ₹ 11.08 Cr ', '4 BHK Apartment- Super Builtup Area-5500 SQ.FT - ₹ 11.13 Cr ', '4 BHK Apartment- Super Builtup Area-3500 SQ.FT - ₹ 7.08 Cr ', '4 BHK Apartment- Super Builtup Area-3577 SQ.FT - ₹ 7.24 Cr ', '4 BHK Apartment- Super Builtup Area-5472 SQ.FT - ₹ 11.08 Cr ', '4 BHK Apartment- Super Builtup Area-5500 SQ.FT - ₹ 11.13 Cr ']"
428688,"['3 BHK Apartment- Builtup Area-2271 SQ.FT - ₹ 5.95 Cr ', '3 BHK Apartment- Builtup Area-3805 SQ.FT - Price on Request ', '3 BHK Apartment- Builtup Area-2271 SQ.FT - ₹ 5.95 Cr ', '3 BHK Apartment- Builtup Area-3805 SQ.FT - Price on Request ']"
269936,"['3 BHK Apartment- Super Builtup Area-1590 SQ.FT - ₹ 2.12 Cr ', '3 BHK Apartment- Super Builtup Area-1789 SQ.FT - ₹ 2.38 Cr ', '3 BHK Apartment- Super Builtup Area-2134 SQ.FT - ₹ 2.84 Cr ', '3 BHK Apartment- Super Builtup Area-1590 SQ.FT - ₹ 2.12 Cr ', '3 BHK Apartment- Super Builtup Area-1789 SQ.FT - ₹ 2.38 Cr ', '3 BHK Apartment- Super Builtup Area-2134 SQ.FT - ₹ 2.84 Cr ']"
397844,"['3 BHK Apartment- Super Builtup Area-2500 SQ.FT - ₹ 3.73 Cr ', '3 BHK Apartment- Super Builtup Area-2575 SQ.FT - ₹ 3.84 Cr ', '3 BHK Apartment- Super Builtup Area-2500 SQ.FT - ₹ 3.73 Cr ', '3 BHK Apartment- Super Builtup Area-2575 SQ.FT - ₹ 3.84 Cr ']"
421711,"['Studio Apartment- Super Builtup Area-865 SQ.FT - ₹ 1.92 Cr ', 'Studio Apartment- Super Builtup Area-890 SQ.FT - ₹ 1.98 Cr ', 'Studio Apartment- Super Builtup Area-980 SQ.FT - ₹ 2.18 Cr ', 'Studio Apartment- Super Builtup Area-1205 SQ.FT - ₹ 2.68 Cr ', 'Studio Apartment- Super Builtup Area-865 SQ.FT - ₹ 1.92 Cr ', 'Studio Apartment- Super Builtup Area-890 SQ.FT - ₹ 1.98 Cr ', 'Studio Apartment- Super Builtup Area-980 SQ.FT - ₹ 2.18 Cr ', 'Studio Apartment- Super Builtup Area-1205 SQ.FT - ₹ 2.68 Cr ']"
422937,"['2 BHK Apartment- Builtup Area-1740 SQ.FT - ₹ 3.83 Cr ', '2 BHK Apartment- Builtup Area-1750 SQ.FT - ₹ 3.85 Cr ', '2 BHK Apartment- Builtup Area-1925 SQ.FT - ₹ 4.24 Cr ', '2 BHK Apartment- Builtup Area-1964 SQ.FT - ₹ 4.32 Cr ', '2 BHK Apartment- Builtup Area-1740 SQ.FT - ₹ 3.83 Cr ', '2 BHK Apartment- Builtup Area-1750 SQ.FT - ₹ 3.85 Cr ', '2 BHK Apartment- Builtup Area-1925 SQ.FT - ₹ 4.24 Cr ', '2 BHK Apartment- Builtup Area-1964 SQ.FT - ₹ 4.32 Cr ']"
401978,"['2 BHK Apartment- Builtup Area-970 SQ.FT - ₹ 37.5 L\ni ', '2 BHK Apartment- Builtup Area-970 SQ.FT - ₹ 37.5 L\ni ']"
6136,"['3 BHK Apartment- Super Builtup Area-1846 SQ.FT - ₹ 2.25 Cr\ni ', '3 BHK Apartment- Super Builtup Area-1848 SQ.FT - ₹ 2.25 Cr\ni ', '3 BHK Apartment- Super Builtup Area-1862 SQ.FT - ₹ 2.27 Cr\ni ', '3 BHK Apartment- Super Builtup Area-1867 SQ.FT - ₹ 2.28 Cr\ni ', '3 BHK Apartment- Super Builtup Area-1896 SQ.FT - ₹ 2.31 Cr\ni ', '3 BHK Apartment- Super Builtup Area-1846 SQ.FT - ₹ 2.25 Cr\ni ', '3 BHK Apartment- Super Builtup Area-1848 SQ.FT - ₹ 2.25 Cr\ni ', '3 BHK Apartment- Super Builtup Area-1862 SQ.FT - ₹ 2.27 Cr\ni ', '3 BHK Apartment- Super Builtup Area-1867 SQ.FT - ₹ 2.28 Cr\ni ', '3 BHK Apartment- Super Builtup Area-1896 SQ.FT - ₹ 2.31 Cr\ni ']"
