XID,Floor Plan
393708,"['4 BHK Apartment- Carpet Area-2033 SQ.FT - ₹ 4.07 Cr ', '4 BHK Apartment- Carpet Area-2473 SQ.FT - ₹ 4.95 Cr ', '4 BHK Apartment- Carpet Area-2657 SQ.FT - ₹ 5.31 Cr ', '4 BHK Apartment- Carpet Area-2034 SQ.FT - ₹ 7.36 Cr ', '4 BHK Apartment- Carpet Area-2476 SQ.FT - ₹ 8.72 Cr ', '4 BHK Apartment- Carpet Area-2033 SQ.FT - ₹ 4.07 Cr ', '4 BHK Apartment- Carpet Area-2473 SQ.FT - ₹ 4.95 Cr ', '4 BHK Apartment- Carpet Area-2657 SQ.FT - ₹ 5.31 Cr ', '4 BHK Apartment- Carpet Area-2034 SQ.FT - ₹ 7.36 Cr ', '4 BHK Apartment- Carpet Area-2476 SQ.FT - ₹ 8.72 Cr ', '5 BHK Apartment- Carpet Area-3199 SQ.FT - ₹ 6.4 Cr ', '5 BHK Apartment- Carpet Area-3197 SQ.FT - ₹ 12.02 Cr ', '5 BHK Apartment- Carpet Area-3199 SQ.FT - ₹ 6.4 Cr ', '5 BHK Apartment- Carpet Area-3197 SQ.FT - ₹ 12.02 Cr ']"
399106,"['3 BHK Apartment- Builtup Area-1760 SQ.FT - ₹ 2.09 Cr ', '3 BHK Apartment- Builtup Area-1795 SQ.FT - Price on Request ', '3 BHK Apartment- Builtup Area-1760 SQ.FT - ₹ 2.09 Cr ', '3 BHK Apartment- Builtup Area-1795 SQ.FT - Price on Request ']"
269167,"['4 BHK Villa- Super Builtup Area-900 SQ.FT - ₹ 1.31 Cr ', '4 BHK Villa- Super Builtup Area-1125 SQ.FT - ₹ 1.64 Cr ', '4 BHK Villa- Super Builtup Area-1350 SQ.FT - ₹ 1.97 Cr ', '4 BHK Villa- Super Builtup Area-1620 SQ.FT - ₹ 2.37 Cr ', '4 BHK Villa- Super Builtup Area-1980 SQ.FT - ₹ 2.89 Cr ', '4 BHK Villa- Super Builtup Area-900 SQ.FT - ₹ 1.31 Cr ', '4 BHK Villa- Super Builtup Area-1125 SQ.FT - ₹ 1.64 Cr ', '4 BHK Villa- Super Builtup Area-1350 SQ.FT - ₹ 1.97 Cr ', '4 BHK Villa- Super Builtup Area-1620 SQ.FT - ₹ 2.37 Cr ', '4 BHK Villa- Super Builtup Area-1980 SQ.FT - ₹ 2.89 Cr ']"
123483,"['2 BHK Apartment- Super Builtup Area-995 SQ.FT - ₹ 1.0 Cr ', '2 BHK Apartment- Super Builtup Area-1050 SQ.FT - ₹ 1.06 Cr ', '2 BHK Apartment- Super Builtup Area-1420 SQ.FT - ₹ 1.43 Cr ', '2 BHK Apartment- Super Builtup Area-995 SQ.FT - ₹ 1.0 Cr ', '2 BHK Apartment- Super Builtup Area-1050 SQ.FT - ₹ 1.06 Cr ', '2 BHK Apartment- Super Builtup Area-1420 SQ.FT - ₹ 1.43 Cr ']"
428412,"['3.5 BHK Apartment- Super Builtup Area-2780 SQ.FT - ₹ 4.73 Cr ', '3.5 BHK Apartment- Super Builtup Area-2780 SQ.FT - ₹ 4.73 Cr ']"
405181,"['2 BHK Apartment- Super Builtup Area-1420 SQ.FT - ₹ 2.08 Cr ', '2 BHK Apartment- Super Builtup Area-1420 SQ.FT - ₹ 2.08 Cr ']"
391580,"['3 BHK Apartment- Carpet Area-1660 SQ.FT - ₹ 5.32 Cr ', '3 BHK Apartment- Carpet Area-1660 SQ.FT - ₹ 5.32 Cr ']"
430191,"['4 BHK Apartment- Carpet Area-2660 SQ.FT - ₹ 6.2 Cr ', '4 BHK Apartment- Carpet Area-3292 SQ.FT - ₹ 7.68 Cr ', '4 BHK Apartment- Carpet Area-3315 SQ.FT - ₹ 7.73 Cr ', '4 BHK Apartment- Carpet Area-4080 SQ.FT - ₹ 9.51 Cr ', '4 BHK Apartment- Carpet Area-2660 SQ.FT - ₹ 6.2 Cr ', '4 BHK Apartment- Carpet Area-3292 SQ.FT - ₹ 7.68 Cr ', '4 BHK Apartment- Carpet Area-3315 SQ.FT - ₹ 7.73 Cr ', '4 BHK Apartment- Carpet Area-4080 SQ.FT - ₹ 9.51 Cr ']"
318679,"['2 BHK Apartment- Saleable Area-1099 SQ.FT - ₹ 1.5 Cr\ni ', '2 BHK Apartment- Saleable Area-1099 SQ.FT - ₹ 1.5 Cr\ni ']"
336331,"['3 BHK Apartment- Carpet Area-1900 SQ.FT - ₹ 2.09 Cr ', '3 BHK Apartment- Carpet Area-1900 SQ.FT - ₹ 2.09 Cr ']"
270729,"['3.5 BHK Apartment- Builtup Area-1800 SQ.FT - ₹ 2.07 Cr ', '3.5 BHK Apartment- Builtup Area-1800 SQ.FT - ₹ 2.07 Cr ']"
427056,"['4 BHK Apartment- Builtup Area-3712 SQ.FT - Price on Request ', '4 BHK Apartment- Builtup Area-3755 SQ.FT - ₹ 8.92 Cr ', '4 BHK Apartment- Builtup Area-3800 SQ.FT - Price on Request ', '4 BHK Apartment- Builtup Area-4200 SQ.FT - Price on Request ', '4 BHK Apartment- Builtup Area-4270 SQ.FT - ₹ 10.14 Cr ', '4 BHK Apartment- Builtup Area-3712 SQ.FT - Price on Request ', '4 BHK Apartment- Builtup Area-3755 SQ.FT - ₹ 8.92 Cr ', '4 BHK Apartment- Builtup Area-3800 SQ.FT - Price on Request ', '4 BHK Apartment- Builtup Area-4200 SQ.FT - Price on Request ', '4 BHK Apartment- Builtup Area-4270 SQ.FT - ₹ 10.14 Cr ']"
