XID,Floor Plan
2584,"3 BHK, Super Area, 2497 sq.ft, 2.87 Cr"
341813,"3 BHK, Super Area, 1656 sq.ft, 2.70 Cr | 3 BHK, Super Area, 1683 sq.ft, 2.80 Cr"
426589,"4 BHK, Super Area, 3500 sq.ft, 7.47 Cr | 4 BHK, Super Area, 3577 sq.ft, 8 Cr"
428688,"3 BHK, Super Area, 3805 sq.ft, 5.48 Cr | 4 BHK, Super Area, 5018 sq.ft, 7.22 Cr"
269936,"3 BHK, Super Area, 1590 sq.ft, 2.26 Cr | 3 BHK, Super Area, 1789 sq.ft, 2.55 Cr"
397844,"3 BHK, Super Area, 2500 sq.ft, 3.72 Cr"
421711,"Service apartment, Super Area, 865 sq.ft, 1.22 Cr | Service apartment, Super Area, 980 sq.ft, 1.38 Cr"
422937,"Penthouse, Super Area, 5453 sq.ft, 12.50 Cr | Penthouse, Super Area, 5867 sq.ft, 13.30 Cr"
401978,"3 BHK, Super Area, 1375 sq.ft, 39 Lac | 3 BHK, Super Area, 1400 sq.ft, 41.4 Lac"
6136,No Floor Plans Available
373829,"Residential plot, Super Area, 1350 sq.ft, 1.21 Cr | Residential plot, Super Area, 1359 sq.ft, 1.22 Cr"
394131,No Floor Plans Available
328277,"3 BHK, Super Area, 1225 sq.ft, 1.38 Cr | 3 BHK, Super Area, 1250 sq.ft, 1.33 Cr"
255783,No Floor Plans Available
123445,"3 BHK, Super Area, 1395 sq.ft, 1.80 Cr | 3 BHK, Super Area, 1750 sq.ft, 2.50 Cr"
298653,No Floor Plans Available
373410,"3 BHK, Super Area, 1237 sq.ft, 1.21 Cr | 3 BHK, Super Area, 1445 sq.ft, 1.41 Cr | 3 BHK, Super Area, 1629 sq.ft, 1.53 Cr | 3 BHK, Super Area, 1987 sq.ft, 1.86 Cr | 4 BHK, Super Area, 3070 sq.ft, 3.22 Cr"
432550,"3 BHK, Super Area, 2850 sq.ft, 5.84 Cr | 3 BHK, Super Area, 2858 sq.ft, 5.85 Cr"
425712,"3 BHK, Super Area, 1253 sq.ft, 1.64 Cr | 3 BHK, Super Area, 1380 sq.ft, 1.80 Cr"
376088,"3 BHK, Super Area, 1549 sq.ft, 2.48 Cr | 3 BHK, Super Area, 1630 sq.ft, 2.61 Cr"
6356,"3 BHK, Super Area, 1685 sq.ft, 1.17 Cr | 3 BHK, Super Area, 2155 sq.ft, 1.47 Cr"
6136,No Floor Plans Available
298653,No Floor Plans Available
394131,No Floor Plans Available
