xid,floorplans,Formatted Floor Plans
428412,"[('Saleable', '3 BHK 2780 Sq. Ft. Apartment', '(Saleable)', '2780 Sq. Ft.', 'Rs 5.00 Cr'), ('Saleable', '4 BHK 3780 Sq. Ft. Apartment', '(Saleable)', '3780 Sq. Ft.', 'Rs 6.80 Cr')]","3 BHK Apartment, Saleable, 2780 Sq., Saleable, , Rs 5.00 Cr | 4 BHK Apartment, Saleable, 3780 Sq., Saleable, , Rs 6.80 Cr"
405181,"[('Saleable', '3 BHK 2260 Sq. Ft. Apartment', '(Saleable)', '2260 Sq. Ft.', 'Rs 3.67 Cr'), ('Saleable', '3 BHK 2365 Sq. Ft. Apartment', '(Saleable)', '2365 Sq. Ft.', 'Rs 3.84 Cr'), ('Saleable', '4 BHK 2685 Sq. Ft. Apartment', '(Saleable)', '2685 Sq. Ft.', 'Rs 4.36 Cr')]","3 BHK Apartment, Saleable, 2260 Sq., Saleable, , Rs 3.67 Cr | 3 BHK Apartment, Saleable, 2365 Sq., Saleable, , Rs 3.84 Cr | 4 BHK Apartment, Saleable, 2685 Sq., Saleable, , Rs 4.36 Cr"
391580,"[('Saleable', '4 BHK 2286 Sq. Ft. Ind Floor', '(Saleable)', '2286 Sq. Ft.', 'Rs 7.30 Cr'), ('Saleable', '5 BHK 4527 Sq. Ft. Ind Floor', '(Saleable)', '4527 Sq. Ft.', 'Rs 14.46 Cr')]","4 BHK Ind Floor, Saleable, 2286 Sq., Saleable, , Rs 7.30 Cr | 5 BHK Ind Floor, Saleable, 4527 Sq., Saleable, , Rs 14.46 Cr"
430191,"[('Saleable', '4 BHK 4750 Sq. Ft. Apartment', '(Saleable)', '4750 Sq. Ft.', 'Rs 12.87 Cr')]","4 BHK Apartment, Saleable, 4750 Sq., Saleable, , Rs 12.87 Cr"
318679,"[('Saleable', '2 BHK 1099 Sq. Ft. Apartment', '(Carpet)', '683 Sq. Ft.', 'Rs 1.37 Cr'), ('Saleable', '3 BHK 1359 Sq. Ft. Apartment', '(Carpet)', '861 Sq. Ft.', 'Rs 1.70 Cr'), ('Saleable', '3 BHK 1389 Sq. Ft. Apartment', '(Carpet)', '884 Sq. Ft.', 'Rs 1.73 Cr'), ('Saleable', '3 BHK 1689 Sq. Ft. Apartment', '(Carpet)', '1082 Sq. Ft.', 'Rs 2.11 Cr')]","2 BHK Apartment, Saleable, 1099 Sq., Carpet, , Rs 1.37 Cr | 3 BHK Apartment, Saleable, 1359 Sq., Carpet, , Rs 1.70 Cr | 3 BHK Apartment, Saleable, 1389 Sq., Carpet, , Rs 1.73 Cr | 3 BHK Apartment, Saleable, 1689 Sq., Carpet, , Rs 2.11 Cr"
336331,"[('Saleable', '3 BHK 1900 Sq. Ft. Apartment', '(Carpet)', '1220 Sq. Ft.', 'Rs 2.56 Cr'), ('Saleable', '4 BHK 2550 Sq. Ft. Apartment', '(Carpet)', '1645 Sq. Ft.', 'Rs 3.44 Cr')]","3 BHK Apartment, Saleable, 1900 Sq., Carpet, , Rs 2.56 Cr | 4 BHK Apartment, Saleable, 2550 Sq., Carpet, , Rs 3.44 Cr"
270729,"[('Saleable', '3 BHK 2400 Sq. Ft. Apartment', '(Saleable)', '2400 Sq. Ft.', 'Rs 1.99 Cr'), ('Saleable', '3 BHK 1800 Sq. Ft. Apartment', '(Saleable)', '1800 Sq. Ft.', 'Rs 1.46 Cr')]","3 BHK Apartment, Saleable, 2400 Sq., Saleable, , Rs 1.99 Cr | 3 BHK Apartment, Saleable, 1800 Sq., Saleable, , Rs 1.46 Cr"
427056,"[('Saleable', '4 BHK 4270 Sq. Ft. Apartment', '(Saleable)', '4270 Sq. Ft.', 'Rs 10.50 Cr'), ('Saleable', '4 BHK 3755 Sq. Ft. Apartment', '(Saleable)', '3755 Sq. Ft.', 'Rs 9.24 Cr')]","4 BHK Apartment, Saleable, 4270 Sq., Saleable, , Rs 10.50 Cr | 4 BHK Apartment, Saleable, 3755 Sq., Saleable, , Rs 9.24 Cr"
25860,"[('Saleable', '3 BHK 2290 Sq. Ft. Apartment', '(Saleable)', '2290 Sq. Ft.', 'Rs 1.65 Cr'), ('Saleable', '4 BHK 3150 Sq. Ft. Apartment', '(Saleable)', '3150 Sq. Ft.', 'Rs 2.45 Cr')]","3 BHK Apartment, Saleable, 2290 Sq., Saleable, , Rs 1.65 Cr | 4 BHK Apartment, Saleable, 3150 Sq., Saleable, , Rs 2.45 Cr"
379918,"[('Saleable', '2 BHK 1057 Sq. Ft. Apartment', '(Saleable)', '1057 Sq. Ft.', 'Rs 89.00 Lac'), ('Saleable', '2 BHK 1192 Sq. Ft. Apartment', '(Saleable)', '1192 Sq. Ft.', 'Rs 1.00 Cr'), ('Saleable', '3 BHK 1567 Sq. Ft. Apartment', '(Saleable)', '1567 Sq. Ft.', 'Rs 1.31 Cr'), ('Saleable', '3 BHK 1774 Sq. Ft. Apartment', '(Saleable)', '1774 Sq. Ft.', 'Rs 1.49 Cr'), ('Saleable', '4 BHK 2191 Sq. Ft. Apartment', '(Saleable)', '2191 Sq. Ft.', 'Rs 1.83 Cr')]","2 BHK Apartment, Saleable, 1057 Sq., Saleable, , Rs 89.00 Lac | 2 BHK Apartment, Saleable, 1192 Sq., Saleable, , Rs 1.00 Cr | 3 BHK Apartment, Saleable, 1567 Sq., Saleable, , Rs 1.31 Cr | 3 BHK Apartment, Saleable, 1774 Sq., Saleable, , Rs 1.49 Cr | 4 BHK Apartment, Saleable, 2191 Sq., Saleable, , Rs 1.83 Cr"
