Regno,proj_name,promoter_type,proj_district,prom_name,project_type,project_comp_date,proj_status,project_address,inventory_type,carpet_area,open_area,total_area,terrace_area,no_of_inventory,balcony_area,arch_name,num_projects_completed,total_flats_value,occupancy_date_value
PRM/KA/RERA/1251/309/PR/201125/003719,S.V. BREZZA,Partnership Firm,BENGALURU URBAN,SV DEVELOPERS,Residential/Group Housing,04-10-2023,APPROVED,"Site No.260,261,262,263 Katha No.116/ 261/ 262/ 341/ 114/ 260,263, Kenchenahalli, Gnanabharathi, RRNagar, Ward No.129, Bangalore",Apartment,2327SqMtr,566,1301,16SqMtr,28,275SqMtr,,,,
PRM/KA/RERA/1251/309/PR/201125/003719,S.V. BREZZA,Partnership Firm,BENGALURU URBAN,SV DEVELOPERS,Residential/Group Housing,04-10-2023,APPROVED,"Site No.260,261,262,263 Katha No.116/ 261/ 262/ 341/ 114/ 260,263, Kenchenahalli, Gnanabharathi, RRNagar, Ward No.129, Bangalore",Apartment,2327SqMtr,566,1301,16SqMtr,28,275SqMtr,,,,
PRM/KA/RERA/1251/309/PR/201125/003719,S.V. BREZZA,Partnership Firm,BENGALURU URBAN,SV DEVELOPERS,Residential/Group Housing,04-10-2023,APPROVED,"Site No.260,261,262,263 Katha No.116/ 261/ 262/ 341/ 114/ 260,263, Kenchenahalli, Gnanabharathi, RRNagar, Ward No.129, Bangalore",Apartment,2327SqMtr,566,1301,16SqMtr,28,275SqMtr,,,,
PRM/KA/RERA/1251/309/PR/201125/003719,S.V. BREZZA,Partnership Firm,BENGALURU URBAN,SV DEVELOPERS,Residential/Group Housing,04-10-2023,APPROVED,"Site No.260,261,262,263 Katha No.116/ 261/ 262/ 341/ 114/ 260,263, Kenchenahalli, Gnanabharathi, RRNagar, Ward No.129, Bangalore",Apartment,2327SqMtr,566,1301,16SqMtr,28,275SqMtr,,,,
PRM/KA/RERA/1251/309/PR/201125/003719,S.V. BREZZA,Partnership Firm,BENGALURU URBAN,SV DEVELOPERS,Residential/Group Housing,04-10-2023,APPROVED,"Site No.260,261,262,263 Katha No.116/ 261/ 262/ 341/ 114/ 260,263, Kenchenahalli, Gnanabharathi, RRNagar, Ward No.129, Bangalore",Apartment,2327SqMtr,566,1301,16SqMtr,28,275SqMtr,,,,
PRM/KA/RERA/1251/309/PR/201125/003719,S.V. BREZZA,Partnership Firm,BENGALURU URBAN,SV DEVELOPERS,Residential/Group Housing,04-10-2023,APPROVED,"Site No.260,261,262,263 Katha No.116/ 261/ 262/ 341/ 114/ 260,263, Kenchenahalli, Gnanabharathi, RRNagar, Ward No.129, Bangalore",Apartment,2327SqMtr,566,1301,16SqMtr,28,275SqMtr,,,,
PRM/KA/RERA/1251/309/PR/201125/003719,S.V. BREZZA,Partnership Firm,BENGALURU URBAN,SV DEVELOPERS,Residential/Group Housing,04-10-2023,APPROVED,"Site No.260,261,262,263 Katha No.116/ 261/ 262/ 341/ 114/ 260,263, Kenchenahalli, Gnanabharathi, RRNagar, Ward No.129, Bangalore",Apartment,2327SqMtr,566,1301,16SqMtr,28,275SqMtr,Srinivas Rao Bolimunta,,,
PRM/KA/RERA/1251/309/PR/201125/003719,S.V. BREZZA,Partnership Firm,BENGALURU URBAN,SV DEVELOPERS,Residential/Group Housing,04-10-2023,APPROVED,"Site No.260,261,262,263 Katha No.116/ 261/ 262/ 341/ 114/ 260,263, Kenchenahalli, Gnanabharathi, RRNagar, Ward No.129, Bangalore",Apartment,2327SqMtr,566,1301,16SqMtr,28,275SqMtr,Srinivas Rao Bolimunta,,,
PRM/KA/RERA/1251/309/PR/201125/003719,S.V. BREZZA,Partnership Firm,BENGALURU URBAN,SV DEVELOPERS,Residential/Group Housing,04-10-2023,APPROVED,"Site No.260,261,262,263 Katha No.116/ 261/ 262/ 341/ 114/ 260,263, Kenchenahalli, Gnanabharathi, RRNagar, Ward No.129, Bangalore",Apartment,2327SqMtr,566,1301,16SqMtr,28,275SqMtr,Srinivas Rao Bolimunta,,,
PRM/KA/RERA/1251/309/PR/201125/003719,S.V. BREZZA,Partnership Firm,BENGALURU URBAN,SV DEVELOPERS,Residential/Group Housing,04-10-2023,APPROVED,"Site No.260,261,262,263 Katha No.116/ 261/ 262/ 341/ 114/ 260,263, Kenchenahalli, Gnanabharathi, RRNagar, Ward No.129, Bangalore",Apartment,2327SqMtr,566,1301,16SqMtr,28,275SqMtr,Srinivas Rao Bolimunta,,,
