District,Project Name,Promoter Name,Certificate No.
Alappuzha,GJ LAVENDER,GJ PROPERTIES,K-RERA/PRJ/ALP/148/2024
Alappuzha,PURSUIT OF HAPPINESS,UNINEST DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/ALP/053/2024
Alappuzha,ASSET NILAAVU,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/ALP/044/2023
Alappuzha,PARVATHY RESIDENCY,PARVATHY RESIDENCY,K-RERA/PRJ/001/2022
Alappuzha,CAMELOT,APSTONE INFRASTRUCTURE Pvt Ltd,K-RERA/PRJ/135/2021
Alappuzha,SILPI MARIGOLD,SILPI PROJECTS,K-RERA/PRJ/ALP/035/2021
Alappuzha,NATE VENECIA,NATE BUILDERS PRIVATE LIMITED,K-RERA/PRJ/161/2021
Alappuzha,Venice Prestige,Venice Builders,K-RERA/PRJ/024/2021
Ernakulam,Prakriti Sattva,Prakriti Architects and Builders,K-RERA/PRJ/ERN/034/2025
Ernakulam,Green City,Mammen Paul,K-RERA/PRJ/ERN/033/2025
Ernakulam,POOJA ARCADE,PRAVEENKUMAR E A,K-RERA/PRJ/ERN/031/2025
Ernakulam,DD GREEN GARDENS,DESAI HOMES,K-RERA/PRJ/ERN/030/2025
Ernakulam,CLASSIC INDIAN EARTH,Classic Constructions,K-RERA/PRJ/ERN/025/2025
Ernakulam,JAIRAJ SANVI,JAIRAJ PROJECTS PRIVATE LIMITED,K-RERA/PRJ/ERN/022/2025
Ernakulam,OMG SOVEREIGN VILLAS EAST,OMG PROPERTIES PRIVATE LIMITED,K-RERA/PRJ/ERN/021/2025
Ernakulam,TRINITY ESTILLA,GREEN LEAF BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/ERN/018/2025
Ernakulam,ROYAL CASTLE,DEODATE BUILDERS AND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/ERN/017/2025
Ernakulam,THE TOUCH,NOEL VILLAS AND APARTMENTS,K-RERA/PRJ/ERN/016/2025
Ernakulam,CASA AVENTIS,Level 100 Realty Pvt Ltd,K-RERA/PRJ/ERN/015/2025
Ernakulam,SOPHIA NEST,Joyce George,K-RERA/PRJ/ERN/009/2025
Ernakulam,HEAVEN HONOUR,MEGHA HABITATS LLP,K-RERA/PRJ/ERN/006/2025
Ernakulam,THE FEATHER,NOEL VILLAS AND APARTMENTS,K-RERA/PRJ/ERN/253/2024
Ernakulam,SFS SONG OF NIGHTINGALE,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,K-RERA/PRJ/ERN/249/2024
Ernakulam,Elyssium,Level 100 Realty Pvt Ltd,K-RERA/PRJ/ERN/247/2024
Ernakulam,Orchid Village,Paul Poulose Eapen,K-RERA/PRJ/ERN/245/2024
Ernakulam,LOTUS CHENNAS ARCADE,VEDAPURI LOTUS PROPERTIES PVT LTD,K-RERA/PRJ/ERN/240/2024
Ernakulam,ASIAN GLORY,ASIAN DEVELOPERS,K-RERA/PRJ/ERN/239/2024
Ernakulam,Krishna Tower,Praphulla Chandran,K-RERA/PRJ/ERN/238/2024
Ernakulam,BHANU BHAVAN BY VARMA,VARMA HOMES PRIVATE LIMITED,K-RERA/PRJ/ERN/237/2024
Ernakulam,Providence Surabhi,Providence Lifespace,K-RERA/PRJ/ERN/233/2024
Ernakulam,QUEENS GATEWAY BY VARMA,VARMA HOMES PRIVATE LIMITED,K-RERA/PRJ/ERN/226/2024
Ernakulam,Abad Tanzeel Green,ABAD BUILDERS PVT LTD,K-RERA/PRJ/ERN/225/2024
Ernakulam,VASUDHA,P GOPALAKRISHNAN,K-RERA/PRJ/ERN/221/2024
Ernakulam,GLORIAG APARTMENTS,GEORGE THEKKEL AUGUSTINE,K-RERA/PRJ/ERN/219/2024
Ernakulam,TRINITY NOVA,TRINITY ARCADE PVT LTD,K-RERA/PRJ/ERN/218/2024
Ernakulam,GREHA FIVE ELEMENTS,GREHA HOMES PVT LTD,K-RERA/PRJ/ERN/212/2024
Ernakulam,ASSET JGT ANANDA MALIKA,ASSET JGT PRIVATE LIMITED,K-RERA/PRJ/ERN/203/2024
Ernakulam,LOTUS BHARATHY ENCLAVE,VEDAPURI LOTUS PROPERTIES PVT LTD,K-RERA/PRJ/ERN/201/2024
Ernakulam,MARITIME PRIME,MARITIME BUILDERS PRIVATE LIMITED,K-RERA/PRJ/ERN/197/2024
Ernakulam,ASSET BUTTERFLIES,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/ERN/196/2024
Ernakulam,Anns Garden,VARGHESE EDAKKERIYIL PATHROSE,K-RERA/PRJ/ERN/194/2024
Ernakulam,KURINJI PLOT,BABU AND MM ANTONY JOSEPH,K-RERA/PRJ/ERN/193/2024
Ernakulam,GRAND CYPRESS,Malabar Developers Private Limited,K-RERA/PRJ/ERN/192/2024
Ernakulam,SFS LA FORTUNA,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,K-RERA/PRJ/ERN/189/2024
Ernakulam,ORIDAM,CHATEAU KAVE BUILD WORKS OPC PRIVATE LIMITED,K-RERA/PRJ/ERN/188/2024
Ernakulam,ANVITA RENOVA,ANVITA BUILDERS PVT LTD,K-RERA/PRJ/ERN/187/2024
Ernakulam,iDfix Rose Villa,IDFIX BUILDERS PVT LTD,K-RERA/PRJ/ERN/186/2024
Ernakulam,Sunpaul Grace,Eldho Mathew,K-RERA/PRJ/ERN/184/2024
Ernakulam,Skyline Hilltop,M/s Skyline Builders,K-RERA/PRJ/ERN/183/2024
Ernakulam,KALARIKKANS K MALL,LICHENBUILDER,K-RERA/PRJ/ERN/182/2024
Ernakulam,VEEGALAND QUEENS PARK,VEEGALAND DEVELOPERS PRIVATE LIMITED,K-RERA/PRJ/ERN/181/2024
Ernakulam,MALIEKAL GARDENS,TOBY JOSEPH,K-RERA/PRJ/ERN/180/2024
Ernakulam,PRITHVI by SIDDHI HOMES,SIDDHI HOMES,K-RERA/PRJ/ERN/179/2024
Ernakulam,SMS OASIS,SMS BUILDERS,K-RERA/PRJ/ERN/178/2024
Ernakulam,HAVEN,JOHN PAUL REALTY,K-RERA/PRJ/ERN/176/2024
Ernakulam,AKB Arcade,Grande Homes,K-RERA/PRJ/ERN/175/2024
Ernakulam,AC MANUELS,AC CITY PROJECTS PVT LTD,K-RERA/PRJ/ERN/174/2024
Ernakulam,"Joyalukkas Gold Tower, Vazhakkala",Joyalukkas Lifestyle Developers Pvt Ltd,K-RERA/PRJ/ERN/173/2024
Ernakulam,Harmony Heights,Chinnamma David,K-RERA/PRJ/ERN/171/2024
Ernakulam,DREAMFLOWER LEYENDA,DREAM FLOWER HOUSING PROJECTS PVT LTD,K-RERA/PRJ/ERN/170/2024
Ernakulam,DREAMFLOWER LA-CASITA -2,DREAM FLOWER HOUSING PROJECTS PVT LTD,K-RERA/PRJ/ERN/168/2024
Ernakulam,PRIME MERIDIAN METROPOLITAN,MERITRA HOMES PVT LTD,K-RERA/PRJ/ERN/164/2024
Ernakulam,Yeskay Pearl View Apartments,Yeskay Builders,K-RERA/PRJ/ERN/163/2024
Ernakulam,PARADISE,SWASTHI HOMES,K-RERA/PRJ/ERN/162/2024
Ernakulam,MID AVENUE,Jamna,K-RERA/PRJ/ERN/161/2024
Ernakulam,PB ZAIRE,PB HOMES PVT LTD,K-RERA/PRJ/ERN/160/2024
Ernakulam,The Quayside 12,TRINE INFRASTRUCTURE & LEASE LLP,K-RERA/PRJ/ERN/159/2024
Ernakulam,GREEN TREE,AR Builders & Contractors,K-RERA/PRJ/ERN/158/2024
Ernakulam,HAVEN WOODS,Paulose Paily,K-RERA/PRJ/ERN/153/2024
Ernakulam,ORCHARD,MARSIC PROJECTS PVT LTD,K-RERA/PRJ/ERN/147/2024
Ernakulam,CASADEL ABOVE THE WORLD,CASADEL BUILDERS INDIA PRIVATE LIMITED,K-RERA/PRJ/ERN/146/2024
Ernakulam,GOOD EARTH UMANG,GOOD EARTH INDIA INFRA LIMITED,K-RERA/PRJ/ERN/145/2024
Ernakulam,VENTURA DALIA,Ventura Realtors India Pvt Ltd,K-RERA/PRJ/ERN/144/2024
Ernakulam,Campus Heights,M/s Kem Builders,K-RERA/PRJ/ERN/140/2024
Ernakulam,GRACELAND FOUNDATION PHASE 2 - ELDERDALE PROJECT,GRACELAND FOUNDATIONS,K-RERA/PRJ/ERN/139/2024
Ernakulam,Thiruvaniyoor Plots,Benoy Benjamin,K-RERA/PRJ/ERN/132/2024
Ernakulam,VISHRAAM TYKHE,Vishraam Builders and Developers Pvt Ltd,K-RERA/PRJ/ERN/123/2024
Ernakulam,VENTURA IRIS,Ventura Realtors India Pvt Ltd,K-RERA/PRJ/ERN/121/2024
Ernakulam,AZURI VISTA PHASE 1,Synthite Infrastructure Project Pvt Ltd,K-RERA/PRJ/ERN/119/2024
Ernakulam,Swan Green Isle,Swan Developers,K-RERA/PRJ/ERN/118/2024
Ernakulam,EMBASSY SUITES,SOUTHERN SUPERSTRUCTURES PRIVATE LIMITED,K-RERA/PRJ/ERN/109/2024
Ernakulam,Galaxy Swiss Royale,Galaxy Homes Pvt Ltd,K-RERA/PRJ/ERN/107/2024
Ernakulam,SWAN GREEN EARTH,SWAN PROPERTY DEVELOPERS INDIA PVT LTD,K-RERA/PRJ/ERN/106/2024
Ernakulam,MEXICAN BUNGALOWS -PHASE1,Greentech Builders and Developers,K-RERA/PRJ/ERN/104/2024
Ernakulam,SCOTLAND YARD VILLAS,Greentech Builders and Developers,K-RERA/PRJ/ERN/103/2024
Ernakulam,GREENCASA VILLAS,Greentech Builders and Developers,K-RERA/PRJ/ERN/102/2024
Ernakulam,MJ Residency,MJ Builders,K-RERA/PRJ/ERN/097/2024
Ernakulam,SPANISH VILLAS,Greentech Builders and Developers,K-RERA/PRJ/ERN/095/2024
Ernakulam,Claysys Highlands,CLAYSYS LIFESTYLE PRIVATE LIMITED,K-RERA/PRJ/ERN/086/2024
