Registration Number,Project Address,Expected Completion Date,Total Area Proposed,Group Housing Area,Residential Plotted Area,Commercial Area,Common Amenities Area
PBRERA-SAS81-PR1099,"SCO-39-42
                                                            , 
                                                            Sector-82
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140306",31-Aug-2029,4635 (in sqr mtrs),1292.99 (in sqr mtrs),0 (in sqr mtrs),0 (in sqr mtrs),3342.01 (in sqr mtrs)
PBRERA-SAS81-PR1098,"Sector-66A
                                                            , 
                                                            Mohali
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140306",31-Aug-2029,4635 (in sqr mtrs),1292.99 (in sqr mtrs),0 (in sqr mtrs),0 (in sqr mtrs),3342.01 (in sqr mtrs)
PBRERA-SAS81-PR1099,"SCO-39-42
                                                            , 
                                                            Sector-82
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140306",31-Aug-2029,4635 (in sqr mtrs),1292.99 (in sqr mtrs),0 (in sqr mtrs),0 (in sqr mtrs),3342.01 (in sqr mtrs)
PBRERA-SAS81-PR1098,"Sector-66A
                                                            , 
                                                            Mohali
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140306",31-Aug-2029,4635 (in sqr mtrs),1292.99 (in sqr mtrs),0 (in sqr mtrs),0 (in sqr mtrs),3342.01 (in sqr mtrs)
PBRERA-SAS81-PR1097,"Sector-66
                                                            , 
                                                            
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140306",31-Oct-2029,4635 (in sqr mtrs),1134.33 (in sqr mtrs),0 (in sqr mtrs),0 (in sqr mtrs),3500.67 (in sqr mtrs)
PBRERA-SAS81-PR1042,"Sector-105, Mohali, SAS Nagar
                                                            , 
                                                            
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140308",31-Oct-2029,17629.2 (in sqr mtrs),0 (in sqr mtrs),8601.56 (in sqr mtrs),0 (in sqr mtrs),9027.64 (in sqr mtrs)
PBRERA-SAS81-PR1009,"WAVE ESTATE
                                                            , 
                                                            sector-85
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            143308",31-Mar-2029,48562.368 (in sqr mtrs),10329.41 (in sqr mtrs),0 (in sqr mtrs),0 (in sqr mtrs),38232.958 (in sqr mtrs)
PBRERA-SAS81-PR1006,"Sector 66-A , SAS Nagar
                                                            , 
                                                            
                                                            , 
                                                            Dera Bassi
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            160059",30-Dec-2030,16204.21 (in sqr mtrs),2787.896 (in sqr mtrs),0 (in sqr mtrs),396.305 (in sqr mtrs),13020.009 (in sqr mtrs)
PBRERA-SAS81-PR0995,"Site No. 4, GH
                                                            , 
                                                            Sector 90-91(JLPL)
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140307",31-Dec-2028,11768.05 (in sqr mtrs),2123.86 (in sqr mtrs),0 (in sqr mtrs),0 (in sqr mtrs),9644.19 (in sqr mtrs)
PBRERA-SAS81-PR0958,"Sector 98, 
                                                            , 
                                                            District SAS Nagar(Mohali),
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140308",30-Jun-2017,106392 (in sqr mtrs),0 (in sqr mtrs),58724 (in sqr mtrs),0 (in sqr mtrs),47668 (in sqr mtrs)
PBRERA-SAS81-PR0957,"Sector 99, 
                                                            , 
                                                            District SAS Nagar(Mohali),
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140306",31-Dec-2023,16915.86 (in sqr mtrs),6764.049 (in sqr mtrs),0 (in sqr mtrs),0 (in sqr mtrs),10151.811 (in sqr mtrs)
PBRERA-SAS81-PR0928,"SITE NO.3
                                                            , 
                                                            SECTOR 88
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140501",01-Sep-2030,8417.766 (in sqr mtrs),1234.28 (in sqr mtrs),0 (in sqr mtrs),470.178 (in sqr mtrs),6713.308 (in sqr mtrs)
PBRERA-SAS81-PR0892,"Village-Naugyari,H.B.NO-282,Tehsil-Mohali.
                                                            , 
                                                            
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140306",02-Oct-2024,85944.38 (in sqr mtrs),0 (in sqr mtrs),37060.79 (in sqr mtrs),4037.91 (in sqr mtrs),44845.68 (in sqr mtrs)
PBRERA-SAS81-PR0866,"Group Housing Site, Sector 67,
                                                            , 
                                                            SAS Nagar
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            160062",30-Nov-2030,51036.92 (in sqr mtrs),8967.818 (in sqr mtrs),0 (in sqr mtrs),1530 (in sqr mtrs),39087.392 (in sqr mtrs)
PBRERA-SAS81-PR0854,"Noble Willasa, Wave Estate Block-H
                                                            , 
                                                            Sector 99, SAS Nagar (Mohali)
                                                            , 
                                                            Mohali
                                                            , 
                                                            Sahibzada Ajit Singh Nagar (Mohali)
                                                            , 
                                                            Punjab
                                                             - 
                                                            140308",31-Dec-2027,9754.67 (in sqr mtrs),9754.67 (in sqr mtrs),0 (in sqr mtrs),0 (in sqr mtrs),0 (in sqr mtrs)
