Registration Number,Building Name,Floor Details
PBRERA-SAS81-PR1099,FALCON VIEW TOWER-U,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR1098,FALCON VIEW TOWER-T,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR1099,FALCON VIEW TOWER-U,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR1098,FALCON VIEW TOWER-T,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR1097,TOWER O,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 58
Number of Floors Constructed: 4"
PBRERA-SAS81-PR1042,POCKET F,"Number of Floor/Plots Currently Sanctioned: 44
Number of Floor/Plots Proposed: 44
Number of Floors Constructed: 0"
PBRERA-SAS81-PR1009,TOWER-I,"Number of Floor/Plots Currently Sanctioned: 19
Number of Floor/Plots Proposed: 19
Number of Floors Constructed: 0"
PBRERA-SAS81-PR1009,TOWER-J,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 20
Number of Floors Constructed: 0"
PBRERA-SAS81-PR1009,TOWER-K,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PR1009,TOWER-L,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PR1006,RESIDENTIAL FLATS,"Number of Floor/Plots Currently Sanctioned: 14
Number of Floor/Plots Proposed: 14
Number of Floors Constructed: 14"
PBRERA-SAS81-PR1006,COMMERCIAL SHOPS,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0995,BLOCK 02 TOWER 02,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0995,BLOCK 03 TOWER 03,"Number of Floor/Plots Currently Sanctioned: 15
Number of Floor/Plots Proposed: 15
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0995,BLOCK 04 TOWER 04,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0995,BLOCK 01 TOWER 01,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 16
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0958,ONE CITY HAMLET 1,"Number of Floor/Plots Currently Sanctioned: 265
Number of Floor/Plots Proposed: 265
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0957,BLOCK 1 MRE,"Number of Floor/Plots Currently Sanctioned: 7
Number of Floor/Plots Proposed: 7
Number of Floors Constructed: 7"
PBRERA-SAS81-PR0957,BLOCK 4 LRE,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS81-PR0957,BLOCK 5 LRW,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS81-PR0957,BLOCK 6 LRN,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS81-PR0957,BLOCK 7 LRS,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 3
Number of Floors Constructed: 3"
PBRERA-SAS81-PR0928,4BHK TOWER 1,"Number of Floor/Plots Currently Sanctioned: 42
Number of Floor/Plots Proposed: 42
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0928,4BHK DUPLEX TOWER 1,"Number of Floor/Plots Currently Sanctioned: 2
Number of Floor/Plots Proposed: 2
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0928,3BHK DUPLEX TOWER 2,"Number of Floor/Plots Currently Sanctioned: 2
Number of Floor/Plots Proposed: 2
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0928,3BHK TOWER 2,"Number of Floor/Plots Currently Sanctioned: 44
Number of Floor/Plots Proposed: 44
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0928,3BHK DUPLEX TOWER 3,"Number of Floor/Plots Currently Sanctioned: 2
Number of Floor/Plots Proposed: 2
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0928,3BHK TOWER 3,"Number of Floor/Plots Currently Sanctioned: 44
Number of Floor/Plots Proposed: 44
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0928,COMMERCIAL BOOTHS,"Number of Floor/Plots Currently Sanctioned: 18
Number of Floor/Plots Proposed: 18
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0892,COMMERCIAL BAY SHOPS PLOT NOS 1-7,"Number of Floor/Plots Currently Sanctioned: 7
Number of Floor/Plots Proposed: 7
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0892,COMMERCIAL BOOTH PLOT NOS 1-21,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0892,COMMERCIAL SHOWROOM PLOT NOS 17-28,"Number of Floor/Plots Currently Sanctioned: 12
Number of Floor/Plots Proposed: 12
Number of Floors Constructed: 0"
