District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No.,Actions,chec_regno
Jaipur,KEDIA'S ATULYAM,PLOTTED,KEDIA BUILDERS AND COLONIZERS PRIVATE LIMITED,RAJ-RERA-APP-P-2025-10314,RAJ/P/2025/3540 (23/02/2025),View,RAJ_P_2025_3540 (23_02_2025)
Jaipur,RAMAA PALM COAST,PLOTTED,RAM GOPAL SINGHAL,RAJ-RERA-APP-P-2025-10297,RAJ/P/2025/3538 (23/02/2025),View,RAJ_P_2025_3538 (23_02_2025)
Jaipur,BEGAS GREEN'S,PLOTTED,Roylux Greenearth LLP,RAJ-RERA-APP-P-2025-10295,RAJ/P/2025/3539 (23/02/2025),View,RAJ_P_2025_3539 (23_02_2025)
Sri Ganganagar,ANAND VIHAR ASHIYANA,PLOTTED,Naresh Kumar Aggarwal,RAJ-RERA-APP-P-2025-10289,RAJ/P/2025/3535 (23/02/2025),View,RAJ_P_2025_3535 (23_02_2025)
Jaipur,Aadrash Vihar,PLOTTED,Laxmi Narayan Yadav,RAJ-RERA-APP-P-2025-10285,RAJ/P/2025/3533 (17/02/2025),View,RAJ_P_2025_3533 (17_02_2025)
Jaipur,Raj Laxmi Enclave-IX,PLOTTED,KAILASH CHAND SHARMA,RAJ-RERA-APP-P-2025-10286,RAJ/P/2025/3523 (14/02/2025),View,RAJ_P_2025_3523 (14_02_2025)
Sikar,ANNA NAGAR PHASE-4,PLOTTED,KANHAIYA LAL,RAJ-RERA-APP-P-2025-10287,RAJ/P/2025/3537 (23/02/2025),View,RAJ_P_2025_3537 (23_02_2025)
Jaipur,RIYASAT HERITAGE,PLOTTED,NEW PATH DEVELOPERS LLP,RAJ-RERA-APP-P-2025-10284,RAJ/P/2025/3524 (14/02/2025),View,RAJ_P_2025_3524 (14_02_2025)
Sri Ganganagar,Ridhi Sidhi City 2,PLOTTED,Bhumilaxmi Vanijya Private Limited,RAJ-RERA-APP-P-2025-10282,RAJ/P/2025/3536 (23/02/2025),View,RAJ_P_2025_3536 (23_02_2025)
Jaipur,SHREE ANANDAM,PLOTTED,JAI KISHAN PARWANI,RAJ-RERA-APP-P-2025-10277,RAJ/P/2025/3521 (13/02/2025),View,RAJ_P_2025_3521 (13_02_2025)
Sikar,Shree Shyam City Block-A,PLOTTED,Panni Devi,RAJ-RERA-APP-P-2025-10274,RAJ/P/2025/3512 (08/02/2025),View,RAJ_P_2025_3512 (08_02_2025)
