District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No.,Actions,
Jaipur,VRB AMBER EXTENSION,PLOTTED,VRB DREAM HOMES PRIVATE LIMITED,RAJ-RERA-APP-P-2025-10257,RAJ/P/2025/3498 (29/01/2025),View,
Sikar,RAJ NAGAR SCHEME-5,PLOTTED,RAHUL MANGAWA,RAJ-RERA-APP-P-2025-10256,RAJ/P/2025/3490 (23/01/2025),View,
Jaipur,Aero Residency,PLOTTED,Chart Real Square LLP,RAJ-RERA-APP-P-2025-10255,RAJ/P/2025/3496 (28/01/2025),View,
Sikar,Metro City Phase-3,PLOTTED,Mahaveer Verma,RAJ-RERA-APP-P-2025-10252,RAJ/P/2025/3495 (28/01/2025),View,
Jaipur,RIYASAT NIRVANA,PLOTTED,RIYASAT INFRA DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2025-10247,RAJ/P/2025/3497 (29/01/2025),View,
Ajmer,Parvati Nagar-2,PLOTTED,VINEET BHANSALI,RAJ-RERA-APP-P-2025-10249,RAJ/P/2025/3503 (31/01/2025),View,
Jaipur,SOLITAIRE HOMES,PLOTTED,SURYANSH BROTHERS,RAJ-RERA-APP-P-2025-10244,RAJ/P/2025/3483 (21/01/2025),View,
Jaipur,RUDRAKSH RESIDENCY,PLOTTED,RAJKUMAR SHARMA,RAJ-RERA-APP-P-2025-10237,RAJ/P/2025/3500 (30/01/2025),View,
Jaipur,SHRINATH ENCLAVE - II,PLOTTED,VINOD KUMAR SEWANI,RAJ-RERA-APP-P-2025-10240,RAJ/P/2025/3502 (31/01/2025),View,
Sikar,Kishan Vihar Residential Scheme,PLOTTED,Bhagwan Singh,RAJ-RERA-APP-P-2025-10236,RAJ/P/2025/3481 (17/01/2025),View,
Sikar,VIKAS NAGAR AAWASIYA YOJANA,PLOTTED,PRAMOD KUMAR AGARWAL,RAJ-RERA-APP-P-2025-10229,RAJ/P/2025/3482 (21/01/2025),View,
Kota,BAGESHWAR DHAM,PLOTTED,BHAGWATI COLONIZERS,RAJ-RERA-APP-P-2025-10231,RAJ/P/2025/3505 (03/02/2025),View,
Sikar,Balaji Vihar Residential Scheme,PLOTTED,Naru Ram,RAJ-RERA-APP-P-2025-10227,RAJ/P/2025/3478 (13/01/2025),View,
Jaipur,THE SOUTHERN CITY,PLOTTED,RIYASAT INFRATECH DEVELOPERS LLP,RAJ-RERA-APP-P-2025-10224,RAJ/P/2025/3469 (09/01/2025),View,
Jaipur,KISSAN RESIDENCY,PLOTTED,KISSAN REAL INFRA LLP,RAJ-RERA-APP-P-2025-10225,RAJ/P/2025/3472 (10/01/2025),View,
Jaipur,RIYASAT ECO PARK -l EXTENSION,PLOTTED,RIYASAT INFRA DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2025-10222,RAJ/P/2025/3473 (10/01/2025),View,
Ajmer,SHYAM NAGAR BLOCK-A,PLOTTED,SURENDER CHOUDHARY,RAJ-RERA-APP-P-2024-10217,RAJ/P/2025/3486 (21/01/2025),View,
Jaipur,"GANGA APARTMENT, SEC 26 B-2 PART PHASE 2",GROUP HOUSING,RAJASTHAN HOUSING BOARD,RAJ-RERA-APP-P-2024-10214,RAJ/P/2025/3491 (24/01/2025),View,
Ajmer,Happy Vidhyashry Block - E,PLOTTED,DELIGHT INFRAHEIGHTS LLP,RAJ-RERA-APP-P-2024-10215,RAJ/P/2025/3467 (08/01/2025),View,
Ajmer,HAPPY PARK BLOCK -A,PLOTTED,HAPPY REALSQUARE LLP,RAJ-RERA-APP-P-2024-10212,RAJ/P/2025/3459 (07/01/2025),View,
Ajmer,HAPPY VIDHYASHRY BLOCK-D,PLOTTED,HAPPY REALSQUARE LLP,RAJ-RERA-APP-P-2024-10210,RAJ/P/2025/3462 (07/01/2025),View,
Jaipur,Pradhan City,PLOTTED,NATHU RAM SHARMA,RAJ-RERA-APP-P-2024-10207,RAJ/P/2025/3485 (21/01/2025),View,
Jodhpur,ROOP SHREE HOMES 2,PLOTTED,DINESH RAM,RAJ-RERA-APP-P-2024-10206,RAJ/P/2025/3461 (07/01/2025),View,
Sri Ganganagar,SPRING FIELD PHASE-3,PLOTTED,AJAY KANT SETIA,RAJ-RERA-APP-P-2024-10204,RAJ/P/2025/3477 (13/01/2025),View,
Ajmer,Apeksha City Arya bhatta Block A,PLOTTED,APEKSHA HOUSING PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10202,RAJ/P/2025/3493 (27/01/2025),View,
Sri Ganganagar,SPRING FIELD PHASE-2,PLOTTED,AAMIN SETIA,RAJ-RERA-APP-P-2024-10203,RAJ/P/2025/3456 (02/01/2025),View,
