Registration No,"Common Area And Facilities,Amenities",Proposed,Percentage of Completion
RAJ-P-2025-3468,Water Supply,Yes,0
RAJ-P-2025-3468,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2025-3468,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2025-3468,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2025-3468,Fire Fighting Provision,Yes,0
RAJ-P-2025-3468,Others,No,0
RAJ-P-2025-3468,Water Supply,Yes,0
RAJ-P-2025-3468,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2025-3468,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2025-3468,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2025-3468,Fire Fighting Provision,Yes,0
RAJ-P-2025-3468,Others,No,0
RAJ-P-2024-3427,Water Supply,Yes,0
RAJ-P-2024-3427,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3427,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3427,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3427,Fire Fighting Provision,No,0
RAJ-P-2024-3427,Others,No,0
RAJ-P-2025-3468,Water Supply,Yes,0
RAJ-P-2025-3468,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2025-3468,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2025-3468,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2025-3468,Fire Fighting Provision,Yes,0
RAJ-P-2025-3468,Others,No,0
RAJ-P-2024-3427,Water Supply,Yes,0
RAJ-P-2024-3427,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3427,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3427,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3427,Fire Fighting Provision,No,0
RAJ-P-2024-3427,Others,No,0
RAJ-P-2024-3420,Water Supply,Yes,0
RAJ-P-2024-3420,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3420,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3420,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3420,Fire Fighting Provision,Yes,0
RAJ-P-2024-3420,Others,No,0
RAJ-P-2025-3468,Water Supply,Yes,0
RAJ-P-2025-3468,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2025-3468,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2025-3468,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2025-3468,Fire Fighting Provision,Yes,0
RAJ-P-2025-3468,Others,No,0
RAJ-P-2024-3427,Water Supply,Yes,0
RAJ-P-2024-3427,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3427,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3427,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3427,Fire Fighting Provision,No,0
RAJ-P-2024-3427,Others,No,0
RAJ-P-2024-3420,Water Supply,Yes,0
RAJ-P-2024-3420,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3420,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3420,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3420,Fire Fighting Provision,Yes,0
RAJ-P-2024-3420,Others,No,0
RAJ-P-2024-3353,Water Supply,Yes,0
RAJ-P-2024-3353,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3353,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3353,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3353,Fire Fighting Provision,Not Applicable,0
RAJ-P-2024-3353,Others,No,0
RAJ-P-2025-3468,Water Supply,Yes,0
RAJ-P-2025-3468,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2025-3468,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2025-3468,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2025-3468,Fire Fighting Provision,Yes,0
RAJ-P-2025-3468,Others,No,0
RAJ-P-2024-3427,Water Supply,Yes,0
RAJ-P-2024-3427,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3427,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3427,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3427,Fire Fighting Provision,No,0
RAJ-P-2024-3427,Others,No,0
RAJ-P-2024-3420,Water Supply,Yes,0
RAJ-P-2024-3420,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3420,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3420,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3420,Fire Fighting Provision,Yes,0
RAJ-P-2024-3420,Others,No,0
RAJ-P-2024-3353,Water Supply,Yes,0
RAJ-P-2024-3353,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3353,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3353,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3353,Fire Fighting Provision,Not Applicable,0
RAJ-P-2024-3353,Others,No,0
RAJ-P-2024-3341,Water Supply,Yes,0
RAJ-P-2024-3341,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3341,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3341,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3341,Fire Fighting Provision,Yes,0
RAJ-P-2024-3341,Others,No,0
RAJ-P-2025-3468,Water Supply,Yes,0
RAJ-P-2025-3468,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2025-3468,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2025-3468,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2025-3468,Fire Fighting Provision,Yes,0
RAJ-P-2025-3468,Others,No,0
RAJ-P-2024-3427,Water Supply,Yes,0
RAJ-P-2024-3427,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3427,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3427,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3427,Fire Fighting Provision,No,0
RAJ-P-2024-3427,Others,No,0
RAJ-P-2024-3420,Water Supply,Yes,0
RAJ-P-2024-3420,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3420,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3420,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3420,Fire Fighting Provision,Yes,0
RAJ-P-2024-3420,Others,No,0
RAJ-P-2024-3353,Water Supply,Yes,0
RAJ-P-2024-3353,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3353,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3353,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3353,Fire Fighting Provision,Not Applicable,0
RAJ-P-2024-3353,Others,No,0
RAJ-P-2024-3341,Water Supply,Yes,0
RAJ-P-2024-3341,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3341,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3341,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3341,Fire Fighting Provision,Yes,0
RAJ-P-2024-3341,Others,No,0
RAJ-P-2024-3322,Water Supply,Yes,0
RAJ-P-2024-3322,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2024-3322,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2024-3322,"Electrification(Transformer, Solar Energy etc)",Yes,0
RAJ-P-2024-3322,Fire Fighting Provision,Yes,0
RAJ-P-2024-3322,Others,No,0
RAJ-P-2025-3468,Water Supply,Yes,0
RAJ-P-2025-3468,Rain Water Harvesting/ Recharging,Yes,0
RAJ-P-2025-3468,"Sanitation(Storm Water Drainage, Sewerage, STP, Solid Water Disposal etc)",Yes,0
RAJ-P-2025-3468,"Electrification(Transformer, Solar Energy etc)",Yes,0
