District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No,Tehsil,Street/ Locality,Open Area (In sq. meters),Total Area Of Project (In sq. meters),Sanctioned Number Of Apartments / Plots
Jaipur,Ashiana Nitara Phase 2,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2024-10119,RAJ/P/2025/3468 (08/01/2025),Jaipur,"Lalkothi, Tonk Road",7524.73,32693.75,32
Jaipur,Palmera Garden Phase - 1,PLOTTED,JAINA INDIA INFRAEDGE LLP,RAJ-RERA-APP-P-2024-10140,RAJ/P/2024/3427 (10/12/2024),Jaipur,"Okhla Industrial Area, Phase-1, Okhla Industrial Area Phase-i, Okhla, New Delhi",18006.07,101500.00,0
Jaipur,Viaan's Radiant,GROUP HOUSING,Viaan Builders and Developers,RAJ-RERA-APP-P-2024-10136,RAJ/P/2024/3420 (07/12/2024),Jaipur,"Pawan Putra D colony, Sirsi Road , Panchyawala",461.61,1012.98,0
Kota,PARSHAVNATH CITY C- BLOCK,PLOTTED,PRANATI BUILDCON,RAJ-RERA-APP-P-2024-10064,RAJ/P/2024/3353 (29/10/2024),Ladpura,CANAL ROAD,6295.72,15200.00,12
Jaipur,EMPRESS (PHASE-1),GROUP HOUSING,RICHWELL ENTERPRISES PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10073,RAJ/P/2024/3341 (25/10/2024),Jaipur,"SHYAM NAGAR, JAIPUR",13575.63,48465.47,217
Kota,GOLD BELLAGIO,GROUP HOUSING,KGV INFRA PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10079,RAJ/P/2024/3322 (18/10/2024),Ladpura,TALWANDI,1664.70,2340.00,12
Jaipur,SHIVAM PRIME,GROUP HOUSING,SHIVAM BUILDERS AND DEVELOPERS,RAJ-RERA-APP-P-2024-10009,RAJ/P/2024/3277 (23/09/2024),Jaipur,"KALA NAGRI, GOVINDPURA, KALWAR ROAD",422.83,1120.03,0
Jaipur,SANKALP SPECTRUM 21,Mixed (Residential And Commercial),SANKALP BUILD DEVELOPERS LLP,RAJ-RERA-APP-P-2024-10004,RAJ/P/2024/3261 (17/09/2024),Jaipur,"BEHIND IOC PETROL PUMP, SAHAKAR MARG,",4818.38,7795.96,1
Jaipur,S S HOMES,GROUP HOUSING,Shree Salasar Traders,RAJ-RERA-APP-P-2024-9885,RAJ/P/2024/3238 (02/09/2024),Jaipur,"Vinayak Vihar, Gokulpura Kalwar Road",497.87,1048.41,0
Jaipur,S S HOMES,GROUP HOUSING,Shree Salasar Traders,RAJ-RERA-APP-P-2024-9885,RAJ/P/2024/3238 (02/09/2024),Jaipur,"Vinayak Vihar, Gokulpura Kalwar Road",497.87,1048.41,0
