87,ATS Advantage,2 BHK 1100 Sq. Ft. Apartment,1100 Sq. Ft.,Rs 1.47 Cr
87,ATS Advantage,3 BHK 2140 Sq. Ft. Apartment,2140 Sq. Ft.,Rs 2.87 Cr
87,ATS Advantage,4 BHK 3050 Sq. Ft. Apartment,3050 Sq. Ft.,Rs 4.09 Cr
303,Jaypee Greens Kalypso Court,2 BHK 1790 Sq. Ft. Apartment,1790 Sq. Ft.,Rs 2.24 Cr
352,BPTP Parkland Pride,3 BHK 1103 Sq. Ft. Ind Floor,1103 Sq. Ft.,Rs 65.00 Lac
352,BPTP Parkland Pride,4 BHK 1382 Sq. Ft. Ind Floor,1382 Sq. Ft.,Rs 81.44 Lac
352,BPTP Parkland Pride,4 BHK 1803 Sq. Ft. Ind Floor,1803 Sq. Ft.,Rs 1.06 Cr
1027,Mantri Serenity,2 BHK 1025 Sq. Ft. Apartment,1025 Sq. Ft.,Rs 97.61 Lac
1027,Mantri Serenity,2 BHK 1260 Sq. Ft. Apartment,1260 Sq. Ft.,Rs 1.19 Cr
1027,Mantri Serenity,3 BHK 1280 Sq. Ft. Apartment,1280 Sq. Ft.,Rs 1.21 Cr
1223,Sikka Kaamna Greens,2 BHK 1150 Sq. Ft. Apartment,702 Sq. Ft.,Rs 1.55 Cr
1223,Sikka Kaamna Greens,2 BHK 1315 Sq. Ft. Apartment,819 Sq. Ft.,Rs 1.77 Cr
1223,Sikka Kaamna Greens,3 BHK 1466 Sq. Ft. Apartment,905 Sq. Ft.,Rs 1.97 Cr
1223,Sikka Kaamna Greens,3 BHK 1700 Sq. Ft. Apartment,1115 Sq. Ft.,Rs 2.28 Cr
1223,Sikka Kaamna Greens,4 BHK 2075 Sq. Ft. Apartment,1364 Sq. Ft.,Rs 2.78 Cr
1498,Modi Emerald Heights,2 BHK 947 Sq. Ft. Apartment,947 Sq. Ft.,Price on Request
1498,Modi Emerald Heights,3 BHK 1895 Sq. Ft. Apartment,1895 Sq. Ft.,Price on Request
1852,Salarpuria Sattva Luxuria,3 BHK 2215 Sq. Ft. Apartment,2215 Sq. Ft.,Rs 2.71 Cr
1852,Salarpuria Sattva Luxuria,3 BHK 2475 Sq. Ft. Apartment,2475 Sq. Ft.,Rs 3.03 Cr
