XID,URL,Project Name,Phase,Builder Name,Location,Price Range,Price per Sqft,Configurations,Completion Date,Unit Size Range,Project Size,Launch Date,RERA Number,Total Number of Units,USP,BHK,Amenity Count,Amenities,Specifications,Photo Count,Video Count,Rating count,Price Trend,Builder URL,Builder Experience,Total Projects,Ongoing Projects,Past Projects,Builder Info
298821,https://www.squareyards.com/noida-residential-property/kalpataru-vista/10765/project,Kalpataru Vista,Single phase,Kalpataru,"Sector 128, Noida",Rs6.02 Cr - 7.88 Cr,N/A,"3, 4 BHK Flats","Sep 13, 2019",2007 Sq. Ft to 2763 Sq. Ft (Saleable),2.69 Acres,Ask for Details,UPRERAAGT10119,252 units,"View of the national park,Packed with amenities,Connected to key landmarks,100 % power backup","3, 4 BHK",36,Power Backup; AC Waiting Lobby; High Speed Elevators; Day Care Center; 24*7 Water Supply; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Course; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smart Card Access; Intercom Facility; Video Phone; Massage Room; Reading Room/Library; Sauna; Party Hall; Cards Room; Indoor Games; Conference Room; Spa; Luxurious Clubhouse; Jacuzzi; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Fittings & Fixtures: VRV AC Fittings; Other Bedrooms-Flooring: Laminated Wooden; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure",29,0,N/A,"₹ 20,011
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/kalpataru-projects/532/builder,50 Years Experience,165,23,157,"A top dog on the list of the best real estate developers in India, Kalpataru Group has been creating beautifully crafted homes and well planned locations in India since 1969."
1223,https://www.squareyards.com/noida-residential-property/sikka-kaamna-greens/664/project,Sikka Kaamna Greens,Single phase,Sikka,"Sector 143A Noida, Noida",Rs1.55 Cr - 2.78 Cr,"Rs13,394 Per Sq. Ft","2, 3, 4 BHK Flats","Jun 30, 2020",1150 Sq. Ft to 2075 Sq. Ft (Saleable),12.35 Acres,Ask for Details,UPRERAAGT10119,1878 units,",,,,","2, 3, 4 BHK",27,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply; Party Lawn; Party Hall; Clubhouse; Indoor Games; Senior Citizen Area; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Gazebo; Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; IGBC Certified Building,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,10,0,3 Ratings,"₹ 8,617
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/sikka-projects/170/builder,9 Years Experience,14,3,10,"Sikka Group is one of India’s foremost real estate organizations with more than 3 decades of industry experience. It has other business interests like media, hospitality, outdoor advertising, automobiles, etc. Founded by Chairman Gurinder Singh Sikka, the Group has set new benchmarks in terms of design, quality and engineering excellence. It develops residential and commercial properties at strategic locations. The portfolio of Sikka projects covers retail spaces, residential complexes, commercial structures, IT parks, hotels, etc. It is focused on continual upgradation and evolution with a view towards identifying new growth hubs. Better lives for customers is a major motto here along with total client fulfillment through impeccable service. With close to 10, 000 happy buyers under its belt, it has set high standards in terms of quality, customer service, transparency and architectural expertise. There is a skilled team of professionals working to deliver projects on time. Landmarks include Kaamna Greens, Kimaya Greens, The Downtown, etc."
332831,https://www.squareyards.com/noida-residential-property/prateek-canary/10620/project,Prateek Canary,Single phase,Prateek Group,"Sector 150, Noida",Rs2.43 Cr - 4.80 Cr,"Rs14,300 Per Sq. Ft","3, 4 BHK Flats","Jun 22, 2019",1700 Sq. Ft to 3355 Sq. Ft (Saleable),12.55 Acres,Ask for Details,UPRERAAGT10119,664 units,",,,,,","3, 4 BHK",38,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Clubhouse; Amphitheater; Spa; Senior Citizen Area; Power Backup; Treated Water Supply; Pet Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",31,0,N/A,"₹ 12,089
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/prateek-group-projects/175/builder,14 Years Experience,17,2,13,"Prateek Group is a leading realty player in northern India which believes in sustainability as the core philosophy behind all development. It is known for emphasizing upon innovation, creativity, design excellence, value for money propositions for customers and the creation of efficient homes that are in sync with contemporary requirements. Futuristic vision is a major USP at the Group coupled with a customizable approach towards meeting customer needs. Founded in 2005 by civil engineer, Prashant Kumar Tiwari, it has successfully built a gargantuan customer base across multiple segments with a team of skilled management and engineering experts helming projects seamlessly. Several prestigious awards have been bagged by it including Best Affordable Residential Property, Best Developer in Noida, etc. Major Prateek projects include Royal Cliff, Fedora, Wisteria, Laurel, etc. Grand City is a pioneering township that has also won acclaim for Prateek."
400435,https://www.squareyards.com/greater-noida-residential-property/crc-joyous/111068/project,CRC Joyous,Single phase,CRC Group,"Tech Zone 4 Greater Noida, Greater Noida",Rs1.12 Cr - 2.07 Cr,N/A,"2, 3, 4 BHK Flats",Ask for Details,1040 Sq. Ft to 1780 Sq. Ft (Saleable),4 Acres,Ask for Details,UPRERAAGT10119,536 units,"Luxurious yet budget-friendly homes,Acupressure Pathway,State-of-the-art construction technology,Internationally-acclaimed landscaping design","2, 3, 4 BHK",37,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Cafe / Coffee Bar; Reading Room/Library; Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games; Spa; Jacuzzi; High Street Retail; Senior Citizen Area; Large Green Area; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Emergency Rescue / Alarms; Power Backup; Treated Water Supply; 24*7 Water Supply; Separate Enrty /Exit Gates; Service Elevators; Lift; Party Lawn,Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,24,0,10 Ratings,"₹ 10,771
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/crc-group-projects/9035/builder,N/A,4,3,1,N/A
303,https://www.squareyards.com/noida-residential-property/jaypee-greens-kalypso-court/108194/project,Jaypee Greens Kalypso Court,Single phase,Jaypee Greens,"Sector 128, Noida",Rs2.24 Cr,"Rs12,500 Per Sq. Ft",2 BHK Flats,Ask for Details,1790 Sq. Ft (Saleable),10 Acres,Ask for Details,UPRERAAGT10119,1172 units,"Moderate distance from Noida Greater Noida Expressway.,Easy access to Dadri Road and Sector 128.,RERA approved project, UPRERAPRJ4695, for trust and transparency.,Balanced amenities, including gymnasium and power backup.,Sophisticated specification, including laminated wooden flooring.",2 BHK,28,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; Party Hall; Clubhouse; Indoor Games; Jacuzzi; Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Golf Course; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Acrylic Emulsion; Living Area-Flooring: Italian/Imported Marble; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",25,0,N/A,"₹ 14,457
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/jaypee-greens-projects/161/builder,26 Years Experience,107,27,49,"Jaypee Greens is a name which has made its resemblance in the real-estate realm by developing top-notch thematic townships targeting the National Capital Region since the year 2002. They offer a grandiose of commercial, residential, institutional and leisure amenities in a self-sustained manner. Jaypee Greens company lives by the motto of providing a holistic way of living by amalgamating all world-class facilities inside its infrastructure."
123445,https://www.squareyards.com/noida-residential-property/ace-parkway/4863/project,ACE Parkway,Single phase,ACE,"Sector 150, Noida",Rs1.63 Cr - 4.97 Cr,"Rs14,999 Per Sq. Ft","2, 3, 4 BHK Flats","Dec 31, 2021",1085 Sq. Ft to 3220 Sq. Ft (Saleable),11.6 Acres,Ask for Details,UPRERAAGT10119,970 units,,"2, 3, 4 BHK",33,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Power Backup; High Speed Elevators; 24*7 Water Supply; Sauna; Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games; Spa; Jacuzzi; Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,25,0,4 Ratings,"₹ 13,019
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/ace-projects/166/builder,14 Years Experience,17,5,13,"Ace Group is one of Noida’s biggest developers, synonymous with quality, creativity, innovation and customer fulfillment. It is known for landmark offerings across Delhi-NCR and also for delivering homes on time to customers. Backed by core values such as professionalism, integrity, reliability, transparency, adherence to stringent quality guidelines and customer centricity, it is now scaling new frontiers by way of expansion. The portfolio of Ace projects includes several residential and commercial properties in strategic, well connected locations. High quality materials are used at all times along with latest construction methods and technologies. Customer service is taken very seriously here along with luxury. Affordable luxury is a key motto that is best served through competitive pricing, locational advantages, premium features, etc. Founded in 2010, it has set new benchmarks in real estate with several awards in its kitty including Best Affordable Homes in Delhi NCR and Construction Quality, CNBC Awaaz."
375353,https://www.squareyards.com/noida-residential-property/ska-orion/103593/project,SKA Orion,Single phase,SKA Group,"Sector 143B, Noida",Rs1.74 Cr - 2.55 Cr,"Rs13,400 Per Sq. Ft",3 BHK Flats,Ask for Details,1300 Sq. Ft to 1900 Sq. Ft (Saleable),3.33 Acres,Ask for Details,UPRERAAGT10119,508 units,"Spread over 3.32 acres,Walking Distance from Sector 143 Metro Station,Sky Club & Sky Gazing,Excellent amenities like Swimming Pool",3 BHK,31,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Golf Putting; Clubhouse; Amphitheater; Indoor Games; Conference Room; Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; IGBC Certified Building; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Video Phone; Power Backup; Day Care Center; Pet Area; 24*7 Water Supply; Lift,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Ceilings: False Ceiling; Kitchen-Equipments: Modular Kitchen; Bathroom: Premium Bath Fittings, Wardrobes; Structure: RCC Frame Structure",28,0,1 Rating,"₹ 13,578
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/ska-group-projects/9586/builder,N/A,8,5,1,"SKA Group is a reputable real estate developer based in Greater Noida, Ghaziabad, and Noida. With a total of 4 projects under its belt, SKA Group is committed to delivering the best properties in Greater Noida. The company was founded in 2012 by Shri Sanjay Sharma and has since completed projects such as SKA Green Mansion in Greater Noida-West. SKA Realtech Pvt. Ltd. is the company behind these successful projects. The Director of SKA Group is Mr. Sanjay Sharma, a highly experienced professional with over four decades of experience in construction and engineering. He completed his B.Tech and M.Tech from Delhi College of Engineering, pursued an MBA from IIM Mumbai, and has worked in both the government and private sectors. Mr. L.N. Jha is also part of the team, bringing his expertise in finance and accounting to the table. He previously served as the CFO of Gaursons Group.SKA Group has ongoing projects such as SKA Arcadia, SKA Orion, and SKA Divya Towers, as well as completed projects including SKA MetroVille, SKA GreenArch, SKA Green Mansion, SKAR Digi Greens, GAUR Grandeur, and GAUR Global Village. With its focus on quality construction, on-time delivery, and customer satisfaction, SKA Group strives to be the best full-service real estate company in the NCR."
2,https://www.squareyards.com/noida-residential-property/omaxe-twin-towers/536/project,Omaxe Twin Towers,Single phase,Omaxe,"Sector 50, Noida",Rs1.74 Cr - 3.55 Cr,"Rs7,949 Per Sq. Ft","3, 4, 5 BHK Flats","Mar 30, 2013",2150 Sq. Ft to 4464 Sq. Ft (Saleable),3.5 Acres,Ask for Details,UPRERAAGT10119,136 units,"Lucrative residential units,Exclusive cluster amenities,Fusion of luxury and comfort,Modern-day architecture intelligence","3, 4, 5 BHK",24,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Party Hall; Clubhouse; Indoor Games; Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Power Backup; 24*7 Water Supply; Lift,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",17,0,5 Ratings,"₹ 16,520
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/omaxe-projects/80/builder,32 Years Experience,102,4,75,"Omaxe was founded in 1989 by Rohtas Goel. Omaxe has delivered more than 12.01 million square metres. It started as a construction and contracting company and nowadays, has become one of the biggest names in real estate in India. The company entered the real estate market in 2001. In 2007 it listed itself on the Bombay Stock Exchange and National Stock Exchange"
270000,https://www.squareyards.com/noida-residential-property/tata-eureka-park/10953/project,Tata Eureka Park,Single phase,Tata,"Sector 150, Noida",Rs1.32 Cr - 1.89 Cr,N/A,"2, 3 BHK Flats","Sep 13, 2019",1100 Sq. Ft to 1575 Sq. Ft (Saleable),20.74 Acres,Ask for Details,UPRERAAGT10119,1160 units,"Luxurious 2, 3 BHK apartments in Sector 150 Noida.,Strategically located near NoidaGreater Noida Expressway and Yamuna Expressway.,Magnificent amenities like gym, power backup and more.,Specifications include master bedroom walls with oil-bound distemper finish.,UPRERAPRJ5448 and UPRERAPRJ469983, Project RERA approved.,A comprehensive brochure available for project knowledge at Squareyards.,Choice of 2, 3 BHK apartments across 1100-1575 sq. ft. units.,Constructed by Tata, guaranteeing quality and trust in construction and architecture,Located near schools such as K.R. Mangalam World School and Gautam Buddha University,Hospitals such as Mahanandan Superspeciality Hospital and Thyrocare nearby,Shopping centers such as Keshav G Mart and Sleepwell Shoppe nearby,The nearby restaurants such as Theobroma Bakery and Zauk provide varied dining options","2, 3 BHK",38,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area; IGBC Certified Building; Mini Theatre; Reading Room/Library; Sauna; Party Hall; Amphitheater; Indoor Games; Spa; Luxurious Clubhouse; Jacuzzi; Power Backup; Home Automation; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",35,0,8 Ratings,"₹ 10,574
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/tata-projects/126/builder,35 Years Experience,81,5,69,"TATA Housing is a designated real estate company founded in 1984 by the late JRD TATA. Currently, there are 33 luxurious projects that are established in over 51 million square feet. Brotin Banerjee revived the company in 2006 and had his expertise applied to uplift the organisation again. However, the current management is under Sanjay Dutt. The firm is active in nearly every big and small city in India and operates in foreign lands such as Maldives and Sri Lanka."
409753,https://www.squareyards.com/noida-residential-property/godrej-tropical-isle/227972/project,Godrej Tropical Isle,Single phase,Godrej,"Sector 146, Noida",Rs3.10 Cr - 5.59 Cr,"Rs17,200 Per Sq. Ft","3, 4 BHK Flats",Ask for Details,1800 Sq. Ft to 3250 Sq. Ft (Saleable),12.4 Acres,Ask for Details,UPRERAAGT10119,700 units,"5-Tier Security System,4 Apartments per Floor,Air Purification Technology,5-6 Parking Entries and Exits","3, 4 BHK",27,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn; Cafe / Coffee Bar; Clubhouse; Amphitheater; Indoor Games; Jacuzzi; 24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Golf Simulator; Golf Putting; Normal Park / Central Green,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Italian/Imported Marble; Fittings & Fixtures: VRV AC Fittings; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Structure: RCC Frame Structure,20,2,2 Ratings,"₹ 15,454
Average Price (Price/Sq. Ft.)",https://www.squareyards.com/godrej-projects/49/builder,29 Years Experience,182,61,150,"Real estate firm Godrej Properties Limited is headquartered in Mumbai, India. The company was established in 1990 by Adi Godrej and is a division of Godrej Industries Limited. Currently, the company is working on projects expected to total more than 89.7 million square feet."
