XID,URL,Project Name,Phase,Rera Number
2,https://www.squareyards.com/noida-residential-property/omaxe-twin-towers/536/project,Omaxe Twin Towers,Single phase,N/A
87,https://www.squareyards.com/ghaziabad-residential-property/ats-advantage/3848/project,ATS Advantage,Single phase,N/A
303,https://www.squareyards.com/noida-residential-property/jaypee-greens-kalypso-court/108194/project,Jaypee Greens Kalypso Court,Single phase,N/A
352,https://www.squareyards.com/faridabad-residential-property/bptp-parkland-pride/452/project,BPTP Parkland Pride,Single phase,HRERA-PKL-FBD-187-2019
1027,https://www.squareyards.com/bangalore-residential-property/mantri-serenity/1672/project,Mantri Serenity,Single phase,PRM/KA/RERA/1251/310/PR/171019/000504
1223,https://www.squareyards.com/noida-residential-property/sikka-kaamna-greens/664/project,Sikka Kaamna Greens,Single phase,UPRERAPRJ5596
1498,https://www.squareyards.com/hyderabad-residential-property/modi-emerald-heights/12244/project,Modi Emerald Heights,Single phase,N/A
1852,https://www.squareyards.com/bangalore-residential-property/salarpuria-sattva-luxuria/19728/project,Salarpuria Sattva Luxuria,Single phase,N/A
4872,https://www.squareyards.com/chennai-residential-property/pace-anusa/76051/project,Pace Anusa,Single phase,N/A
5144,https://www.squareyards.com/bangalore-residential-property/bhartiya-city-nikoo-homes-6/240973/project,Bhartiya City Nikoo Homes 6,Single phase,PRM/KA/RERA/1251/472/PR/160124/006543
6936,https://www.squareyards.com/thane-residential-property/sheth-vasant-lawns/8749/project,Sheth Vasant Lawns,Single phase,P51700003655
7662,https://www.squareyards.com/greater-noida-residential-property/paramount-golfforeste-villas/9152/project,Paramount Golfforeste Villas,Single phase,N/A
7894,https://www.squareyards.com/greater-noida-residential-property/capital-athena/1041/project,Capital Athena,Single phase,UPRERAPRJ6310
8130,https://www.squareyards.com/navi-mumbai-residential-property/paradise-sai-miracle/6450/project,Paradise Sai Miracle,Single phase,N/A
8408,https://www.squareyards.com/bangalore-residential-property/provident-sunworth/1606/project,Provident Sunworth,Single phase,N/A
10130,https://www.squareyards.com/noida-residential-property/ats-pristine/705/project,ATS Pristine,Single phase,N/A
10356,https://www.squareyards.com/greater-noida-residential-property/oasis-grandstand/1236/project,Oasis GrandStand,Single phase,UPRERAPRJ6908
