xid,name ,city,phase,url_squareyard
298821,Kalpataru Vista,Noida,Single phase,https://www.squareyards.com/noida-residential-property/kalpataru-vista/10765/project
1223,Sikka Kaamna Greens,Noida,Single phase,https://www.squareyards.com/noida-residential-property/sikka-kaamna-greens/664/project
332831,Prateek Canary,Noida,Single phase,https://www.squareyards.com/noida-residential-property/prateek-canary/10620/project
400435,CRC Joyous,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/crc-joyous/111068/project
303,Jaypee Greens Kalypso Court,Noida,Single phase,https://www.squareyards.com/noida-residential-property/jaypee-greens-kalypso-court/108194/project
123445,ACE Parkway,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ace-parkway/4863/project
375353,SKA Orion,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ska-orion/103593/project
2,Omaxe Twin Towers,Noida,Single phase,https://www.squareyards.com/noida-residential-property/omaxe-twin-towers/536/project
270000,Eureka Park By Tata Value Homes,Noida,Single phase,https://www.squareyards.com/noida-residential-property/tata-eureka-park/10953/project
409753,Godrej Tropical Isle,Noida,Single phase,https://www.squareyards.com/noida-residential-property/godrej-tropical-isle/227972/project
425268,Godrej Jardinia,Noida,Single phase,https://www.squareyards.com/noida-residential-property/godrej-jardinia/246953/project
376821,ATS Kingston Heath,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ats-kingston-heath/103548/project
344889,Gulshan Dynasty,Noida,Single phase,https://www.squareyards.com/noida-residential-property/gulshan-dynasty/29919/project
378409,Ace Starlit,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ace-starlit/105330/project
290685,Godrej Nest,Noida,Single phase,https://www.squareyards.com/noida-residential-property/godrej-nest/9255/project
382046,ATS Homekraft Pious Orchards,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ats-homekraft-pious-orchards/112460/project
10130,ATS Pristine,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ats-pristine/705/project
410631,M3M The Cullinan,Noida,Single phase,https://www.squareyards.com/noida-residential-property/m3m-the-cullinan/224290/project
326229,ATS Pious Hideaways,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ats-homekraft-pious-hideaways/10400/project
269167,Godrej Golf Links Evoke Villas,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/godrej-golf-links-evoke/9146/project
409011,Fusion The Rivulet,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/fusion-the-rivulet/224848/project
433611,Renox Thrive,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/renowned-renox-thrive/308677/project
433855,Ace Hanei,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/ace-hanei/312065/project
373839,Civitech Strings,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/civitech-strings/103214/project
7894,Capital Athena,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/capital-athena/1041/project
395716,Fusion The Brook,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/fusion-the-brook/162900/project
402728,Sublime Spring Elmas,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/sublime-spring-elmas/217291/project
430219,Eros Sampoornam 3,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/eros-sampoornam-iii/20711/project
336331,ATS Destinaire,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/ats-destinaire/10912/project
270729,ATS Rhapsody,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/ats-rhapsody/8676/project
269397,ATS Picturesque Reprieves,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ats-picturesque-reprieves/8650/project
379918,Nimbus Express Park View 2 Low Rise,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/nimbus-express-park-view-ii/1187/project
426159,Nimbus The Palm Village,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/nimbus-the-palm-village/247100/project
414339,Experion Elements,Noida,Single phase,https://www.squareyards.com/noida-residential-property/experion-elements/246908/project
403945,Irish Platinum,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/irish-platinum/245846/project
7662,Paramount Golfforeste,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/paramount-golfforeste-villas/9152/project
10412,Purvanchal Royal City,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/purvanchal-royal-city/1183/project
302889,HomeKraft Happy Trails,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/ats-happy-trails/10038/project
123483,ACE Divino,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/ace-divino/10048/project
12900,Fusion Homes,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/fusion-homes/939/project
10356,Oasis GrandStand,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/oasis-grandstand/1236/project
10412,Purvanchal Royal City,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/purvanchal-royal-city/1183/project
333811,ATS Nobility,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/ats-nobility/10909/project
425033,Ace Terra,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/ace-terra/246906/project
430588,CRC Maesta,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/crc-maesta/305975/project
327273,County 107,Noida,Single phase,https://www.squareyards.com/noida-residential-property/aba-county-107/10931/project
400436,Ivory County,Noida,Single phase,https://www.squareyards.com/noida-residential-property/ivory-county/231028/project
123483,ACE Divino,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/ace-divino/10048/project
425712,SKA Destiny One,Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/ska-destiny-one/246909/project
373410,Apex Alphabet,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/apex-alphabet/101984/project
373829,Greenbay Golf Village,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/orris-greenbay-golf-village-plots/20815/project
4462,ABA Cherry County,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/aba-cherry-county/906/project
