r413382,Shriram Solitaire,2 BHK 1045 Sq. Ft. Apartment,1045 Sq. Ft.,Rs 80.47 Lac
r413382,Shriram Solitaire,2 BHK 1235 Sq. Ft. Apartment,1235 Sq. Ft.,Rs 95.09 Lac
r413382,Shriram Solitaire,2 BHK 1060 Sq. Ft. Apartment,1060 Sq. Ft.,Rs 81.62 Lac
r413382,Shriram Solitaire,3 BHK 1445 Sq. Ft. Apartment,1445 Sq. Ft.,Rs 1.11 Cr
r413382,Shriram Solitaire,3 BHK 2270 Sq. Ft. Apartment,2270 Sq. Ft.,Rs 1.75 Cr
r376088,Smart World Orchard,2 BHK 1150 Sq. Ft. Ind Floor,1150 Sq. Ft.,Rs 2.01 Cr
r376088,Smart World Orchard,3 BHK 1630 Sq. Ft. Ind Floor,1630 Sq. Ft.,Rs 2.85 Cr
r376088,Smart World Orchard,500 Sq. Ft. Retail Shop,500 Sq. Ft.,Rs 2.00 Cr
r386987,DS Max Sukruth,2 BHK 940 Sq. Ft. Apartment,940 Sq. Ft.,Rs 37.60 Lac
r386987,DS Max Sukruth,2 BHK 969 Sq. Ft. Apartment,969 Sq. Ft.,Rs 38.76 Lac
r386987,DS Max Sukruth,3 BHK 1089 Sq. Ft. Apartment,1089 Sq. Ft.,Rs 43.56 Lac
r386987,DS Max Sukruth,3 BHK 1240 Sq. Ft. Apartment,1240 Sq. Ft.,Rs 49.60 Lac
r393335,Balaji Prestige,2 BHK 902 Sq. Ft. Apartment,902 Sq. Ft.,Price on Request
r393335,Balaji Prestige,3 BHK 1308 Sq. Ft. Apartment,1308 Sq. Ft.,Price on Request
r434608,Eldeco Fairway Reserve,3 BHK 2200 Sq. Ft. Apartment,2200 Sq. Ft.,Rs 3.41 Cr
r434608,Eldeco Fairway Reserve,4 BHK 2875 Sq. Ft. Apartment,2875 Sq. Ft.,Rs 4.46 Cr
r434608,Eldeco Fairway Reserve,4 BHK 3600 Sq. Ft. Apartment,3600 Sq. Ft.,Rs 5.58 Cr
r4700,Lodha Bella Vita,2 BHK 720 Sq. Ft. Apartment,720 Sq. Ft.,Rs 98.14 Lac
r4700,Lodha Bella Vita,2 BHK 741 Sq. Ft. Apartment,741 Sq. Ft.,Rs 1.01 Cr
r4700,Lodha Bella Vita,3 BHK 935 Sq. Ft. Apartment,935 Sq. Ft.,Rs 1.27 Cr
r4700,Lodha Bella Vita,3 BHK 1005 Sq. Ft. Apartment,1005 Sq. Ft.,Rs 1.37 Cr
r4700,Lodha Bella Vita,4 BHK 1490 Sq. Ft. Apartment,1490 Sq. Ft.,Rs 2.03 Cr
r4700,Lodha Bella Vita,5 BHK 2134 Sq. Ft. Apartment,2134 Sq. Ft.,Rs 2.91 Cr
r24280,Runwal Forest Orchid,1 BHK 511 Sq. Ft. Apartment,511 Sq. Ft.,Rs 1.21 Cr
r24280,Runwal Forest Orchid,1 BHK 430 Sq. Ft. Apartment,430 Sq. Ft.,Rs 1.02 Cr
r24280,Runwal Forest Orchid,2 BHK 620 Sq. Ft. Apartment,620 Sq. Ft.,Rs 1.47 Cr
r24280,Runwal Forest Orchid,2 BHK 665 Sq. Ft. Apartment,665 Sq. Ft.,Rs 1.58 Cr
r24280,Runwal Forest Orchid,3 BHK 646 Sq. Ft. Apartment,646 Sq. Ft.,Rs 1.53 Cr
r398606,Saakaar Centrum,215 Sq. Ft. Retail Shop,215 Sq. Ft.,Price on Request
r430363,Precious Harmony NX,1 BHK 381 Sq. Ft. Apartment,381 Sq. Ft.,Rs 36.07 Lac
r430363,Precious Harmony NX,1 BHK 411 Sq. Ft. Apartment,411 Sq. Ft.,Rs 38.91 Lac
r430363,Precious Harmony NX,2 BHK 442 Sq. Ft. Apartment,442 Sq. Ft.,Rs 41.85 Lac
r430363,Precious Harmony NX,2 BHK 547 Sq. Ft. Apartment,547 Sq. Ft.,Rs 51.79 Lac
r430363,Precious Harmony NX,3 BHK 621 Sq. Ft. Apartment,621 Sq. Ft.,Rs 58.80 Lac
r408305,Ram India Swastika,2 BHK 787 Sq. Ft. Apartment,787 Sq. Ft.,Rs 1.25 Cr
r408305,Ram India Swastika,2 BHK 986 Sq. Ft. Apartment,986 Sq. Ft.,Rs 1.57 Cr
r408305,Ram India Swastika,3 BHK 1089 Sq. Ft. Apartment,1089 Sq. Ft.,Rs 1.75 Cr
r408305,Ram India Swastika,3 BHK 1256 Sq. Ft. Apartment,1256 Sq. Ft.,Rs 2.02 Cr
r408305,Ram India Swastika,751 Sq. Ft. Retail Shop,751 Sq. Ft.,Price on Request
r395412,Ashiana Malhar,2 BHK 645 Sq. Ft. Apartment,645 Sq. Ft.,Rs 76.02 Lac
r395412,Ashiana Malhar,2 BHK 751 Sq. Ft. Apartment,751 Sq. Ft.,Rs 92.82 Lac
r395412,Ashiana Malhar,3 BHK 948 Sq. Ft. Apartment,948 Sq. Ft.,Rs 1.11 Cr
r409008,Sobha Neopolis,1 BHK 660 Sq. Ft. Apartment,660 Sq. Ft.,Rs 94.23 Lac
r409008,Sobha Neopolis,3 BHK 1611 Sq. Ft. Apartment,1611 Sq. Ft.,Rs 2.30 Cr
r409008,Sobha Neopolis,3 BHK 1915 Sq. Ft. Apartment,1915 Sq. Ft.,Rs 2.86 Cr
r409008,Sobha Neopolis,4 BHK 2481 Sq. Ft. Apartment,2481 Sq. Ft.,Rs 3.83 Cr
r369336,Om Sree Brilliance,3 BHK 2130 Sq. Ft. Apartment,2130 Sq. Ft.,Rs 1.43 Cr
r369336,Om Sree Brilliance,3 BHK 2200 Sq. Ft. Apartment,2200 Sq. Ft.,Rs 1.47 Cr
r367669,Assetz Canvas And Cove,2 BHK 983 Sq. Ft. Apartment,669 Sq. Ft.,Rs 1.23 Cr
r367669,Assetz Canvas And Cove,2 BHK 933 Sq. Ft. Apartment,638 Sq. Ft.,Rs 1.17 Cr
r367669,Assetz Canvas And Cove,3 BHK 1165 Sq. Ft. Apartment,808 Sq. Ft.,Rs 1.46 Cr
r367669,Assetz Canvas And Cove,3 BHK 1825 Sq. Ft. Apartment,1825 Sq. Ft.,Rs 2.28 Cr
r367669,Assetz Canvas And Cove,376 Sq. Ft. Studio,266 Sq. Ft.,Rs 47.00 Lac
r375899,Nysa Skydale,2 BHK 1430 Sq. Ft. Apartment,1430 Sq. Ft.,Price on Request
r375899,Nysa Skydale,2 BHK 1445 Sq. Ft. Apartment,1445 Sq. Ft.,Price on Request
r375899,Nysa Skydale,2 BHK 1515 Sq. Ft. Apartment,1515 Sq. Ft.,Price on Request
r375899,Nysa Skydale,2 BHK 1520 Sq. Ft. Apartment,1520 Sq. Ft.,Price on Request
r375899,Nysa Skydale,2 BHK 1565 Sq. Ft. Apartment,1565 Sq. Ft.,Price on Request
r375899,Nysa Skydale,2 BHK 1645 Sq. Ft. Apartment,1645 Sq. Ft.,Price on Request
r375899,Nysa Skydale,3 BHK 2060 Sq. Ft. Apartment,2060 Sq. Ft.,Price on Request
r375899,Nysa Skydale,3 BHK 2260 Sq. Ft. Apartment,2260 Sq. Ft.,Price on Request
r375899,Nysa Skydale,3 BHK 2300 Sq. Ft. Apartment,2300 Sq. Ft.,Price on Request
r375899,Nysa Skydale,3 BHK 2500 Sq. Ft. Apartment,2500 Sq. Ft.,Price on Request
r390836,Anand Bhavan Vile Parle West,1 BHK 260 Sq. Ft. Apartment,260 Sq. Ft.,Price on Request
r344821,Sunteck City Avenue 1,2 BHK 773 Sq. Ft. Apartment,773 Sq. Ft.,Rs 1.91 Cr
r344821,Sunteck City Avenue 1,3 BHK 965 Sq. Ft. Apartment,965 Sq. Ft.,Rs 2.39 Cr
r344821,Sunteck City Avenue 1,3 BHK 815 Sq. Ft. Apartment,815 Sq. Ft.,Rs 2.01 Cr
r422622,Wadhwa Wise City,1 BHK 400 Sq. Ft. Apartment,400 Sq. Ft.,Rs 26.20 L
r422622,Wadhwa Wise City,1 BHK 431 Sq. Ft. Apartment,431 Sq. Ft.,Rs 28.23 L
r422622,Wadhwa Wise City,2 BHK 494 Sq. Ft. Apartment,494 Sq. Ft.,Rs 32.36 L
r422622,Wadhwa Wise City,2 BHK 628 Sq. Ft. Apartment,628 Sq. Ft.,Rs 41.14 L
r422622,Wadhwa Wise City,2 BHK 638 Sq. Ft. Apartment,638 Sq. Ft.,Rs 41.80 L
r422622,Wadhwa Wise City,3 BHK 1810 Sq. Ft. Villa,1810 Sq. Ft.,Rs 1.18 Cr
r422622,Wadhwa Wise City,4 BHK 2000 Sq. Ft. Villa,2000 Sq. Ft.,Rs 1.31 Cr
r422622,Wadhwa Wise City,289 Sq. Ft. Studio,289 Sq. Ft.,Rs 18.93 L
r422622,Wadhwa Wise City,2131 Sq. Ft. Plot,2131 Sq. Ft.,Rs 1.39 Cr
r422622,Wadhwa Wise City,1200 Sq. Ft. Plot,1200 Sq. Ft.,Rs 78.62 L
r422622,Wadhwa Wise City,494 Sq. Ft. Retail Shop,494 Sq. Ft.,Rs 32.36 L
r422622,Wadhwa Wise City,991 Sq. Ft. Office Space,991 Sq. Ft.,Rs 64.93 L
r332831,Prateek Canary,3 BHK 1700 Sq. Ft. Apartment,1138 Sq. Ft.,Rs 2.43 Cr
r332831,Prateek Canary,3 BHK 2040 Sq. Ft. Apartment,1346 Sq. Ft.,Rs 2.92 Cr
r332831,Prateek Canary,3 BHK 2555 Sq. Ft. Apartment,1618 Sq. Ft.,Rs 3.65 Cr
r332831,Prateek Canary,4 BHK 3355 Sq. Ft. Apartment,2067 Sq. Ft.,Rs 4.80 Cr
r428449,Dharani Mythri Grande,3 BHK 1199 Sq. Ft. Apartment,1199 Sq. Ft.,Price on Request
r428449,Dharani Mythri Grande,3 BHK 1209 Sq. Ft. Apartment,1209 Sq. Ft.,Price on Request
r388872,Elan The Emperor,4 BHK 4223 Sq. Ft. Apartment,4223 Sq. Ft.,Rs 12.99 Cr
r388872,Elan The Emperor,4 BHK 4640 Sq. Ft. Apartment,4640 Sq. Ft.,Rs 14.27 Cr
r388872,Elan The Emperor,4 BHK 7225 Sq. Ft. Penthouse,7225 Sq. Ft.,Rs 22.22 Cr
r388872,Elan The Emperor,4 BHK 8053 Sq. Ft. Penthouse,8053 Sq. Ft.,Rs 24.76 Cr
r388872,Elan The Emperor,5 BHK 5434 Sq. Ft. Apartment,5434 Sq. Ft.,Rs 16.71 Cr
r388872,Elan The Emperor,5 BHK 5891 Sq. Ft. Apartment,5891 Sq. Ft.,Rs 18.11 Cr
r388872,Elan The Emperor,5 BHK 9470 Sq. Ft. Penthouse,9470 Sq. Ft.,Rs 29.12 Cr
r388872,Elan The Emperor,5 BHK 10347 Sq. Ft. Penthouse,10347 Sq. Ft.,Rs 31.82 Cr
r410569,Samruddhi Ashok Vatika,3 BHK 1400 Sq. Ft. Villa,1400 Sq. Ft.,Price on Request
r354918,Abhirama Super Homes,2 BHK 1439 Sq. Ft. Apartment,1439 Sq. Ft.,Rs 97.85 Lac
r354918,Abhirama Super Homes,3 BHK 1720 Sq. Ft. Apartment,1720 Sq. Ft.,Rs 1.17 Cr
r354918,Abhirama Super Homes,3 BHK 2491 Sq. Ft. Apartment,2491 Sq. Ft.,Rs 1.69 Cr
r430176,Elegant Terraces,2 BHK 1323 Sq. Ft. Apartment,1323 Sq. Ft.,Rs 1.16 Cr
r430176,Elegant Terraces,3 BHK 1782 Sq. Ft. Apartment,1782 Sq. Ft.,Rs 1.57 Cr
r430176,Elegant Terraces,3 BHK 1839 Sq. Ft. Apartment,1839 Sq. Ft.,Rs 1.62 Cr
r376104,Modi Serene Park,2 BHK 905 Sq. Ft. Apartment,905 Sq. Ft.,Rs 42.53 Lac
r406974,Ramprastha Attalika,3 BHK 2190 Sq. Ft. Apartment,1299 Sq. Ft.,Rs 3.18 Cr
r406974,Ramprastha Attalika,4 BHK 2815 Sq. Ft. Apartment,1636 Sq. Ft.,Rs 4.08 Cr
r406974,Ramprastha Attalika,4 BHK 3100 Sq. Ft. Apartment,1805 Sq. Ft.,Rs 4.50 Cr
r406974,Ramprastha Attalika,4 BHK 5725 Sq. Ft. Penthouse,4330 Sq. Ft.,Rs 8.30 Cr
r400347,Saradeuz Encanto,3 BHK 1580 Sq. Ft. Villa,1580 Sq. Ft.,Price on Request
r400347,Saradeuz Encanto,4 BHK 1800 Sq. Ft. Villa,1800 Sq. Ft.,Price on Request
r418266,Srinidhi Iris,2 BHK 1200 Sq. Ft. Apartment,1200 Sq. Ft.,Rs 68.40 Lac
r418266,Srinidhi Iris,2 BHK 1250 Sq. Ft. Apartment,1250 Sq. Ft.,Rs 71.25 Lac
r418266,Srinidhi Iris,3 BHK 1525 Sq. Ft. Apartment,1525 Sq. Ft.,Rs 86.92 Lac
r418266,Srinidhi Iris,3 BHK 1650 Sq. Ft. Apartment,1650 Sq. Ft.,Rs 94.05 Lac
r435515,Pradeep Bliss,3 BHK 2435 Sq. Ft. Apartment,2435 Sq. Ft.,Rs 2.60 Cr
r435515,Pradeep Bliss,3 BHK 3289 Sq. Ft. Apartment,3289 Sq. Ft.,Rs 3.55 Cr
r435515,Pradeep Bliss,4 BHK 5078 Sq. Ft. Apartment,5078 Sq. Ft.,Rs 5.50 Cr
r437026,Lambodar Vasant Ganesh Vishwa,1 BHK 436 Sq. Ft. Apartment,436 Sq. Ft.,Price on Request
r436315,Manyata Tech Park,12000 Sq. Ft. Office Space,12000 Sq. Ft.,Rs 7.22 Cr
r390015,Puraniks Aldea Espanola Phase 2,2 BHK 935 Sq. Ft. Apartment,935 Sq. Ft.,Rs 63.08 Lac
r390015,Puraniks Aldea Espanola Phase 2,2 BHK 1100 Sq. Ft. Apartment,1100 Sq. Ft.,Price on Request
r390015,Puraniks Aldea Espanola Phase 2,3 BHK 1361 Sq. Ft. Apartment,1361 Sq. Ft.,Price on Request
r413870,Kamal Glory,1 BHK 442 Sq. Ft. Apartment,442 Sq. Ft.,Rs 41.92 L
r376463,Loharuka Urban Vista,2 BHK 512 Sq. Ft. Apartment,512 Sq. Ft.,Rs 45.00 Lac
r376463,Loharuka Urban Vista,2 BHK 702 Sq. Ft. Apartment,702 Sq. Ft.,Rs 61.70 Lac
r376463,Loharuka Urban Vista,3 BHK 765 Sq. Ft. Apartment,765 Sq. Ft.,Rs 67.24 Lac
r871,Ireo Victory Valley,2 BHK 1435 Sq. Ft. Apartment,1435 Sq. Ft.,Rs 1.30 Cr
r871,Ireo Victory Valley,3 BHK 2527 Sq. Ft. Apartment,2527 Sq. Ft.,Rs 2.29 Cr
r871,Ireo Victory Valley,3 BHK 2452 Sq. Ft. Apartment,2452 Sq. Ft.,Rs 2.22 Cr
r871,Ireo Victory Valley,3 BHK 2385 Sq. Ft. Apartment,2385 Sq. Ft.,Rs 2.16 Cr
r871,Ireo Victory Valley,3 BHK 2428 Sq. Ft. Apartment,2428 Sq. Ft.,Rs 2.20 Cr
r871,Ireo Victory Valley,3 BHK 2606 Sq. Ft. Apartment,2606 Sq. Ft.,Rs 2.36 Cr
r871,Ireo Victory Valley,3 BHK 2662 Sq. Ft. Apartment,2662 Sq. Ft.,Rs 2.41 Cr
r871,Ireo Victory Valley,3 BHK 2677 Sq. Ft. Apartment,2677 Sq. Ft.,Rs 2.43 Cr
r871,Ireo Victory Valley,4 BHK 2847 Sq. Ft. Apartment,2847 Sq. Ft.,Rs 2.58 Cr
r871,Ireo Victory Valley,4 BHK 3192 Sq. Ft. Apartment,3192 Sq. Ft.,Rs 2.89 Cr
r871,Ireo Victory Valley,4 BHK 5970 Sq. Ft. Penthouse,5970 Sq. Ft.,Rs 5.41 Cr
r871,Ireo Victory Valley,4 BHK 2926 Sq. Ft. Apartment,2926 Sq. Ft.,Rs 2.65 Cr
r871,Ireo Victory Valley,4 BHK 2942 Sq. Ft. Apartment,2942 Sq. Ft.,Rs 2.67 Cr
r871,Ireo Victory Valley,4 BHK 3186 Sq. Ft. Apartment,3186 Sq. Ft.,Rs 2.89 Cr
r871,Ireo Victory Valley,4 BHK 4814 Sq. Ft. Apartment,4814 Sq. Ft.,Rs 4.36 Cr
r871,Ireo Victory Valley,4 BHK 5977 Sq. Ft. Penthouse,5977 Sq. Ft.,Rs 5.41 Cr
r871,Ireo Victory Valley,5 BHK 4322 Sq. Ft. Apartment,4322 Sq. Ft.,Rs 3.92 Cr
r431559,Silverglades The Legacy,3 BHK 2800 Sq. Ft. Apartment,1614 Sq. Ft.,Rs 6.72 Cr
r431559,Silverglades The Legacy,4 BHK 3800 Sq. Ft. Apartment,2211 Sq. Ft.,Rs 9.12 Cr
r431559,Silverglades The Legacy,4 BHK 4800 Sq. Ft. Apartment,2810 Sq. Ft.,Rs 11.52 Cr
r427302,KRV Ratnadeep Heights,1 BHK 458 Sq. Ft. Apartment,458 Sq. Ft.,Rs 1.09 Cr
r427302,KRV Ratnadeep Heights,1 BHK 484 Sq. Ft. Apartment,484 Sq. Ft.,Rs 1.12 Cr
r427302,KRV Ratnadeep Heights,2 BHK 632 Sq. Ft. Apartment,632 Sq. Ft.,Rs 1.50 Cr
r411500,Shapoorji Pallonji The Odyssey,3 BHK 1500 Sq. Ft. Apartment,1500 Sq. Ft.,Rs 15.00 Cr
r411500,Shapoorji Pallonji The Odyssey,3 BHK 1519 Sq. Ft. Apartment,1519 Sq. Ft.,Rs 15.19 Cr
r411500,Shapoorji Pallonji The Odyssey,4 BHK 1920 Sq. Ft. Apartment,1920 Sq. Ft.,Rs 19.20 Cr
r411500,Shapoorji Pallonji The Odyssey,4 BHK 1927 Sq. Ft. Apartment,1927 Sq. Ft.,Rs 19.27 Cr
r322869,Anantnath And Forever City,1 BHK 391 Sq. Ft. Apartment,391 Sq. Ft.,Rs 37.77 L
r322869,Anantnath And Forever City,1 BHK 403 Sq. Ft. Apartment,403 Sq. Ft.,Rs 38.93 L
