XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r413382,Shriram Solitaire,"Yelahanka New Town, Bangalore",Rs80.47 Lac - 1.75 Cr,"Rs7,700 Per Sq. Ft",Advanced Stage,"2, 3 BHK",1045 Sq. Ft to 2270 Sq. Ft (Saleable),Shriram Properties,264 units,4 Acres,Ask for Details,Ask for Details,Yelahanka New Town,North Bangalore,"Exclusive 2 & 3 BHK apartments with lavish spaces in Yelahanka New Town,Strategically located near Doddaballapur Road & Yelahanka Road for seamless connectivity,Newly launched Shriram Solitaire with approved RERA certification (TOR/PRM/KA/RERA/1251/309/PR/221116/000068),Wide range of unit options from 1045 sq. ft. to 2270 sq. ft. in 2 & 3 BHK configurations,Luxurious amenities including power backup and gymnasium for a premium lifestyle,Sophisticated master bedroom design with Oil Bound Distemper finishing for a unique look,Download Shriram Solitaire brochure to know more about this exclusive property opportunity",https://www.squareyards.com/shriram-properties-projects/495/builder,24 Years Experience,5,113,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Gazebo,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Amphitheater; Indoor Games
r376088,Smart World Orchard,"Sector 61, Gurgaon",Rs2.00 Cr - 2.85 Cr,N/A,Ready to Move,"2, 3 BHK",500 Sq. Ft to 1630 Sq. Ft (Saleable),Smart World Developers,2080 units,23.29 Acres,Ask for Details,Ask for Details,Sector 61,Golf Course Extension,,https://www.squareyards.com/smart-world-developers-projects/10286/builder,N/A,3,4,660/2017/307,"Master Bedroom-Walls: Plastic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Fittings & Fixtures: VRV AC Fittings; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Plastic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Gazebo,Power Backup; Treated Water Supply; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Amphitheater; Indoor Games; Multi Brand Retail; High Street Retail
r386987,DS Max Sukruth,"Madiwala, Bangalore",Rs37.60 Lac - 49.60 Lac,"Rs4,000 Per Sq. Ft",Advanced Stage,"2, 3 BHK",940 Sq. Ft to 1240 Sq. Ft (Saleable),DS MAX Properties Pvt Ltd,312 units,2.54 Acres,Ask for Details,Ask for Details,Madiwala,South Bangalore,,https://www.squareyards.com/ds-max-properties-pvt-ltd-projects/1816/builder,12 Years Experience,13,119,PRM/KA/RERA/1251/310/AG/171114/000400,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r393335,Balaji Prestige,"Nanganallur, Chennai",Price on Request,N/A,Ready to Move,"2, 3 BHK",902 Sq. Ft to 1308 Sq. Ft (Saleable),Balaji Developers Chennai,25 units,0.21 Acres,Ask for Details,Ask for Details,Nanganallur,Chennai South,,https://www.squareyards.com/balaji-developers-chennai-projects/26022/builder,N/A,1,N/A,Delhi/Agent/0027/2017,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits,Power Backup; Treated Water Supply; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,Indoor Games
r434608,Eldeco Fairway Reserve,"Sector 80, Gurgaon",Rs3.41 Cr - 5.58 Cr,"Rs15,500 Per Sq. Ft",New Launch,"3, 4 BHK",2200 Sq. Ft to 3600 Sq. Ft (Saleable),Eldeco,376 units,8.34 Acres,Ask for Details,Ask for Details,Sector 80,New Gurgaon,"Strategically located near NH 8 and SPR for seamless connectivity.,Experience world-class fitness with a state-of-the-art gymnasium.,Enjoy uninterrupted power backup for a worry-free living.,Luxuriate in master bedrooms with laminated wooden flooring.,Enchanting master bedrooms with oil bound distemper walls.,Live in a gated and secure community surrounded by greenery.",https://www.squareyards.com/eldeco-projects/38/builder,35 Years Experience,4,68,660/2017/307,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Fittings & Fixtures: VRV AC Fittings; Other Bedrooms-Flooring: Laminated Wooden; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Gazebo,Power Backup; Restaurant; Treated Water Supply; Pet Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Mini Theatre; Sauna; Party Hall; Cards Room; Clubhouse; Amphitheater; Indoor Games; Spa; Senior Citizen Area
r4700,Lodha Bella Vita,"NIBM Road, Pune",Rs98.14 Lac - 2.91 Cr,N/A,Partially Ready To Move,"2, 3, 4, 5 BHK",720 Sq. Ft to 2134 Sq. Ft (Carpet),Lodha,1122 units,12 Acres,Ask for Details,Ask for Details,NIBM Road,Pune South,,https://www.squareyards.com/lodha-projects/521/builder,39 Years Experience,34,343,A51800000454,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Gazebo,Power Backup; Solar Heaters; Treated Water Supply; Medical Facility; Pet Area; Guest House; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Obeservatory Deck; Senior Citizen Area
r24280,Runwal Forest Orchid,"Kanjurmarg West, Mumbai",Rs1.24 Cr - 1.92 Cr,"Rs23,807 Per Sq. Ft",Ready to Move,"1, 2, 3 BHK",430 Sq. Ft to 665 Sq. Ft (Carpet),Runwal,413 units,15 Acres,Ask for Details,Ask for Details,Kanjurmarg West,Mumbai Central Suburbs,,https://www.squareyards.com/runwal-projects/538/builder,41 Years Experience,8,130,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Shower Panel, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Indoor Swimming Pool,Power Backup; Treated Water Supply; Medical Facility; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Eco Friendly; Large Green Area,Cafe / Coffee Bar; Massage Room; Mini Theatre; Sauna; Party Hall; Amphitheater; Indoor Games; Luxurious Clubhouse; Senior Citizen Area
r398606,Saakaar Centrum,"Manjri Budruk, Pune",Price on Request,N/A,Mid Stage,Ask for Details,215 Sq. Ft (Carpet),Saakaar Associates,206 units,3.34 Acres,Ask for Details,Ask for Details,Manjri Budruk,Pune East,,https://www.squareyards.com/saakaar-associates-projects/11696/builder,N/A,3,N/A,A51800000454,Structure: RCC Frame Structure,N/A,N/A,24 x 7 Security; Fire Fighting Systems,N/A,Cafe / Coffee Bar; Conference Room; Food Court
r430363,Precious Harmony NX,"Badlapur East, Thane",Rs36.07 Lac - 58.80 Lac,N/A,New Launch,"1, 2, 3 BHK",381 Sq. Ft to 621 Sq. Ft (Carpet),Precious Group,168 units,2.52 Acres,Ask for Details,Ask for Details,Badlapur East,Badlapur,,https://www.squareyards.com/precious-group-projects/8526/builder,N/A,6,4,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Normal Park / Central Green,Clubhouse; Indoor Games
r408305,Ram India Swastika,"Bibwewadi, Pune",Rs1.25 Cr - 2.02 Cr,N/A,Mid Stage,"2, 3 BHK",751 Sq. Ft to 1256 Sq. Ft (Carpet),Ram India Group,40 units,0.79 Acres,Ask for Details,Ask for Details,Bibwewadi,Pune South,N/A,https://www.squareyards.com/ram-india-group-projects/1668/builder,28 Years Experience,2,12,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Fittings & Fixtures: Split Air Conditioner; Kitchen-Equipments: Modular Kitchen, Hob, Chimney; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Rappelling/Rock Climbing; Gazebo,Power Backup; Solar Heaters; Treated Water Supply; Pet Area; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smoke/Heat Sensors; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games; Senior Citizen Area
