XID,Project Name,City,Squareyards.com Link
r409908,Cinco Fairland,Coimbatore,https://www.squareyards.com/sale/property-for-sale-in-fairlands-salem
r420162,Aastha The Watermark,Jamshedpur,Not Found
r413382,Shriram Solitaire,Bangalore North,https://www.squareyards.com/bangalore-residential-property/shriram-solitaire/225557/project
r376088,Smart World Orchard,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/smart-world-orchard/103238/project
r235520,Fortune Butterfly City,Hyderabad,https://www.squareyards.com/sale/resale-properties-in-fortune-butterfly-city-hyderabad
r300077,Elevate Godrej Se7en,Kolkata South,https://www.squareyards.com/kolkata-residential-property/godrej-seven/9813/project
r398124,Mount Alaya Belmonte,Ahmedabad North,Not Found
r429474,RLD Merlion Estate,Chennai West,https://www.squareyards.com/hyderabad-residential-property/dollfine-harmony/115316/project
r417614,Sri MGR Windsor Gardens,Bangalore South,https://www.squareyards.com/bangalore-residential-property/sri-mgr-windsor-gardens/250186/project/floor-plans
r386987,DS Max Sukruth,Bangalore South,https://www.squareyards.com/bangalore-residential-property/ds-max-sukruth/129926/project
r393335,Sri Balajis Saphire,Chennai West,https://www.squareyards.com/chennai-residential-property/balaji-prestige/307943/project
r2,Omaxe Twin Towers,Noida,https://www.squareyards.com/rent/property-for-rent-in-omaxe-twin-towers-noida
r405295,Sapnil Residency,Kolkata North,https://www.squareyards.com/projects-in-bt-road-kolkata
r433824,Prime Plots Uran,Navi Mumbai,https://www.squareyards.com/sale/lands-for-sale-in-uran-navi-mumbai
r434608,Eldeco Fairway Reserve,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/eldeco-fairway-reserve/324073/project
r437320,SS Sri Balan Flats,Chennai South,https://www.squareyards.com/rent/properties-for-rent-in-hsr-layout-bangalore-under-50-thousand
r51192,Kalyan Garden View,Lucknow,https://www.squareyards.com/rent/property-for-rent-in-krishna-kalyan-garden-view-lucknow
r4700,Lodha Bella Vita,Pune South,https://www.squareyards.com/pune-residential-property/lodha-bella-vita/244371/project
r24280,Runwal Forests,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/runwal-forests/2782/project
r294633,Codename Skywards,Thane Outskirts,https://www.squareyards.com/under-construction-projects-in-diva-thane
r398606,SB Centrum,Bhilai,https://www.squareyards.com/pune-residential-property/saakaar-centrum/159904/project
r262402,Bhavishya Metro City,Bhopal,https://www.squareyards.com/awadhpuri-in-bhopal-overview-3008
r398757,Trendsquares Ortus 3,Bangalore North,https://www.squareyards.com/sale/resale-properties-in-brigade-laguna-bangalore
r430363,Precious Icon,Thane Outskirts,https://www.squareyards.com/thane-residential-property/precious-harmony-nx/217533/project
r376598,Ravimurugaa Sai Gardenia,Coimbatore,https://www.squareyards.com/coimbatore-residential-property/shruthi-enclave/317931/project/photos
r402170,Imperial Ville,Jaipur,https://www.squareyards.com/sale/villas-for-sale-in-gandhi-path-jaipur
r435898,ACS Pearl Garden,Chennai South,https://www.squareyards.com/rent/pg-for-rent-in-delhi
r436787,Malpani Celestia,Pune South,https://www.squareyards.com/new-launch-by-malpani-properties-in-pune
r383703,River Breeze,Hyderabad,https://www.squareyards.com/hyderabad-residential-property/aadhya-advaita/112306/project/floor-plans
r402665,Shree Gursahani Twin Tower,Aurangabad,Not Found
r436183,Godrej Evergreen Square,Pune West,https://www.squareyards.com/sale/3-bhk-flat-in-godrej-elements-pune
r369486,Kuber Shrushti Residency,Pune East,https://www.squareyards.com/pune-residential-property/deepali-florina-residency/246632/project/floor-plans
r398521,Shreepad Inspire,Surat,Not Found
r29040,Naiknavare Kutumb,Pune West,https://www.squareyards.com/sale/resale-properties-in-naiknavare-kutumb-pune
r408305,Ram Address One,Pune South,https://www.squareyards.com/pune-residential-property/ram-india-swastika/216834/project
r395412,Ashiana Malhar,Pune West,https://www.squareyards.com/pune-residential-property/ashiana-malhar/166799/project
r394292,Ashwamedh Ratnaprabha,Pune Central,https://www.squareyards.com/projects-by-ashwamedh-spaces-pvt-ltd-in-pune
r429438,Rose Hills Estate,Srinagar,https://www.squareyards.com/mumbai-residential-property/n-rose-northern-heights-phase-2/101964/project/floor-plans
r409008,Sobha Neopolis,Bangalore East,https://www.squareyards.com/bangalore-residential-property/sobha-neopolis/220345/project
r369336,Om Sree Brilliance,Secunderabad,https://www.squareyards.com/hyderabad-residential-property/om-sree-brilliance/104017/project
r367669,Assetz Canvas and Cove,Bangalore South,https://www.squareyards.com/bangalore-residential-property/assetz-canvas-and-cove/100604/project
r434202,Nidhi Land Shakthi Heights,Mangalore,https://www.squareyards.com/palghar-residential-property/nidhi-industrial-estate/121631/project
r375899,Raama Skyz,Vadodara,https://www.squareyards.com/vadodara-residential-property/nysa-skydale/319003/project
r390836,Anand Bhawan,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/anand-bhavan-vile-parle-west/126268/project
