XID,Project Name,City,Squareyards.com Link
r413382,Shriram Solitaire,Bangalore North,https://www.squareyards.com/bangalore-residential-property/shriram-solitaire/225557/project
r376088,Smart World Orchard,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/smart-world-orchard/103238/project
r300077,Elevate Godrej Se7en,Kolkata South,https://www.squareyards.com/kolkata-residential-property/godrej-seven/9813/project
r429474,RLD Merlion Estate,Chennai West,https://www.squareyards.com/hyderabad-residential-property/dollfine-harmony/115316/project
r386987,DS Max Sukruth,Bangalore South,https://www.squareyards.com/bangalore-residential-property/ds-max-sukruth/129926/project
r393335,Sri Balajis Saphire,Chennai West,https://www.squareyards.com/chennai-residential-property/balaji-prestige/307943/project
r434608,Eldeco Fairway Reserve,Gurgaon,https://www.squareyards.com/gurgaon-residential-property/eldeco-fairway-reserve/324073/project
r4700,Lodha Bella Vita,Pune South,https://www.squareyards.com/pune-residential-property/lodha-bella-vita/244371/project
r24280,Runwal Forests,Central Mumbai,https://www.squareyards.com/mumbai-residential-property/runwal-forests/2782/project
r398606,SB Centrum,Bhilai,https://www.squareyards.com/pune-residential-property/saakaar-centrum/159904/project
r430363,Precious Icon,Thane Outskirts,https://www.squareyards.com/thane-residential-property/precious-harmony-nx/217533/project
r408305,Ram Address One,Pune South,https://www.squareyards.com/pune-residential-property/ram-india-swastika/216834/project
r395412,Ashiana Malhar,Pune West,https://www.squareyards.com/pune-residential-property/ashiana-malhar/166799/project
r409008,Sobha Neopolis,Bangalore East,https://www.squareyards.com/bangalore-residential-property/sobha-neopolis/220345/project
r369336,Om Sree Brilliance,Secunderabad,https://www.squareyards.com/hyderabad-residential-property/om-sree-brilliance/104017/project
r367669,Assetz Canvas and Cove,Bangalore South,https://www.squareyards.com/bangalore-residential-property/assetz-canvas-and-cove/100604/project
r434202,Nidhi Land Shakthi Heights,Mangalore,https://www.squareyards.com/palghar-residential-property/nidhi-industrial-estate/121631/project
r375899,Raama Skyz,Vadodara,https://www.squareyards.com/vadodara-residential-property/nysa-skydale/319003/project
r390836,Anand Bhawan,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/anand-bhavan-vile-parle-west/126268/project
r344821,Sunteck City Avenue 4,Western Mumbai,https://www.squareyards.com/mumbai-residential-property/sunteck-city-avenue-4/29861/project
r422622,Evara Wadhwa Wise City,Navi Mumbai,https://www.squareyards.com/navi-mumbai-residential-property/wadhwa-wise-city/10237/project
r332831,Prateek Canary,Noida,https://www.squareyards.com/noida-residential-property/prateek-canary/10620/project
r430319,Prosperity Homes,Lucknow,https://www.squareyards.com/lucknow-residential-property/pi-prosperity-homes/307970/project
r428449,Sun Siri The Capital,Guntur,https://www.squareyards.com/vijayawada-residential-property/siva-capital-greens/10090/project
r388872,The Empire,Nagpur,https://www.squareyards.com/gurgaon-residential-property/elan-the-emperor/325052/project
r410569,Gracewood Elegance,Vadodara,https://www.squareyards.com/vadodara-residential-property/samruddhi-ashok-vatika/319114/project
r409549,Protech Pride,Guwahati,https://www.squareyards.com/guwahati-residential-property/protech-paradise/309630/project
r432552,Altura 3,Jaipur,https://www.squareyards.com/jaipur-residential-property/md-avyukta/249086/project
