Reg. No,Name of Building,Sanctioned No of Floor,Type of Apartment,No of Apartment,Carpet Area,Area of Exclusive Balcony,Area of Exclusive Open Terrace
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.79,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,4 BHK,56,82930.77,3612.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,2 BHK,140,94348.10,9030.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.79,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.00,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,84,98103.00,5418.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,2 BHK,112,92715.50,7224.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,56,63754.20,3612.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,Shop,12,8762.00,0.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,112,118998.80,5418.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,71421.71,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.79,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,4 BHK,56,82930.77,3612.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,2 BHK,140,94348.10,9030.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.79,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.00,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,84,98103.00,5418.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,2 BHK,112,92715.50,7224.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,56,63754.20,3612.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,Shop,12,8762.00,0.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,112,118998.80,5418.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,71421.71,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.79,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,4 BHK,56,82930.77,3612.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,2 BHK,140,94348.10,9030.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.79,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,81397.00,4305.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,84,98103.00,5418.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,2 BHK,112,92715.50,7224.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,56,63754.20,3612.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,Shop,12,8762.00,0.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,112,118998.80,5418.00,0.00
BRERAP00060-2/274/R-464/2019,SANCHAR NAGAR,B+G+7,3 BHK,70,71421.71,4305.00,0.00
