XID,Reg.,State
r271483,95 OF 2017 DATED 28.08.2017,Haryana
r4746,P52100000240,Maharashtra
r259309,UPRERAPRJ6917,Uttar Pradesh
r72631,P51900001346,Maharashtra
r72631,P51900001936,Maharashtra
r4746,P52100000168,Maharashtra
r72631,P51800001779,Maharashtra
r72631,P51800001681,Maharashtra
r286699,P52900008683,Maharashtra
r4746,P52100000163,Maharashtra
r72631,P51800001585,Maharashtra
r72631,P51800002818,Maharashtra
r319413,HIRA/P/SOU/2019/000432,West Bengal
r259309,UPRERAPRJ9181,Uttar Pradesh
r355806,TN/11/BUILDING/0184/2018,Tamil Nadu
r367435,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA07154/170620,Gujarat
r374970,PRM/KA/RERA/1251/446/PR/210219/003912,Karnataka
r378556,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA08691/300621,Gujarat
r72631,P51900033347,Maharashtra
r416806,P52100051323 ,Maharashtra
r424460,GGM/802/534/2024/29,Haryana
r430227,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA13896/290724/311228,Gujarat
r431964,UPRERAPRJ763929/11/2024,Uttar Pradesh
r432506,PRM/KA/RERA/1251/308/PR/100125/007377,Karnataka
r432558,GGM/885/617/2024/112 DATED 14.11.2024,Haryana
r433403,P02200008380,Telangana
r433633,WBRERA/P/KOL/2024/002136,West Bengal
r434549,PRM/KA/RERA/1251/446/PR/311224/007332,Karnataka
r434564,P50500077786,Maharashtra
r434568,PRM/KA/RERA/1250/304/PR/131224/007287,Karnataka
r340605,TN/29/Layout/3715/2024,Tamil Nadu
r429792,WBRERA/P/NOR/2024/002092,West Bengal
r430649,WBRERA/P/PAS/2024/002109,West Bengal
r435331,UKREP10240000586,Uttarakhand
r435427,WBRERA/P/NOR/2024/002114,West Bengal
r435497,P50500077864,Maharashtra
r416806,P52100056356,Maharashtra
r435519,WBRERA/P/SOU/2024/002184,West Bengal
r435535,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/MAA14416/181124/011229,Gujarat
r435537,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14409/141124/310728,Gujarat
r403576,P02400009025,Telangana
r222721,P51700077787,Maharashtra
r435547,PRM/KA/RERA/1265/347/PR/071124/007201,Karnataka
r435568,K-RERA/PRJ/TVM/215/2024,Kerala
r435812,TN/29/Building/0533/2024,Tamil Nadu
r435870,P52000078113,Maharashtra
r435876,TN/20/Building/0539/2024,Tamil Nadu
r435877,P51700077818,Maharashtra
r435892,P02400009023,Telangana
r435903,WBRERA/P/NOR/2024/002220,West Bengal
r435912,K-RERA/PRJ/KKD/242/2024,Kerala
r403762,RAJ/P/2024/3353 (29/10/2024),Rajasthan
r435924,P52000077918,Maharashtra
r435926,WBRERA/P/KOL/2024/002211,West Bengal
r436153,TN/11/Layout/3970/2024,Tamil Nadu
r436183,P52100078240,Maharashtra
r4356,PBRERA-SAS81-PR1099,Punjab
r4356,PBRERA-SAS81-PR1098,Punjab
r436196,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14399/121124/310328,Gujarat
r436242,P51800078249,Maharashtra
r436315,TN/20/Regularisation-Layout/0944/2024 dated 14.11.2024,Tamil Nadu
r436447,WBRERA/P/MAL/2024/002105,West Bengal
r436676,UPRERAPRJ424528/11/2024,Uttar Pradesh
r436708,WBRERA/P/KOL/2024/002158,West Bengal
r436740,WBRERA/P/KOL/2024/002243,West Bengal
r436787,P52100078194,Maharashtra
r436803,PRM/KA/RERA/1251/310/PR/051224/007268,Karnataka
r436826,TN/11/Layout/0007/2025,Tamil Nadu
r436833,P50500078310,Maharashtra
r436835,P01100009092,Telangana
r1239,HRERA-PKL-FBD-641-2024,Haryana
r427795,P03300105123,Andhra Pradesh
r436949,PRM/KA/RERA/1250/303/PR/101224/007284,Karnataka
r437012,PRM/KA/RERA/1251/446/PR/161224/007303,Karnataka
r437023,PRM/KA/RERA/1251/446/PR/131224/007297,Karnataka
r437032,P07130115114,Andhra Pradesh
r389107,P50500078039,Maharashtra
r433905,P52100078037,Maharashtra
r435139,P52100078036,Maharashtra
r392724,PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/RAA14333/281024/311229,Gujarat
r402921,P52100078026,Maharashtra
r437068,P52000078514,Maharashtra
r437108,P50500078171,Maharashtra
r437137,P52000078185,Maharashtra
r435924,P52000077924,Maharashtra
r437231,P-IND-24-5270,Madhya Pradesh
r437245,P-SWR-24-5278,Madhya Pradesh
r437293,PRM/KA/RERA/1250/304/PR/131224/007290,Karnataka
r437302,PRGO12242370,Goa
r437304,GGM/896/628/2024/123,Haryana
r437308,PRM/KA/RERA/1251/446/PR/261224/007320,Karnataka
r437325,PRM/KA/RERA/1251/310/PR/241224/007315,Karnataka
r437329,TN/1/Building/0605/2024,Tamil Nadu
r437334,TN/32/Building/0006/2025,Tamil Nadu
r437354,P52100078580,Maharashtra
r437427,PR/GJ/SURAT/OLPAD/Surat Municipal Corporation/RAA14569/231224/311229,Gujarat
r437581,UPRERAPRJ469558/12/2024 ,Uttar Pradesh
r437589,P51600054488,Maharashtra
r437688,P52000078114,Maharashtra
r388868,TN/20/Building/0609/2024,Tamil Nadu
r404912,P52100078307,Maharashtra
r298559,P52100078306,Maharashtra
r415426,P52100078302,Maharashtra
r437776,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Urban Development Authority/MAA14610/301224/301228,Gujarat
r437781,P51800077799,Maharashtra
r437839,P52100078010,Maharashtra
r394306,P52100078292,Maharashtra
r437881,P02400009227,Telangana
r5410,P52100077956,Maharashtra
r437900,P51700078094,Maharashtra
r420000,RAJ/P/2025/3468 (08/01/2025),Rajasthan
r437901,P51800077977,Maharashtra
r26168,P52100078291,Maharashtra
r437911,RAJ/P/2024/3427 (10/12/2024),Rajasthan
r437982,P52000078523,Maharashtra
r437986,TN/35/Layout/0115/2025,Tamil Nadu
r423663,P52100078592,Maharashtra
r438049,GGM/881/613/2024/108 DATED 04.11.2024,Haryana
r409258,P52100078282,Maharashtra
r424568,GGM/895/627/2024/122 DATED 16.12.2024,Haryana
r438063,P52100078819,Maharashtra
r438099,P51600078639,Maharashtra
r313927,TN/1/Layout/4357/2024,Tamil Nadu
r438106,PR/GJ/VADODARA/VADODARA/Vadodara Urban Development Authority/RAA14594/301224/311229,Gujarat
r438107,PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14658/070125/311228,Gujarat
r438133,P52000078816,Maharashtra
r438192,P-OTH-25-5372,Madhya Pradesh
r438194,P52100078450,Maharashtra
r438199,P50500077877,Maharashtra
r438200,GGM/901/633/2025/04 DATED 14.01.2025,Haryana
r438215,P52000078942,Maharashtra
r438217,RERAA KM 139 OF 2024-2025,Assam
r438221,PRM/KA/RERA/1251/446/PR/090125/007371,Karnataka
r438237,GGM/883/615/2024/110 DATED 08.11.2024.,Haryana
r437781,P51800077973,Maharashtra
r438248,TN/11/Building/0588/2024,Tamil Nadu
r433815,P51800077922,Maharashtra
r438256,TN/29/Building/0020/2025,Tamil Nadu
r438325,RAJ/P/2024/3420 (07/12/2024),Rajasthan
r162517,P52100077807,Maharashtra
r428423,PBRERA-SAS81-PR1106,Punjab
r410958, UPRERAPRJ294911/12/2024,Uttar Pradesh
r386988,PRM/KA/RERA/1251/309/PR/270125/007436,Karnataka
r4746,P52100077980,Maharashtra
r435512,WBRERA/P/NOR/2025/002447,West Bengal
r7594,MP/19/2025/01331,Orissa
r413028,P52100078925,Maharashtra
r434363,TN/11/Building/0030/2025,Tamil Nadu
r306863,PRM/KA/RERA/1251/446/PR/310125/007467,Karnataka
r421347,P-IND-25-5405,Madhya Pradesh
r768,PRM/KA/RERA/1251/446/PR/071124/007202,Karnataka
r423234,P52100079064,Maharashtra
r411431,GGM/888/620/2024/115DATED22.11.2024,Haryana
r376046,PCGRERA101224001856,Chattisgarh
r422311,P51800079147,Maharashtra
r247113,PBRERA-SAS81-PR1114,Punjab
r259309,UPRERAPRJ597105/01/2025,Uttar Pradesh
r259309,UPRERAPRJ748790/01/2025,Uttar Pradesh
r389975,P51900078358,Maharashtra
r18848,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA14729/270125/311228,Gujarat
r280367,PRM/KA/RERA/1250/303/PR/280225/007529,Karnataka
r273337,RAJ/P/2025/3479,Rajasthan
r436943,P06160155394,Andhra Pradesh
r424460,GGM/916/648/2025/19,Haryana
r418697, PRM/KA/RERA/1250/303/PR/170325/007590,Karnataka
r403088,TN/35/Building/0087/2025,Tamil Nadu
r433864,TN/1/Layout/0886/2025,Tamil Nadu
r328265,P52000077855,Maharashtra
r376463,WBRERA/P/NOR/2025/002652,West Bengal
r379932,P52100079807,Maharashtra
r411425,PRM/KA/RERA/1251/446/PR/050225/007481,Karnataka
r396809,GGM/912/644/2025/15 DATED 13.02.2025,Haryana
r351013,GGM/909/641/2025/12 DATED 05.02.2025,Haryana
r404651,WBRERA/P/NOR/2025/002680,West Bengal
r437299,TN/35/Layout/1222/2025,Tamil Nadu
r401060,P01100009342,Telangana
r299713,PBRERA-JAL33-PR1130,Punjab
r375888,PCGRERA290125001873,Chattisgarh
r67272,P02200001493,Telangana
r97522,P51700052109,Maharashtra
r118351,P52100018143,Maharashtra
r120353,HIRA/P/NOR/2019/000469,West Bengal
r135659,PO1100005741 ,Telangana
r145261, RP/19/2018/00224,Orissa
r32476,P52100015584,Maharashtra
r152163,PBRERA-SAS80-PR0210,Punjab
r171423,RP/19/2021/00467,Orissa
r65774,P02200001454,Telangana
r103296,P52100033820 ,Maharashtra
r148571,P51700029932,Maharashtra
r220231,PRM/KA/RERA/1267/374/PR/190204/002349,Karnataka
r225681,RERAA KM 165 OF 2021 ,Assam
r3702,RP/19/2018/00079,Orissa
r32988,P51800009338,Maharashtra
r245877,P51800006705,Maharashtra
r134469,PBRERA-SAS80-PR0103,Punjab
r257873,RAJ/P/2017/027 (04/08/2017),Rajasthan
r257887,RAJ/P/2018/676 (04/04/2018),Rajasthan
r75015,P51700053083,Maharashtra
r181115,PBRERA-SAS81-PR0015,Punjab
r204817,RAJ/P/2017/341 (13/10/2017),Rajasthan
r217045,UPRERAPRJ775,Uttar Pradesh
r5660,PBRERA-SAS81-PR0148,Punjab
r15646,TN/01/Layout/3690/2023,Tamil Nadu
r43686,P51800011980,Maharashtra
r154983, P51800019624,Maharashtra
r170817,P52000011366,Maharashtra
r251343,PR/GJ/SURAT/SURAT CITY/SUDA/RAA05825/030819,Gujarat
r262382,P50500018424,Maharashtra
r264715,P51900002789,Maharashtra
r264947,K-RERA/PRJ/315/2020,Kerala
r18546,P51700033799,Maharashtra
r125399,UPRERAPRJ10134,Uttar Pradesh
r138953,UPRERAPRJ681133,Uttar Pradesh
r214277,UPRERAPRJ17394,Uttar Pradesh
r257195,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/RAA01901/A1R/280225/300626,Gujarat
r7886,P-IND-17-1455,Madhya Pradesh
r123001,50 OF 2017 DATED 12.08.2017,Haryana
r220089,UPRERAPRJ10248,Uttar Pradesh
r240957,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA00922/A1M/EX1/120824/090626,Gujarat
r266739,RAJ/P/2017/054 (17/08/2017),Rajasthan
r24924,PBRERA-SAS81-PR0154,Punjab
r60435,GGM/419/151/2020/35 DATED 16.10.2020,Haryana
r95756,P-IND-17-1024,Madhya Pradesh
r430,TN/01/Building/0335/2018,Tamil Nadu
r725,P51900003268,Maharashtra
r1338,P52100000439,Maharashtra
r2690,P51700019235,Maharashtra
r3318,328 OF 2017 DATED 23.10.2017,Haryana
r4398,GGM/364/96/2019/58 DATED 24.09.2019,Haryana
r5098,GGM/329/61/2019/23 DATED 01.05.2019,Haryana
r6542,P51800033601,Maharashtra
r18410,103 OF 2017 DATED 24.08.2017,Haryana
r25914,UKREP12170000123,Uttarakhand
r35600,P51700007900,Maharashtra
r58272,PBRERA-SAS80-PR0040,Punjab
r124761,12 OF 2017 DATED 03.07.2017,Haryana
r169797,P51700006637,Maharashtra
r172071,P52100001822,Maharashtra
r197601,PRM/KA/RERA/1251/309/PR/170916/000650,Karnataka
r207795,PRM/KA/RERA/1251/310/PR/170915/000243,Karnataka
r234122,BRERAP00060-2/274/R-464/2019,Bihar
r258111,PRM/KA/RERA/1250/303/PR/171229/001694,Karnataka
r259169,PRM/KA/RERA/1251/309/PR/170905/000229,Karnataka
r267279,P51700004111,Maharashtra
r268113,PRM/KA/RERA/1250/303/PR/071124/007207,Karnataka
r270883,PCGRERA140818000687,Chattisgarh
r623,PRM/KA/RERA/1251/310/PR/180627/001912,Karnataka
r904,19 OF 2018 DATED 01.02.2018,Haryana
r1061,HIRA/P/NOR/2019/000546,West Bengal
r1128,P51800000795,Maharashtra
r1193,GGM/455/187/2021/23 DATED 15.06.2021 ,Haryana
r1285, TN/01/Building/0181/2019,Tamil Nadu
r1375,TN/29/Building/0038/2022 dated 28/01/2022,Tamil Nadu
r2220,275 OF 2017 DATED 09.10.2017,Haryana
r3852,P52100007671,Maharashtra
r4146,P51700008916,Maharashtra
r4242,P51800005153,Maharashtra
r4374,P51700004457,Maharashtra
r5118,UPRERAPRJ10792,Uttar Pradesh
r6206,UPRERAPRJ5998,Uttar Pradesh
r7884,UPRERAPRJ3950,Uttar Pradesh
r8036,P51700006770,Maharashtra
r8590,P52000001481,Maharashtra
r8648,P51800001433,Maharashtra
r12286,TN/29/Building/0095/2019,Tamil Nadu
r12406,RAJ/P/2017/163,Rajasthan
r12960,P51700005485,Maharashtra
r13494,P51700009055,Maharashtra
r18506,PRM/KA/RERA/1251/446/PR/170915/000176,Karnataka
r22810,P51900008726,Maharashtra
r24028,P51800005285,Maharashtra
r27572,PRM/KA/RERA/1251/310/PR/171222/000914,Karnataka
r28996,PRM/KA/RERA/1251/446/PR/171014/000379,Karnataka
r31228,P51800005229,Maharashtra
r32740,HIRA/P/NOR/2018/000192,West Bengal
r33066,PRM/KA/RERA/1251/310/PR/170913/000114,Karnataka
r33308,P51700009193,Maharashtra
r37062,125 OF 2017 DATED 28.08.2017,Haryana
r37216,319 OF 2017 DATED 23.10.2017,Haryana
r41300,P51900009379,Maharashtra
r43298,P51900008720,Maharashtra
r59694,HIRA/P/SOU/2019/000510,West Bengal
r64572,PRM/KA/RERA/1250/303/PR/170918/000844,Karnataka
r69548,P52100007776,Maharashtra
r70250,P52000006318,Maharashtra
r70450,57(A) OF 2017 DATED 17.8.2017 ,Haryana
r74173,P51800003582,Maharashtra
r85425,P02400000143,Telangana
r86005,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00874/A1R/EX1/010621,Gujarat
r106169,P51800006141 ,Maharashtra
r108257,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00491/EX1/A1M/290419,Gujarat
r108529,P-IND-18-1999,Madhya Pradesh
r112799,P-IND-17-1001,Madhya Pradesh
r120709,HIRA/P/KOL/2018/000118,West Bengal
r120715,HIRA/P/SOU/2018/000119,West Bengal
r125499,P02500000189,Telangana
r128907,HIRA/P/NOR/2019/000342,West Bengal
r133579,TN/29/Building/0173/2017,Tamil Nadu
r136137,P51700004330,Maharashtra
r167105,P52100001583,Maharashtra
r172717,HIRA/P/NOR/2018/000091,West Bengal
r174055,PCGRERA230618000304,Chattisgarh
r178889,HIRA/P/KOL/2018/000050,West Bengal
r203531,P02400000199,Telangana
r211267,HIRA/P/KOL/2018/000182,West Bengal
r223509,PRM/KA/RERA/1251/309/PR/171019/000449,Karnataka
r225425,TN/01/Building/0047/2017,Tamil Nadu
r240917,PBRERA-LDH45-PR0020,Punjab
r245205,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00427/131017,Gujarat
r248339,P51800004889,Maharashtra
r261524,HIRA/P/NOR/2019/000420,West Bengal
r266495,P51800006403,Maharashtra
r266729,P52100000887,Maharashtra
r267433,TN/01/Layout/0322/2021 dated 09/09/2021,Tamil Nadu
r269041,P51700018969,Maharashtra
r269071,P51700007274,Maharashtra
r269113,UKREP03180000334,Uttarakhand
r269844, RAJ/P/2017/051,Rajasthan
r270959,PRM/KA/RERA/1251/309/PR/180728/001945,Karnataka
r271215,HRERA No.197/207/2017,Haryana
r272903,P51700016394,Maharashtra
r369,P51700000847,Maharashtra
r398,P52000010572,Maharashtra
r469,P99000018043 ,Maharashtra
r679,P52100021636,Maharashtra
r775,P51800002313,Maharashtra
r1363,P52100007511,Maharashtra
r1570,PBRERA-SAS79-PR0192,Punjab
r2066,36(A) OF 2017 DATED 05.12.2017,Haryana
r2362,HRERA-386 of 2017,Haryana
r4050,GGM/276/2018/08 DATED 23.07.2018,Haryana
r5564,P52100005193,Maharashtra
r7754,TN/01/Layout/0093/2019,Tamil Nadu
r8390,199 OF 2017 DATED 15.9.2017,Haryana
r9040,P51800001115,Maharashtra
r11112,PRM/KA/RERA/1251/309/PR/171010/001126,Karnataka
r11796,UPRERAPRJ4452,Uttar Pradesh
r14974,K-RERA/PRJ/ERN/109/2022,Kerala
r15670,P51800007984,Maharashtra
r16598,363 OF 2017 DATED 20-11-2017,Haryana
r16778,PRM/KA/RERA/1251/310/PR/180208/001354,Karnataka
r22324, RAJ/P/2022/2207,Rajasthan
r35056,P-OBD-17-903,Madhya Pradesh
r51436,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07132/A1R/311220,Gujarat
r90623,P51800003995,Maharashtra
r99210,P52100000914,Maharashtra
r24988,UPRERAPRJ1133,Uttar Pradesh
r28034,P52100007908,Maharashtra
r28876,UPRERAPRJ3964,Uttar Pradesh
r31218,P52100002048,Maharashtra
r32208,PRM/KA/RERA/1251/310/PR/171015/000421,Karnataka
r32692,162 OF 2017 DATED 29.08.2017,Haryana
r37138,GGM/324/56/2019/18 DATED 01.04.2019,Haryana
r43768, P99000004678,Maharashtra
r50454,HIRA/P/SOU/2018/000163,West Bengal
r58454,UPRERAPRJ6972,Uttar Pradesh
r62469,P52100047339,Maharashtra
r63915,56 OF 2017 DATED 17.8.2017,Haryana
r64778,HIRA/P/NOR/2018/000048,West Bengal
r65232,UPRERAPRJ2679,Uttar Pradesh
r77983,TN/02/Building/0054/2017,Tamil Nadu
r85501,RAJ/P/2017/019 (25/07/2017),Rajasthan
r92267,P52100001895,Maharashtra
r94206,UPRERAPRJ1498,Uttar Pradesh
r96876,PRM/KA/RERA/1251/309/PR/171015/000184,Karnataka
r104342,P52100003129,Maharashtra
r107053,P51700005653,Maharashtra
r127769,P52000004871,Maharashtra
